,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X2007.HK.EQUITY,X002142.CH.EQUITY,X688.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.402311065463767,0,0,0,0.0514308766764468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0246800476301002,0,0,0,0,0,0,0,0.186400801226711,0,0,0,0.0375440513966076,0,0.0108429560641147,0,0,0,0.0572055690842233,0.0442042004880726,0.263521293814724,-0.0359889985327385,0
X601318.CH.EQUITY,0,0,0,0,0.0628483776748772,0,0,0.0572614505292071,0.12693792706969,0,0.00875348865435807,0,0,0.000230347230133203,0,0,0,0,0.189850281229519,0,0.270909405467376,0,0,0,0,0,0,0.102116175187094,0,0,0,0,0,0,0,0.0685399911841977,0,0,0,0,0,0,0,0,0,0,0,0.0491426034846408,0,0,0,-0.153263157084581
X601939.CH.EQUITY,0,0,0,0.265125102924081,0,0,0,0,0,-0.0326877384134052,0,0,0,0,0,0,0,0,0,0.00964775886880834,0,-0.250367710216007,0,0.714550248794558,0.00102453026468512,0.113903291511222,-0.168833188205231,0.0687086544899119,0,0.0983367042511645,0,0,0,0,-0.0368712470062033,0,0,0,0,0,0,0,-0.0547778983345337,0,0,0,0,0,0,0,0,0.0735774363302131
X601288.CH.EQUITY,0.236750885259922,0,0.0606722370863541,0,0,0,-0.0377394335004302,0.226138780673851,0,0,0,-0.0632991503996861,0,0,0,0.168653537065755,0,0.0826556491976099,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194776711093539,0,0,0.0850979489563905,0,0.0582263468564906,0
X600036.CH.EQUITY,0,0.194775124800608,0,0,0,0.0391112659296089,0.118825660931984,0.0840669962380442,0,0,0,0,0,0.199180904969729,0.0508294210774067,0,0,0,0,0,0,0,0.0696681702192899,0,0,0,0,0,0.322844385787616,0.0447794626283787,0,0.0110412887079775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0612745898090927,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0.163836744292798,0,0,0,0.197856964105654,0,0,0,0,-0.0223124569486967,0,-0.0780373088375895,0,0,0.00203258568028563,0.0937371108823176,0,0,0,0,0.63251114446352,0,0,-0.0349051530317263,0,0.106599411914013,0,0,0,0,0,0,0,0,-0.0435453537267448
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.255394630720594,0,0,0,-0.0361149712891403,0,0,0,0,0,0,0,0,0,0,0.0872955816814564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0868224383224273,0.183649183783629,0.100987642767604,0,0,0,0,0,0.0704097597113495,0.119154546576809,0,0.0583828951970035,0
X601988.CH.EQUITY,0.0353686050254566,0,0.0197973845164156,0.208394074833184,0.367065583529121,0,0,0,0,0,0,0,0,0.0179498996470499,0,0.172527727680543,0,0,0,0,0,0,-0.0196521180118647,0,0,0,0,0.0876489962004257,0,-3.46944695195361e-18,0,0,-0.121258330430499,0,0,0.253025264595302,0,0,0,-0.0903617674122433,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.02835580894512,0,0,0,0,0,0.0437153064338611,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.141877715461343,0,0.0124501394160873,0,0,0,0,0,0,0,0,0,0,0,-0.000390581734813259,0.474212227114657,0,0,0.260792515104618,0,0.194207780272961,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,-0.0261059544324989,0,0.0760509574369853,0,0,0,-0.0106338554545907,-0.0703498346027766,0,0,0,0,0,0,0,0,0,0.432004648770131,0,0,0,0,0.277366712933715,0,-0.0313416440566778,0,0,0,0,0,0,0,0,0,0.323430051504253,0,0,0,0.0216553171014227,0.0924808212753284,0,0,0,6.93889390390723e-18,0,0,0,0
