,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.0178386895375584,0,0.00611435634121921,0,-8.67361737988404e-19,0,0,0,0,0,0.466476687666875,0,0,0,-0.0967645474419589,0,0,0,0,0,0,0,0,0,0,0,0,0.0504016608473058,0,0,0,0,0,0.0621745290664565,0,0,0.0893655664517911,0,0,0,0,0.209522491370066,0,0,0,-3.46944695195361e-18,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,-0.0154066784694318,0,0.0165324002688345,0,0,0.112997958422847,0,0.180503872801376,0,-3.46944695195361e-18,-0.0572881061591087,0.203688050468571,0.0568250764623422,0,0,0,0,0,0,-0.139267944387926,0,0,0,0,0,0,0,0,0,0,0,0.186175930710714,0,0,0,0,-0.287137338248238,0.384384184014439,0,0.259640251131047,0,0.238252381603818,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.111964113481927,0,0,0.290663898331355,0,0.225579599206027,0,-0.0426608291797859,0,0,0.0460623711555916,0,0,0,0.113569591258312,0,0,0,0,0,0,0,0.0803864210066655,0,0,-0.00607102844976874,0,0,0,0,0,0,0,0,0,0,0,-0.116469025860233,0,0.384087953366802,0,-0.0510696718598096,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.322238313984485,0,0.251003565810141,0,0.121241074908445,0.264223497810345,0,0,0,-0.19059482664303,0,0,0,0,0,0,0,0,0,0.0585661770892513,8.67361737988404e-19,0,0,-0.179556608994165,0,0,0,0,0,0,0,0,0.00156117139056352,0,-0.0838339948495329,0,0,0,0,0.136847150604223,-0.00699671299293325,0,0,0,0,0,0,0,0,0,0,-0.0196234031335584
X5.HK.EQUITY,0,0,0.0379743778977967,0.207096219583338,0,0.145185262736407,0,-0.359513084169523,0,0,0,0,0.0653251721364976,0,0,0,0,0,0,0,0,0.388108959311726,0,0,0,0.453101837686346,0,0,0,0,0,0,0.0710312045024979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186293647885307,-0.0894894727756658,0,0,0
X601988.CH.EQUITY,0.223612878624924,0.0849496527216006,0.327255414974773,0,0,0,0,0,0.116282341503931,0,0,0.145498256836166,0,-0.225199467988111,0,0,0,-0.110872018958164,0,0,0,0,0,0.143282040754405,0.0805735553717832,0,0,0.133241090585007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323408117791398,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0.0794334240207827,-0.0311389784532444,0,0.0682746934149697,0,-0.0370763881505053,0.0313957979334056,0,0.339350294238305,0,0.251238614644725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0441683072330123,0.0109826114467423,0,0.0634115729699969,0,0,0,0.0843157406245337,0,0,0.156721782297428,0,0,0,0,0,0,0.0674908487766579,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0718776146066008,0,0,-0.0225500951599159,0,0.0286360860142542,0,0,0,0.312753041911362,0,0.126979788522901,0,0,0,0,0,0.151993367236976,0,0,0,0,0,0,0,0,0,0.0419396425084285,0,0,0,0,0.101668169154132,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0741768036539612,0.225185806862647,0,0,0.142547496543454,0.00283257685010144,0,0,0,0,0.0700021363579346,0,0,0,0,0,0,0.0298942507166322,0,0,0,-0.156957876453745,0,0,0,0,0,0.154089109592689,0,0,-0.117342323221832,0,0,0,0,0,0,-0.113804063742416,0,0,0,0,0.145373557827241,0,0,0,0,6.93889390390723e-18,0,0,0,0.12061039494056
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.107291475774849,-0.0262990160912797,0,0,0,0,0,0,0,0.233445993173408,0,0,0,0,0,0.0663922799372106,-0.0338910954241519,0,0,0,0,0.218401018036763,0,0,0,-0.184762551698866,0,0,0,0,0,0,0,0,-0.0831676111073102,0,0
X601166.CH.EQUITY,0,0,0.116155785399102,0,0,0,0.380036724642494,0,0,0,0,0,0,0,0.0418291844443508,1.0842021724855e-19,0,0,0,0.0969666466310375,-0.00247360134640059,0,0,0.0813169351727509,0,0,0,0,0.222920655823415,0,0,0,0,0,0,0,0,0,0,0,0,0.15938709223935,0,0,0,0.0323929708282517,0,0,0,0,0,0.0706986855114855
X601328.CH.EQUITY,0,0,8.67361737988404e-19,0,0,0.0414510052025899,0,0,0,0,0,0,0.557385192260574,0,0,0,0,0,0,0,0,0,0.215396487729795,0,0,0,0,0,0.030622541510265,0,0,0,0,0.0264638648692028,0,0,0,0,0,0.109340766642514,0.00982891705182807,0,0,0,0.0118879310294915,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0.0406528164669496,0,0,0,0,0.279783896733187,-0.029019789063309,0,0,0,0.316585534677523,0,0,0.092372921752844,0,0,0,0,0,0,0,0,-0.106713600195263,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137593951772915,0.0662627223847519,0.0679792464518544,0,0,0,0,0
X000002.CH.EQUITY,0.0292466080734198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0389614619550747,0.00822116685451318,0.0647463018748308,0.117912906597917,0,0,0,0,0,0.0568620589944956,0,0,-0.187316440570302,0.443104874786467,0.0776525476764584,0,0,0,0.15229310173401,0.00596384351033432,0,0,-0.0224792193024366,0,0.068426308489164,0,0,0,0,0,0,0,0.151553524089741,0,0.0571607973335378
X000001.CH.EQUITY,0,0.0461173857714361,0.0480881826605185,0,0,0,0.172758849074611,0,0,0,0.172477195855827,0,0,0,0,0,0,0,0,0.131832022602589,0,0.00339321915272749,0,0.0686792002691008,0,0,0.155155568361437,0,0,0,0,0,0,-0.141704460950343,0,0,0,-0.187590408421316,0,0,0,0,0,0,0,0,0.21855928143838,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0.292076259019175,-0.012144550212606,0.270594043790769,0,0,0,0,0,0,0.0169747168146054,0,0,0,0,0,0.231309681416872,0,0,0.00393278363896902,0.174523122007102,0,0.251745919373056,0,0,0,0,0,0,0,0,0,0.0919088878929889,0,0,0,0,0,0,0,0,0,0,0,0
