,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.137597309010708,0,0,0,0,0,0,0,0,0,0,-0.0977110758823609,0.43472350869158,0,0.688276217927415,0,0.0393175113120128,0,-0.127708475688477,0,0,-0.0822704787621851,0,0.103756333557318,0,0,0,0,-0.135506656916555,0,-0.339561881203625,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,6.93889390390723e-18,-3.46944695195361e-18,0,0.131378709435497,0,0,0,0,0,0,0,0,0,0,0.0387947864369989,0,0,0.326021270007376,0,0,0,0,0,0,0,0,0,0.121119340337276,0,0,0,0,0,0,0.200686633837303,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0206721164994845,0.141539742881255,0
X601939.CH.EQUITY,0,0,0,0.803160096631652,0.00227325642310584,0.00151464612875559,0.0154952575751232,0,0,0,0,0,0.0107559673321867,0,0,0,0,0,0.0520801768617557,0,0,0,0,0,0,0,0,0,0,0,0,0.0897112447243827,0.0418523478346787,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0.0320716569964512,0,0,0.0379121109519064,0,0,0,0.0144967558179967,0
X601288.CH.EQUITY,0,0,0.920382647906795,0,0,0,-0.0678142048384158,0,0,0,0,0,0,0,0,0,0,0.116125887472551,0,0,0,0,0,0,0,-0.0148117628799501,0.0589106760331558,0,0,0,0,0,0,0,0,0,0,-0.103988841343064,0,0,0,0,0,0,0,0,0,0,0,0,-0.0483927409541771,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,-0.116708320706862,0,0,0,0,0,1.16075217996906,0,0,0,0,0,0,-0.125301014530304,-0.0110578748059052,0,0,0.0821243275102283,0,0,0.0613611859372551,0,0,0,0,0,-0.218650498250382,0,0,-0.252668255025296,0,0,0,0,0,0.0416584187976705,0,0.0878633225079915,0,0,0,0,0,0,0,0.190014054139122,0
X600036.CH.EQUITY,0,0,0.377509200421671,0,0,0,0,0,0.00173229977386684,-4.33680868994202e-19,0,0,0,0,0,0.14145686386915,0,0,0,0.0068831873302298,0,0,0,0,0,0,0.194232819515959,0,0.0164337255948236,0,0,0,0.188126925025752,0,0,0,0,0,0,0,0,0,0,0.0311821527892882,0,0,0,0,0,0,0,0,0.0135567895053342
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.708645418334888,0,0,0,0,0.102298089726369,0,0,0,0,0,0.111117358782872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0650386798638162,0,0,0,0,0,0.0898391344445721,0.158529973366047,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0228736368236282,0,0,0,0,0,0,0,0,0.207740449597227,0,0,-0.191742416559637,0,0,0.139752443983993,0,0.0154253705057843,0,0.290955314073168,0,0,0.11507149101896,0,0,0,0,0,0,0,0,0,0,0,0.383790156456964,0,0.0152141634457567,0,0.153432741347996,0.116972215676977,0.111230391395508,0
X5.HK.EQUITY,0,0,0,0,0,0,-0.084658142885877,0,0,0,0,0,0,0,0.165766669370696,0,0,0,0,0,0,0.204672408453963,0,0,0.238526351045746,0,0.191072788971388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133310461399612,0,0,-0.058782126030259,0,0,0,0,0,0.136807785116445,-0.0505435097658206,0.219921782212408
X388.HK.EQUITY,0,0,0,0,0,0,0.249945362810096,0,0,0,0,0,0,0,0,0,0,0,-0.235432567644002,0,0,0,0,0,0,0.390725006195207,0,0,0,0.0633735248692452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221949950136519,0.0367046770956207,0,0.0837275897056426,0,-0.220982951281846,-0.0713986817763776,0.028039351063552,0
