,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X600999.CH.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.0272324072258294,0,0.205651652879107,0.0400518690354286,0.0161753493675315,0,0,0,0,0,0,0,0,0,0,0.208681661133852,0,0,0,0,0,0.00102109844554474,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0.0243170632358319,0,0,0,0,0.0651462704615346,0,0,0,0,0,0.113111745332575,0,-0.0412790827643967,0,0
X601318.CH.EQUITY,0,0,0.0183476327878175,0.0769315917288074,0,0,0,0,0.149315101378538,0,0.0488211586810507,0,0.136010595040495,0,0,0.0276490413535706,0,0.0932312409449097,0,0.222393629872248,0,0,0,0,0,0,0,0.0455560465513024,0,0,0,0.1059744502656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102411987715218,0
X601939.CH.EQUITY,0,0,0,0,0.122887315565311,0,0,0,0,0,0.0937485189814209,0,0,0,0,0,0,0,0,0,0.00266007044908874,0,0,0.567996031251311,0,0.165267426904311,0,0.125905587489972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00594827327008624,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.11114376775276,0,0,0,0,0.232477357940512,0,0,0,0,-0.00783312078829895,0.215695997252256,0,0.168529220981149,0,0,0,0.0228385010439969,0,0,0,0.246523685208426,0.151949077142462,0,0,0,0,8.67361737988404e-19,0.0148526317115402,0,0,0,0,0,0,0,0,0,0.0731420144463097,0.0310615244740032,0,0,0,0,0.00622189707973617,0,0,0,0,-0.0714706699042979,0,0
X601288.CH.EQUITY,0.0459795590384829,0.153136473471574,0.0415325480240907,0,0,0.0972873686548406,0,0.434742098255343,0,0,0,0,0,0,0,0.0115881138274868,0,0,0,0,0,0,0,0,0,0,0,0,0.103629628749728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333795370392402,0,0,0,-0.078789938785066,0
X601628.CH.EQUITY,0,0,0,0,0.113800488803016,0,0,0,0,0,0.00597120087941715,0.0328413072361816,0,0,-0.08155110959872,0.0145046330197663,0,0,0,0,-0.0345794726471585,0.0277719997635303,0,0,0,0,0,-0.0858720430095789,0,0.0119854618587343,0,0,0,0.0589710377395785,0.624759390859289,0,0,0,0,0,0,0,0,0,0,0,0,0.167676981348502,0,0,0,0.247106852521866,0
X1299.HK.EQUITY,0,0,-0.0733277910093368,0.0175296704330959,0,0,0,0,0,0,3.46944695195361e-18,0.120552872832508,0,0,0,0,0,0,0,0,0.179650952819971,0,0,2.16840434497101e-19,0,0,0.170171840673523,0,0,0,0,0,0,0,0,0,0,0.0690395997548623,0,0.168061336350159,0.0102511657944617,0,0.0405061041973839,0,0.112625131989415,0.0542330454984291,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.132410257301959,0.730913421575235,0,0,0,0,0,0,0,0.0297734464455486,0,0,0,0.0184772235059173,0,0,0,0.0809188015568653,0,0.199780234181989,0,0,0,0,-0.034718544192515,0,0,-0.134665900871089,0.125852405299313,0.0351920687131439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00863325433138776,0
X5.HK.EQUITY,0,0,0,0,0,0.00954755378299355,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130401300229341,0,0,0,0,0.0847262311113238,0,0.179542837700431,0.015475062912491,0,0,0,0,0,0,0,0,0,0,0,0.337359217551778,0,0,0,0,0,0.149647397435404,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.0836032442270596,0.0410325324026985,0,0.0375802532268842,0,0,0,0,0.0373191284194329,0,0.123607244379142,0,0.0446499477645462,0,0,0,0,0,0,0,0.157405335228383,0,0,0,0,0,0.391816744021291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
