,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.13457212670095,0,0,0,0,0,0,-0.00466657158248614,0,0,0,0,0,0,0,0,0,0,-0.0303096991182385,0.017609874546492,0,0.365081170868688,-0.176017574590344,0.452120685170718,0,0,0.249511580827964,-0.10170198752229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0230595043132465,0
X601318.CH.EQUITY,0,0,0,0.00469831827418654,0,0.299207847404588,0,0,0,-0.0684156578472699,0,0,0,0.101919431465307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00341412959896076,0.0612501893422928,0,0,0,0,0.272711857510713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0664386448284288,0
X601939.CH.EQUITY,0,0.0477466682177329,0,0.795752671941601,0,0,0,0,0,0.0469471129053617,0.0303007939011245,0,-0.0276133521643439,0.020788023041979,0,0,0,0.0833907851381813,0,0,0,0,0.00108373185195076,0,0,0,0.0218898300125832,0,0,0,0.022153161402221,0,0,0,0,0,0,0.0799681229209677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.911502135028874,0,-0.0481246755185745,0,0,0,0,0,0,0,0,0,0,0.0179571788207826,0,0,0.137050297174504,0,0,0,0,0,0,0,0.029937472987469,0.0049775559646587,0,0,0,0,0,0,0,0.0114599914112537,0,0,0,-0.088653699321414,0,-0.107356991779596,0,0,0,0.0259806465113727,0,0,0,0,-0.0365348179392431,0,0
X601628.CH.EQUITY,0.0121755323367387,0,0,-3.46944695195361e-18,0,0,0,0,0,0.252642578792564,0,0.169289263771502,0,0,0,0,0,0,0,0.0619633981140368,0,0,0,0,-2.77555756156289e-17,0,-0.0666920952761814,0,0,0,0,0,0,0,0,0,0,0.506936950551918,0,0,0,0,0,0,0,0.0109444315621168,0,0.293397133758546,0,0,0,0.0517115631915824,0
X600036.CH.EQUITY,0,0,0,0.329163496492911,0,0,0.00603206604008775,-2.16840434497101e-19,0.036973361552812,0,0,0,0,0,0,0,0.172072675249187,0.0120390619606694,0,0.0250919164866267,0,0,0,0,0,0,0.0363600249880804,0,0.170487156939446,0,0.114704168298575,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0406049394984754,0,0,0,0.0420036201566513,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.0686182066255723,-0.0230731098075511,0,0,0,-0.029170416668329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0547664719569403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0102245891803671,0,0,0,0.00135449814999034,-0.117031272539539,0,0,0.996631847552159,0,0.0209374436758994,0
X1299.HK.EQUITY,0,0,0,0,0.103877538068486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29722487843782,0,0,0,0,0,0,0,0,0,0,0.128774571075311,0.306676314849242,0,0,0,0,0,0,0,0,0.0343974053827092,0.0572435491998346,0,0,0,0.0510601382989356,-2.16840434497101e-19,0,0,0.105847880364179,-0.0307634372775922
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00662114330158636,0,0,0,0,0.250200864447249,0.453821415682572,0,0,0,0,0,0,0,-0.012814808458343,0,-0.171685684873686,0.113605869396586,0,0,0,0,0,0.0123061383767262,0,0,-0.167892747574398,0,0,0.211066273530014,-0.0354234854655375,0.0440598355494147
X388.HK.EQUITY,0,0,0,0,0.162702023033462,0,0,0.216250357658601,0,0,0,0,0.0242239097304597,0,0.0346988989102277,0,0,0,0,0,0,0.297072044802454,0,0,0.132094948129446,0,-0.0826223917401107,0,0,0,0,0,0,0.0845723876297837,0,0,0,0,0,0,0,-0.023304235340314,0,0,0,0,0,0,-0.182802622851242,0,-0.0428082724175512,0.303149979206217,0
X601658.CH.Equity,0,0.152399934563801,0.0803165767310608,0.176225339072878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.061791161229375,-0.0132289172019885,0,0,0,0,0,0,0,0.160789811066023,0,0,0,0,0,0,0,0,-0.141568254705511,0,0,0,0.715973653019897,-0.05753613624438,0,-0.226969274843997,0,0,0,0,0,0,0
