,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2891.TT.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0.109263360096796,0,0.0683058666920134,0,0,0,-0.100239623497714,0,0,0,0.482625880003185,0,0,0,-0.0732413944535234,0,0,0,0,0,0,0,0,0,0,0,0,0.0606163095198798,0,0,0,0,0,0.0202423841688645,0,0.0776434907203549,0,0,0,0,0,0.228733317576587,0,0,0,0,0,0,0,0,-0.0302346743929727
X601318.CH.EQUITY,0,0,0,-0.0799157698077063,0,0.139778266785379,0,0,0.118140008446507,0,0.0902302828551236,0,0,-0.103924339526811,0.0974440588900189,0.0184560690546911,0,0,0,0,0,-0.078886548304244,0,0,0,0,0,0,0,0,0,0,0,0,0.180680525787742,0,0,0,0,-0.232370497099376,0,0.354732320134412,0.188075283030656,0.154210350130631,0,0,0,0,0,0.210953136061165,0,0
X601939.CH.EQUITY,0.328689808844526,0,0,0.292485359320723,0,0.089245446695302,0,-0.0475361361743218,0,0,0,0,0,0,0.136764207260634,0.0323141332781546,0,0,0,0,0,0,0,0.0719138359117835,0,0,0,0,0,0,0,-0.0111880150930792,0,0,0,0,-0.108556783893664,0,0,0.333890845457025,0,0,0,0,0,0,-0.0403611544855969,0,0,0.0117955775215377,0,0
X601288.CH.EQUITY,0.475128898748843,0,0.0906459999949871,0,0,0.183039070415863,0,0,0.0303471384831303,0,0,0,0,0,0,0,0.0352959840526828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17757936812113,0,0,0,0,0,0,0,0,0.144343252868836,0,0,0.0522702060889335
X5.HK.EQUITY,0,0,0.0608736854750547,0.233639827475036,0,0.127525765955836,0,-0.398758193780853,0,0,0,0,0.107391224340478,0,0,0,0,0,0,0,0.413057712440701,0,0,0,0,0.490700285757154,0,0,0,0,0,0,0,0.100025424522383,0,0,0,0,0,0,0,0,0,0,-0.189740595894088,0,0.119107120252127,0,-0.00516264774992061,-0.000618654100294413,0,-0.00670579314351738
X601988.CH.EQUITY,0.190264509297404,0,0.216663342867869,6.93889390390723e-18,0,0,0,0,0.150376747047856,0,0.0703949388444368,0.187710166001118,0,-0.292388317854152,0,0,0,0,0,0,0,0,0,0.180367834439785,0,0,0,0.0926911138917431,0,0,-0.0460524135305261,0,0,0,0,0,0.0456259320135182,0,0,0,0,0,0,0.0507039196662473,0.0377493633638501,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0.108606850980062,-0.0512748562785502,0,0.255987419194662,0,-0.0451068024146365,0.0108226292365338,0,0.346778962510942,0,0.24480524273085,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0.0767277401582241,0,0,0.0831211765010275,0,0,0,0.123688043354369,0,0.0386129278173093,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0761422712796448,0,0,0,0.118907667274069,0,0,0,-0.148233021435469,0.0449105981142776,0,0,0.362322460799832,0,0.249921930877259,-0.0175761213178425,0,0,0,0,0,0.054939461655509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.202804399000177,0.327786617261268,0,0,0.126085676998071,0,0,0,0,0.0258590248219252,0,0,0,0,0,0,0,0.110410820970133,0,0,-0.042797928956255,0,0,0,0,0,0,0.0759036361010799,0,0.0106256282887266,-0.172642963745662,0,0,0,0,-0.025226247361313,-0.058545321421768,0,0,0,0,0,0,0,-0.129161640141329,0,0,0,0,0,0,0.153515283580815
X601658.CH.Equity,0,0,0,0,0,0,-0.291815630452212,0,0,0,0,0,0,0,0,-0.0854726587976413,0,0,0,0,0,0,0,0.509519271606322,0,0,0,0.223929217134517,0,0,0.204105400883984,0,0,0,0.0445750461399382,-0.434046839227153,0,0.284747978151214,0,0,0,-0.0755495488087833,0,0,0,0,0,0,0,0,0,-0.502579431708642
