,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X300059.CH.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X002736.CH.EQUITY,X000776.CH.EQUITY,X600606.CH.EQUITY,X601169.CH.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0.125974741771272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.398479547925908,0.311152850921718,0.0094310447100213,0,0,0,-0.0860055107765082,0,0,0.273941212876532,0,0,0,-0.272271753411026,0,0,0,0,0,0,0.0183046721914322,0,0,0,0,0,-0.268299620853868,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.210204862716517,0,0,0,-0.00911836672484308,0,0,0,0,0,0,0,0,0.0427624430898068,0,0,0,0,0,0,0,0,0.0578337018921393,0,0.0397916475824555,0,0,0,0,0,0,0,0.23356083390616,0,0,0,0,0,0,0,0,0.0929325777365678,0,0,0.343098786811713,0,0
X601939.CH.EQUITY,0,0.0567291313598298,0,0.809717250299601,0,0,0,0,0,0,0,0,-0.0311910917516851,0,0,0.0153426532208181,0.119305868726142,0,0.0219918799959381,0,0,0,0,0,0,0,0.0317271410257346,0,0,0,0,0.0276710158839827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0167100765682056,0,0,0
X601288.CH.EQUITY,0,0,0.88317216104227,0,-0.115935822934155,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0.0459192359974094,0.0407093455221884,0,0.157938974951296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119992667234024,-0.108583903978247,0,0,0,0,0,0,0,0,-0.0355886083276523,0,0.0176466970033566,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.050429262934013,0,0.439736416906942,0,0,0,0,0,0,0,0,0,0.0795720336573536,-0.0478427686329844,0,0,0,0,0,0,0,-0.0192555523367599,0,0,0,0.339977111338253,-0.141074502930128,0,0.0904894015460595,0,0,0,0,0,0,0.158969849087996,0.173378775193687,0,0,0,0,0.0914539511395177,0
X600036.CH.EQUITY,0,0,0.408792768371138,0,0,0,0,0,0.0248230589317195,-0.00639779235403669,0,0,0,0,0,0,0.106788623665462,0,0,0.00488779333019886,0.012687406228952,0,0,0,0,0,0.191709763980057,0,0,0,0,0.123094184835063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,3.46944695195361e-18,3.46944695195361e-18,-0.0682107341741102,0.128614829797396,0,0,0,0,-0.0387977097205952,-0.0669271293463819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.110262169921734,0,0,0,0,0,0,0,0,-0.0362327880639409,1.06249577093878,0.0224922387769086,0
X1299.HK.EQUITY,0,0,0,0,0.2385754392489,0,0,0,0,0.199873140662115,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.21900402907254,0.0574542135970422,0,0.411229166844226,0.1926222688257,0,0.115974490111418,0.167340288398151,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,-0.0941918579875782,0.0784616209950458,0,0,0,0,0,-0.0377977028832017,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179137149673398,0,-0.159096279309408,0,0,0,0,3.46944695195361e-18,0,0,0.317026374142562,0.301691242510408,0,0,0,0,0,0,0,-0.246618149789862,0,0,0,0.0225942652168456,0,0,0,0.0814013856485368,0.0104557788396756,0,-0.04639891976195,0,0,0.28927703130022,0,0,0.0139025140354751
X388.HK.EQUITY,0,0,0,0,0.284250161975689,0,0,0,0,0,0,0,0,0,0,0,0,-0.24675801650212,0,0,0,0,0,0,0.351491691081753,0,0,0,0,0.0942869337168205,0.116377040087239,0,0,0,0,-0.0116754882537177,0,0,0,0,0,0,-0.17644612286054,0,0.100460541785063,0.11619723316818,0,0,0,0,0,-0.0357800498607613
