,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X300059.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X688.HK.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0.278807523159312,0.0247926910099279,0.0472311800947463,0,-0.0190408075792824,0.263504778041261,0,0,0.00226223978759369,0.0807814987079517,0,0,0,0,0,0,0,0,0,0,0,-0.0427266973870199,0.183771469536634,0,0,0,0.0536773158509561,0,0,0.027398676449919,0,0,0,0.0297020403458512,0,0.113599520553608,0,0,0,0,0,0,0,0,0,0,-0.0239056278239897,0,0,0
X601318.CH.EQUITY,0,0,0.282422362048905,0,0,0,0,0,0.0749547078010839,0,6.93889390390723e-18,0,0.0096276794190072,0,0.194042108398654,0,0,0,0,0,0,0.0728314229816426,0,0,0,0,0,0.129413840360863,0,0,0,0,0,0,0,0,0,0,0,0,0.0620860126598944,0,0,0,0.0710003673068539,0,0,0,0,0,-0.0250981582938999,-0.08280715540068
X601939.CH.EQUITY,0.397178021630152,0.000393237276458095,0,0,0,0,0,0.340015732888461,0.218533638987772,0,0,0,0,0,0,0,0.066685427736421,0,0,-0.00075262152752882,0,0,0,0,0,0,0,0.343844517788287,0,-0.0411727691463847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0561445686159367,0
X601288.CH.EQUITY,0,0,0.135887061217897,0,0,0,0,0.512931128288894,0,-0.0524242499225846,0,0.0142443145701856,0,0,0,0,0,0,0,0,0,0,0.142462668629233,0,0.00881576325667106,0,0,0.145424057713612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176449897631227,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.170163366269318,0,0,0,0,0,0,0.074765397030899,0,0,0,0,0.0440914724698697,0,0,0,0,0,0,0.033986614075789,0.496786149073754,0,0.158928205694253,0,0,0,0,0,0,0,0.034962906202723,0,0,0,-0.0904729822439586,0,0,0,0,0,0,0,0,0,0,0,-0.101272497569873
X1299.HK.EQUITY,0,0,0,-0.086328239100173,0,0,0,0,0,0.185260520495282,0,-0.0530127355555291,0,0,0,0,0,0,0,0,0.0597850946241484,0,0.147894272943764,0,0,0,0,0,0,0,0,0,0,0,0,0.09954265824209,0,0.147506147908784,0,6.93889390390723e-18,0.134810526918015,0.108961942313702,0.0520726494867125,0,0,0,0,0,0.209372615130696,0,0,0
X601628.CH.EQUITY,0.077829872669234,0,0,0,-0.0032484346909704,4.33680868994202e-19,0,0,0,0,0,0,-0.0025812219691231,0,0,-0.178806878506015,0,0,0,0.26278472357071,0,0,0,0,0,0,-0.110477652050622,0,0,0,0,0,0,0,0,0,0.610793751382115,0.0519127783119865,0,0,0,0,0,0,0,0,0,0,0,0,-0.0594153300633099,0
X601988.CH.EQUITY,0,0,0.0748723381856044,0.441743115430843,0,0,0,0,-0.0916644600588631,0,0,1.73472347597681e-18,0,0,0,0,0.280065862902999,0,0,0,0,0,0,0,0.0835236215458253,0,0.0452701944861649,0,0,0,0,0,0,0,0,0,0,0.00190612455419722,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.221006249226593,0.134202638044735,0,0,0,0,0,0,-0.0636133287481016,0,0,0,0,0,0,0,0,0,-0.0594887741375279,0,0,0.430080014769548,0.159486075228215,0,-0.0396853682254538,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000287971868580962,0,0,0.113689842831571,0,0,0,0,0.20820553136459,0,0,0,0
X388.HK.EQUITY,0,0,0,0,-0.290032907641871,0.262591710668104,-0.0306674893168259,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0.272550679462054,0.31479501243144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0841099927590308,0,0,0.114044078928498,0,0,0,0,0,0,0.0428315781620541,0,0,0,0,0,0
