,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.137604839565428,0,0,0,0,0,0,0,0,0,0,-0.097716474670192,0.434736175286336,0,0.68827622388325,0,0.039315823784479,0,-0.127707423017148,0,0,-0.0822691874596369,0,0.10375400875593,0,0,0,0,-0.135510070439303,0,-0.339563224350724,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,6.93889390390723e-18,-3.46944695195361e-18,0,0.113159715463555,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307966576571845,0,0,0,0,0,0,0,0,0,0.114201108257151,0,0,0,0,0,0,0.472241469097796,0,0,0,0,0,0,0,0,0,0.0916500297893055,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.790705419671505,0.0123159008669193,0.0241842025409108,0.023402209820888,0,0,0,0,0,0,0,0,0,0,0,0.0461060592741811,0,0,0,0,0,0,0,0,0,0,0,0,0.0948135607085741,0.0279736353151841,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0.0374504224070744,0,0,0.0323840801174255,0,0,0,0
X601288.CH.EQUITY,0,0,0.877933913291717,0,0,0,-0.094833049589964,0,0,0,0,0,0,0.011382970163721,0.0380317026528065,0,0,0.154836539835933,0,0,0,0,0,0,0,-0.0610783272411032,0.0154812594105289,0,0,0,0.00569899656682392,0.0106058595282485,0,0,0,0,0,-0.151926310724996,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.07710782242941,0,0,0,0,0,0,0,0,0,0,0,1.24416226905674,0,0,0,0,0,0,-0.227777188042551,-6.93889390390723e-18,0,0,0,0,0,0.0572604504109945,0,-0.113785248627759,0,0,0,-0.111951200376319,0,0,-0.198812927135498,0,0,0,0,0,0.00333593900300432,0,0.00393430627241868,0,0,0,0,0,0,0.0104661180934346,0
X600036.CH.EQUITY,0,0,0.377509200421671,0,0,0,0,0,0.00173229977386684,-4.33680868994202e-19,0,0,0,0,0,0.14145686386915,0,0,0,0.0068831873302298,0,0,0,0,0,0,0.194232819515959,0,0.0164337255948236,0,0,0,0.188126925025752,0,0,0,0,0,0,0,0,0,0,0.0311821527892882,0,0,0,0,0,0,0,0.0135567895053342
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.117609186695398,0.747594690595458,0,0,0,0,0.0916493336746702,0,0,0,0,0,0.104354682721257,0,0,0,0,0,0,0,-0.0503956567414171,0,0,0,0,0.0645260349477827,0.179077124560922,0,0,-0.120146739947246,0,0,0,0,0.0774050453762723,0,0,0.10634087176786,0,0,0.0218186527395894,0
X1299.HK.EQUITY,0.0419895047628743,0,0,0,0,0,0,0,0.185896223180261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.266660216599095,0,0.0961702081909862,0.156300921168184,0,0.00345560337463829,0,0.315902344291707,0,0,0.096191043335329,0,0,0,0,0,0,0,0,0,-0.0394837115158201,0,0.430279492488933,0,0,0,0.0827878082313071,-0.114020742874241,0
X5.HK.EQUITY,0,0,0,0,0,0,-0.299110672921372,0,0,0,0,0,0,0,0.291666234399122,0,0,0,0,0,0,0,0,0,0.471995670858827,0.0994031001148361,0.0518538385371142,0,0.131131888140441,0.0656908328332404,0,0.0451679343544105,0,0,0,0,0,0,0,0,0,0.0960358083610812,0.0212608122296441,0.0555799314424319,0,0,0,0,0,0,0,0.186513349323541
X388.HK.EQUITY,0,0,0,0,0,0,0.217114257958993,0,0,0,0,0,0,0,0,0,0,0,-0.215608771556974,0,0,0,0,0,0,0.356947127054471,0,0.0663908501263751,0,0.12370579757464,0.0238208772735735,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166555947137858,0.0423001305016132,0,0.0595272251881179,0,-0.266680154283819,6.93889390390723e-18,0
