,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.117233376942314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0727822229475707,0,0.425825543130582,0.37006199076466,0.062519769686195,-0.248584755136449,0,0,0.165463649829928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0533097295735991,0,0,0,0,0,0,0,-0.0207182980915513
X601318.CH.EQUITY,0,0,0,0,0,0.27001197798308,0,0,0,-0.0850793903188808,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0.191659000242713,0.0390786716724826,0.00955572302593036,0,0,0,0.227806312891966,0,0.158683298466785,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,-4.33680868994202e-19,0,0.839231945084123,0,0,0,0,0,0.0163957488547921,0,0,-0.0558571696295175,0,0,0,0.0383709099902359,0.129400603451276,0,0,0,0.00265782597469912,0,0,0,0,0.0312119788724227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071630000385663,0,0,0.00658166349857828,0,0
X601288.CH.EQUITY,0,0,0.904716814740058,0,-0.103139300727135,0,0,0,0,0,0,0,0,0,0,0.0223318494969911,0,0,0.181861477877547,0,0.067983456568438,0,0,0,-0.0647712549802985,0,0.019132449647696,0,0,0,0,0,0,0,0,0,0,0,0,-0.0225164235746293,-0.0823993278328231,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,-0.0163721480030561
X601628.CH.EQUITY,0.0186329291655471,0,0,3.46944695195361e-18,0,0,0,0,0,0.252906975756998,0,0.247397486291493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.105959098597016,0,0,0,0,0,0,0,0,0,0,0.55250215522137,0,0,0,0,0,0,0,0,0.284961309616353,0,0,0,0.0169079728119369,-0.0307497368722083
X600036.CH.EQUITY,0,0,0,0.329067718865375,0,0,0,0,0.0692185331420764,0,0,0,0,0,0,0,0.145464256137746,0.141519973657468,0,0,0,0,0,0,0,0,0,0,0.115834068236261,0.147581477894659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0471849115859544,0,0,0,0.00404224639970162,0,0,0.00907591050525348
X601988.CH.EQUITY,0,0,0,0.00454761710595553,-0.138089329471249,0.0764210610394948,0,0.0506425864676847,0,0,0,-0.0201912862629555,0,1.38777878078145e-17,0,0,0,0,0,0,-0.0422910097249262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10805626298132,0,0,0,0,0,0,0,0,1.05176029856971,0.00190178446145528,0
X1299.HK.EQUITY,0,0,0,0,0.140578917797928,0,0,0,0,0,0,0,0.0441012532226081,0,0,0,0,0,0,0,0,0,0,-0.123755786340651,0.129844027036634,0,0,0.0687288831420137,0,0,0.178673658380625,0.332909384270867,0,0,0,0,0,0,0,0,0,0,0.145479704202059,0,0,0,0.0663968245858512,0,0,0,0,-0.00560130228089482
X5.HK.EQUITY,0,0,0,0,-0.00868690661083905,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.31131760365926,0,0,0,0,0,0,0,0.18074660316543,0.523954116235943,0,0,0,0,0,0,0,0,0,0,0.0495030177387148,0,-0.100899110827013,0,0,0.0502288603358029,0.133744712930861,0,-0.133810690108759,0,0.0436347933211975,0,0,0
X388.HK.EQUITY,0,0,0,0,0.266863074635968,0,0,0,0.122269093655827,0,0,0,0,0,0.0161182506407037,0,0,-0.428279241305339,0,0,0,0,0,0,0.53777846879485,0.222989213736089,0,0,0,0,0.122429031824225,0.0174830601460434,0,0,0,0,0,0,0,0,0,-0.023497256301041,0,0,0,0.0745951815814105,0,0,-0.0874995268676415,0,0,0
