,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.182763786290938,0,0,0,0,0.498894449616459,0,0,0,0,0,0,0,0,0,0,0,0,-0.156548991350236,0,0,0.501586661753899,0,0,0,0,0,0,0,-0.0163456941792485,0.0912363774424215,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.1561609123969,0,0.244955697599118,0,0,0,0,0,0,0,0,0.280374022376156,0.0767095405151565,0,0.038241120236841,0,0,0,0,0.0752848930673088,0,0,0,0,0,0,0,0,0,0.0826520188590687,0,0,0,0,0.0290089633364759,0,0,0,0.0127972866886025,0,0,0.0449210628748953,0,0,0
X601939.CH.EQUITY,0,0,0,0.553252263617478,0.0205446549023794,0,0,0,0,0.327837726089751,0,0,0,0,0,0,0,0,0,0,0.107585670334728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0061552848379398,0,0.143069385722015,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,-0.20742278339452,0,0.0339642091758308,0,0.670039787006343,0,0,0,0,0,0,0,0,-0.0897626893440173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121660668861396,0,0,0,0,0,0,0,0,0,0,0,0,0.0251093271778843,0,0,-0.161778822790301
X5.HK.EQUITY,0,0,0,0,0,0.145678500661739,0.398079492187256,0,0,0,0,0,0,0,0,0.083840722610814,0,0,0,0,0,0.0609632518787853,0,0,0,0.00624657935295598,0.0631032092139127,-0.192242604155475,0,0,0,0,0,0,0,0,0.0575364495546749,0,0,0,0.255915379549791,0,0,0,0,0,-0.160271294955382,0,0.0874983198074869,0,0
X601988.CH.EQUITY,0,0,0,0,0.312184570341451,0,0,0,0.0235163441561856,0,0,0,0,0,0.0834362159207732,0,0.123080666351843,0,0,-0.0656436213904384,-0.0554872249255087,0,0,0,0.203288536493622,0,0,0,0,0,-0.237108391194205,0,0.0472231811065061,0,0,0,0,0,0,0.0462781349759144,0,0,0,0,0,0,0,0,0,0.14596851183094,0
X1299.HK.EQUITY,0,0,0,0,0.228007071377582,0,0,0,0,0,0,0,0,0,0,0,0.192808479886913,0,0,0,0,0,0,0,0,0.0353435975162517,0,0.0349500020820989,-0.116839118810825,0.0876798496467541,0.0539419794058968,0,0,0,0,0,0.535518760509393,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.456920834218518,0,0.236863277605595,0.120137356775044,0,0,0.0158653536969252,0,0,0,0,0,0,0,0,0,0,0,0.109316245875602,0.0198674195284297,0,0,0,0,0,0,0.0926171674862725,0,0,0,0.209633232668904,0,-0.119617724877936,0.298079312517918,0,0,0,0,0,0,0,0.0855593276367591
X601628.CH.EQUITY,0,0.100377531933075,0,0.0102221448235617,-0.0939860390466572,0,0,0,0,0,0,0.0340757923779345,0,0,0,0,0,0.192763813352344,0,0,0,0,0,0,0,0,0,0.0240180025128213,0,0,0,0,0,0,0,0.433131626068544,0,0,0,0,0,0.201706341528748,0.0843863587734508,0,0.0731853612427402,0,-0.0238650050685784,0,0,0,0
X601328.CH.EQUITY,0,0,0.189992938195097,0,-0.0101091285336044,0,0,0.460192691296777,0,0,0,0,0,0.417402476786201,0,0,0,0,0,0,0.0477971295005064,0.107347269047574,0,0.00351077212365016,0,0,0,0,0,0,0,0,-0.146492182380545,0,0,0,0,-0.13653228620883,0,0,0,0,0,0,0,0,0,0,0,0,-0.138561826601051
X601166.CH.EQUITY,0.0207824918716179,0,0.083031486502056,0.224020434452149,0,0,0,0,0.0513373405118334,0.0445728581488045,0,0,0,0.298631284250862,0,0,0,0,0.0335268454435559,0,0,0,0,0,0.0808411741349066,0,0,0,0,0,0,0,0,0.0980284828658774,0,0,0,-0.168971706010642,0,0.000797035063301168,0,0,0,0,0,0,0,0,0,0.0066668863803876,-0.0547650303245726
X601319.CH.EQUITY,0,0.0456212401962693,0,0,-0.226221779348669,0,0,0,0,0,0,0,0,0,0,0.019980429242548,0,0,-0.0193240997736712,0.00801137853517285,0,0,0.165301586465422,0,0,0,-0.0748598450275246,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.00339470262164313,-0.0735911440237293,0,0,0,0,0.444928156580287,0.00670873805907948,0.0241499826550674,0,0,0,0,-0.178001119635422
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0466211980403482,0,0,0,0,-0.0420829401745739,0.0807173813875969,0,-0.306594988060902,0,0,0,0,0,0,0,0,0,0,0,0.21563191367244,0.107841270730133,0,-0.0779368077676071,0.164706911816972,0,0,0.543055837872544,0,0,0,0,0,0,0,0,0.335114980898467,0,-0.104914386632151,-0.0858312616194015,0,0
X600000.CH.EQUITY,0.0417484609818773,0,0.206040548468064,0,0.0250591134498437,0,0,0,0,0.165003993698807,0.310405321930141,0,0,0,0,0,0,0,0,0.0425804720502054,0.0491854976989863,0,0,0,0,0,0.235055851129531,0,0,0,0,-0.11776983332384,0,0,-0.0987806733495466,0,0,0,-0.140945453277343,0,0,0,0,0,0,0,0,0,0,0,0
