,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X300059.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.0193198544187135,0,0.164863672434485,0,0,0.110455267293744,0,0.246170584283835,0,0,0,0,1.38777878078145e-17,0.189957807795976,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.0424153903935911,0,0.13789096914572,0,0,0,0,0,0,0.0288864984658234,0,0,0,0,0,0,0,0,0,0,0.0491169352671687,0,0.00614756708489127,0,0,0,0
X601318.CH.EQUITY,0.127350944533941,0,0,0,0,0,0,0,0.309005465599155,0,0,0,0,0,0,0,0.3080092400798,0,0.0389564668032924,0,0,0,0,0,0,0,0,0.00858772634245771,0,0.0151623298476519,-0.0962278912497448,0,0,0,0,0.0605408304828891,0,0,0,0,0.128768510454342,0,0,0.0695532935110432,0,0,0.0201956017186752,0,0,0.0411397325203518,0,0,0,0
X601939.CH.EQUITY,0.269218612863571,0,0,0,0,0,0,0,0,0,0,0,0,0.413716059202984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191904125175332,0,0,0.108131962419209,0,0,0.00678112586570384,0,0,0,0,0.00386135862882681,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.352846316884241,0,0,0,0,0.499077823020894,0.00600285143879916,0,0,0,0,0.0101410901134842,0,0,0.0388184981952988,0,0,0,0,0,0,-0.0328322865811749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194954006131406,0,0,0,0,0.0901083040703009,0,0,0.00900230632274111,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.0298365333374433,0,0,0,0,0.220377601942494,0,0,6.93889390390723e-18,0,0,0,0,0,0,0.406735045754343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202184346873191,0,0,0,0,0,0,0,0,0,0,0,-0.304315379750276,0.158888185093384,0,0,-0.0743167335197018
X601988.CH.EQUITY,0,0.0659440443347391,0,0,0,0,0,0,0.0804587101464878,0,0,0,0,0.0117583970684754,0,0,0,0.219528152501648,0.127645297707524,0,0,0,0,0.298481563272505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138599397485915,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.0818993285446638,0,0,0,0.282130709649048,0,0,0,0,0.190722156427792,0,0,0,0,0,0,0,0,0,0,0.0643405665048558,0,0.177037210821405,0,0.124811199945691,0,0,0,0.0061248299535297,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.0643115046550387,0,0,0,0.0169845352495211
X1299.HK.EQUITY,0,0,0,0,0,0,0.138198060527365,0,0,0,0,0,0,0,0.375929031729671,0,0,0,0.178682049323814,0.225347972464128,0,0,0,0,0,0.0107581212784985,0,0,0.278207270584501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0497817267322952,-1.38777878078145e-17,0,0,0,0,0,0
X601628.CH.EQUITY,0.389599500493037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.124214001961409,0.110024555218977,0,0,0,0,0,0.142415660923954,0,-0.0222459600994796,0,0,0,0,0.216679727103981,0,0,0.129658704276759,0,-0.0279303457834958,0,0,0,0,0.0495832819200952,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217471319554623,-0.181199800494536,0,0,0,0,0,0,0,0,-0.382940069660658,0.732860880903228,0,0,0,0,-0.395709602150497,0.434616383235132,0,0,0,0,0,-0.268328334638173
