,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X17.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0.175731278366347,0,0.0907055646545993,0,0.0784022216760324,0,0,0.187497734854775,0,0,0,0,0,0,0,0,0,0,0.353359327707813,0,0,0,0.342821823547359,0,0,-0.313222891615117,0,0,0,0,0,-0.0283299831797416,0,-0.164912030305914,0,-0.0532858750143674,0.172130806403298,0,0.0152807161428833,0,0,0,0,0,0,0,0,-0.0774663271243794,-0.0678714393240109,-0.0823590465775907
X002142.CH.EQUITY,0.174108828431955,0,0,0,0,0,0.0344128939795826,0,0,0,0,0,0,0,0.192587851334789,0,0,0,0,0.0151958473239341,0,0,0,0,0,0,0,0,0.1219400395985,0,0,0,0,0,0,0,0,-0.0106414380666184,0,0.00171706471033876,0,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0.060020276478021,0.0265753483968458,0,0,0.0763730065538301,0.2415564102518,0,0,0,0,0.389171066513524,0,0.0920905896691007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0792805861127628,0,0,0,0,-0.00257259526984557,0.0503371368734145,0,0,0,0,0,-0.0244893988053945,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0,0,0,0.324879200508824,0,0,0,0,0.304524596922895,0.0302652863732429,0,0,0,0,0.0532535621134558,0,0,0,0.0689375254499575,0,0,0,0,0,0,0,0.163988409926291,1.73472347597681e-18,0,0,0.0567310582145075,0,0,0,0,0,0,0,0,0,0,-0.0487576498229157,0,0,0,0,0
X600016.CH.EQUITY,0,0,0.190212061307345,0.202823643826504,0,0,0,0,0,0,0.319557514155897,0,0,0,0,0,0,0,-0.0631950497967227,0,0.0834087027653911,0,0,0.055768735526434,0.041450813626903,0,0,0,0,0,0.100317279889301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0732901040610037
X600036.CH.EQUITY,0.301526053131193,0.0646822125495466,0.0924728141345663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232610958614395,0,0,0,0,0,0.000750594830723317,0,0,0,0,0.328484719904142,0,0,0.0104754501512731,0,0.0115205469785867,0,0.0413147080477742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.0186966095438566,0.356920544299637,0,0,0,0.159926687463068,0,0,0,0,0,0.227253618364411,0,0,0.156512494730738,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.212444523690494,0,0,0,0,0,0,0.3833300369879,0.0376614693559988,0,0,0,0,0,0,-0.142417080128658,0,0,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0.170708847886956,0.596088027009619,0,0,0,0,0,0,0,-0.0206033270374072,0,0,0.191605283368827,0,0,0,0,0.0503122451961126,0,0,0,0,-0.01084355117218,0,0,0,0.123194038754989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0147370341114572,0,0,0,0,-0.0328426877990723,0,0
X601229.CH.EQUITY,0,0,-0.123242062020435,0.247877706407996,0,0,0,0,0,0.380654232447403,0,0,0,0.11760160853345,0,0,0,0,0.141708866471016,0,0,0,0,0,0.307677426195923,0.0562699052077662,0,0,0,0,0,0.176645111446589,0,0,0,0,0,0,0.0204340776023907,-0.0216283660869549,0,0,0,0,0.119963214069815,-0.236826879210275,0,0,0,-0.0989865103320274,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0.0190661523798622,0.160444785488862,0,0,0.448683142937513,0,0.165893104026051,0.0587787055236778,0,0,0,0.15843153697675,0,0,0,0.108199952893765,0,0.0381992653295339,0,0,0,0,0,0,0,0.0457726921317591,0,0,0,0.0190909541178539,0,0,0,0,0,0,0,0,0.0643218059058782,0,0,0,0,0
