,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X600999.CH.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.0119878861080167,0.0066911042318467,0.150443480889822,0.00610891806538505,0,0,0,0,0,0,0,0,0,0.0484454132473497,0,0.254120261517126,0,0,0,0,0,0.012756200772963,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0.0689396445385761,0,0,0,0,0,0.0915705821746765,0,-0.0267723231741144,0,0,0
X601318.CH.EQUITY,0,0,0.0183476327878175,0.0769315917288074,0,0,0,0,0.149315101378538,0,0.0488211586810507,0,0.136010595040495,0,0,0.0276490413535706,0,0.0932312409449097,0,0.222393629872248,0,0,0,0,0,0,0,0.0455560465513024,0,0,0,0.1059744502656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102411987715218,0
X601939.CH.EQUITY,0,0,0,0,0.122888308665628,0,0,0,0,0,0.0937485137679279,0,0,0,0,0,0,0,0,0,0.00265942856682156,0,0,0.567997513311946,0,0.165267196680962,0,0.125905133173707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00594883435710429,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.11114376775276,0,0,0,0,0.232477357940512,0,0,0,0,-0.00783312078829895,0.215695997252256,0,0.168529220981149,0,0,0,0.0228385010439969,0,0,0,0.246523685208426,0.151949077142462,0,0,0,0,8.67361737988404e-19,0.0148526317115402,0,0,0,0,0,0,0,0,0,0.0731420144463097,0.0310615244740032,0,0,0,0,0.00622189707973617,0,0,0,0,-0.0714706699042979,0,0,0
X601288.CH.EQUITY,0.00666145866246199,0,0.103045953192239,0,0,0.104694698437214,0,0.449299366210662,0,0,0,0,0,0,0,0.0154374658796938,0,0,0,0,0,0,0,0,0,0,0,0,0.141394885713187,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00605400663659445,0,0,0,0,0.0430620053215211,0,0,0,-0.0587618999507447,-0.0552064359765553,0
X601628.CH.EQUITY,0,0,0,0,0.113800488803016,0,0,0,0,0,0.00597120087941715,0.0328413072361816,0,0,-0.08155110959872,0.0145046330197663,0,0,0,0,-0.0345794726471585,0.0277719997635303,0,0,0,0,0,-0.0858720430095789,0,0.0119854618587343,0,0,0,0.0589710377395785,0.624759390859289,0,0,0,0,0,0,0,0,0,0,0,0,0.167676981348502,0,0,0,0,0.247106852521866,0
X1299.HK.EQUITY,0,0,-0.0733364173198717,0.0175556583927218,0,0,0,0,0,0,0,0.120570929873956,0,0,0,0,0,0,0,0,0.179659370574323,0,0,0,0,0,0.170175645861786,0,0,0,0,0,0,0,0,0,0,0.0690333307319982,0,0.168042376675238,0.0102832861601258,0,0.0405111366900169,0,0.112618249430512,0.054219304742504,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.132484157398781,0.730855158657772,0,0,0,0,0,0,0,0.0297723446520925,0,0,0,0.0185514298960521,0,0,0,0.0809011824527273,0,0.19970111511627,0,0,0,-3.46944695195361e-18,-0.0347241068103773,0,0,-0.134645214791927,0.125847057046456,0.0351619387416149,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0.0086639325846399,0
X5.HK.EQUITY,0,0,0,0,0,0.00954235112112967,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130398502446096,0,0,0,0,0.084722356750617,0,0.179543696331277,0.0154781987563057,0,0,0,0,0,0,0,0,0,0,0,0.337365188070132,0,0,0,0,0,0.149641044006842,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.083601719557724,0.0410308656434017,0,0.0375803135331749,0,0,0,0,0.0373179782783463,0,0.123606463562556,0,0.0446522603351232,0,0,0,0,0,0,0,0.157405780007833,0,0,0,0,0,0.391817498772539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
