,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.117233774838079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0727862142432988,0,0.42583156168316,0.370063739576107,0.0625184491028469,-0.248585607463935,0,0,0.165460595590549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0533091724458869,0,0,0,0,0,0,0,0,0,-0.0207191321538997
X601318.CH.EQUITY,0,0,0,0,0,0.240940899384986,0,0,0,-0.0853774312152305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0.19885155895409,0.0271443267688932,0.0136433560603364,0,0,0,0.218770306321371,0,0.182017756321004,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.839232807420223,0,0,0,0,0,0.0163975643754415,0,0,-0.0558580149537314,0,0,0,0.038367372623815,0.129403491796296,0,0,0,0.0026585972511631,0,0,0,0,0.03120836344182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0716344303477162,0,0,0.00658251935235433,0,0,0,0
X601288.CH.EQUITY,0,0,0.952466836918824,0,-0.0657599079360973,0,0,0,0,0,0,0,0,0,0,0.0582505659786086,0,0,0,0,0,0,0,0,0,0,0.0536418612287314,0,0,0,0,0,0,0,0,0.0249371313353577,0,0,0.0216158101287515,0,-0.0752651176948131,0,0,0,0,0,-0.0010177721756955,0,0,0,-0.0945595020344822,-0.0417029365587307,0,0
X601628.CH.EQUITY,0.014268956748948,0,0,3.46944695195361e-18,0,0,0,0,0,0.298150183829632,0,0.215871883624496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0283044864161732,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.542751304814425,0,0,0,0,0,0,0,0,0.216560876756743,0,0,0,0,0.0423580181214675,0.120278356072835,0
X600036.CH.EQUITY,0,0,0,0.329067718865375,0,0,0,0,0.0692185331420764,0,0,0,0,0,0,0,0.145464256137746,0.141519973657468,0,0,0,0,0,0,0,0,0,0,0.115834068236261,0.147581477894659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0471849115859544,0,0,0,0.00404224639970162,0,0,0,0,0.00907591050525348
X601988.CH.EQUITY,0,0,0,0.00456187651639868,-0.138091757100978,0.0763965612631011,0,0.050640089241992,0,0,0,-0.0201812216034341,0,0,0,0,0,0,0,0,-0.0422940922855088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108048400917517,0,0,0,0,0,0,0,0,1.05175764045624,0,0.00191214846265718,0,0
X1299.HK.EQUITY,0,0,0,0,0.0725535445970407,0,0,0,0,0,0,0,0.00136977459266951,0,0,0,0,0,0,0,0,0,0,-0.0272317341201269,0.103635859183509,0,0,0.0699445246880682,0,0,0.268337141544871,0.341481469830223,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,-0.0767140608633955,0,0.118328349939689,0,0.100924662774953,0,0,0,0.131291132772966,-0.0369683005203321
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.16854015680769,0,0,0,0,0,0.0238250520179552,-0.00853127816557666,0.228064658799872,0.48172558543057,0,0,0,0,0,0,0,0,0,-0.0922220804963449,0.0702304158240445,0,0,0,0,0,0.0522749827493313,0,-0.177315979900339,0,0.0516967200450544,0,0.129447632248736,0,0,0.0162072416211641
X388.HK.EQUITY,1.73472347597681e-18,0,0,0,0.329010933659124,0,0,0,0.0871389373099672,0,0,0,0,0,0,0,0,-0.243029348176402,0,0,0,0,0,0,0.476879500904712,0.220521375949119,0,0,0,0,0.0162247504426781,0,0,0,0,0,0,0,0,0,0,-0.160994734632791,0,0,0,0.11365702748166,0,0,-0.0754205120471846,0,0,0,0.0744643317066006,0
X601658.CH.Equity,0,0,0.241718811687775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29124230817641,0,-0.0750728064221767,0,0,0,-0.105548883425144,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0342127894277148,0,0,0,0.522297046468073,0,0,-0.0988300386836041,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0.0381932216847965,0,0,-0.0973599666216916,0,0.0826117099689208,0,0,0.207492664448906,0,0,0.0541101595483746,0,0,0,0,0,0,0,0,-0.0400283854835276,0.0825635184932637,0,0,0,0,0,0,0,0.152665961855544,0,0.175723522382569,0,0,0,0.197020756283466,0,0.0324878675592291,0,0.137411109372976,0,0,0.0506007119034286,0,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.658434786742035,0,0,0,0.0305501770636812,0,0,0,-0.030104084288636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0333623939345646,0,0.136252614122615,0,0,0.0535453718452261,0.00704126138055838,0,0,0,0,0,0,0,-0.014915839473291,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.0998763714146062,0.222298896058773,0.037805475794538,0,0,0.0441161044310859,0,0,0,0,0,0.040421602346187,0,0,0,0,0.0725248298650943,0,0,0,0,0,0,0,0,0,0,0.127922421953988,0,0.00882139095535639,0,0,0.0415435812315607,0.00797215651345648,0,0,0,0,0,0,0,-0.0295487951724348,0,0,0.405400218647768,0,0,0,0
X601328.CH.EQUITY,0,0,0,0.0463240544636502,0,0.112028130417218,0.0205344448396589,0,0,0,0,0,0,0,0,0,0.0289628025043787,0,0,0,0,0.373199151337741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250123146121234,0,0,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0.275683516000259,0,-0.0635469565815267,0,0,0,0.0747720939767143,0,0,0,0.139672340130447,0.047179148367651,0,0,0,0,0,0,0.112772752189323,0,0,0,0,0,0,-0.151354323575762,0,0,0,0,0,0,-0.021495988192957,0.142073065361681,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0134600169846091,0,0,0,0
X600000.CH.EQUITY,0,0,0.406579705427627,0.0235295491344958,0,0,0,0,0,-0.107676643048528,0,0,0,0,0,0,0,0,0,0,0.156223265211482,0,0,0.125316472815634,0,0,0.00389863123756021,0,0,-0.199728368963474,0,0,0.0280375711905792,0,0.339796464278825,0,0,0,0,0,0.596655504985068,0,0,0,0,0,0,0,0.111729461747572,0,0,0,0.165338865936374,0
