,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X601169.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.128424177182914,-4.33680868994202e-19,0,0,0,0,0,-0.150954551810615,0,0,0,0,0,0,0,0,0,0,-0.12202029297638,0.0764156450684331,0,0.442731073664561,-0.137860164001224,0.563851590643004,0,0,0,-0.0189262059512594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.196784903352214,0,0,0,-0.0641896579150703,0,0,0,0.153980261578403,0,0,0,0,0,0,0.0147709959596789,0,0,0,0,0,0,0,0,0,0.150755486898618,0,0,0,0,0.240843215417196,0,0.160490071006344,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0.0477449465967537,0,0.795752889483389,0,0,1.73472347597681e-18,0,0,0.0469481341128162,0.0303012467119541,0,-0.0276131210783142,0.0207891781309921,0,0,0,0.0833880420530935,0,0,0,0,0.00108282529142284,0,0,0,0.0218905403977664,0,0,0,0.0221545490227811,0,0,0,0,0,0,0.0799689810579962,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.938074901840414,0,-0.0936225659737779,0,0,0,0,0,0,0,0,0,0.0324911964858223,0,0,0,0.0265597814714851,0,0,-0.0157441641016529,0,0,0,0,0.0791553406606194,0,0,0,0,0,0,0,0,0.0756216872964031,0,0,0,-0.0447864992155575,0,-0.0792868355626218,0,0,0,0,0,0,0,0,-0.0158688744568638
X601628.CH.EQUITY,0.0108843864771722,0,0,-3.46944695195361e-18,0,0,0,0,0,0.249153421147648,0,0.180304503886248,0,0,0,0,0,0,0,0.208150055421888,0,0,0,0,-2.77555756156289e-17,0,-0.0978648107355141,0,0,0,0,0,0,0,0,0,0,0.350042190927968,0,0,0,0,0,0,0,0.0255686289107019,0,0.271437996296616,0,0,0
X600036.CH.EQUITY,0,0,0,0.329163496492911,0,0,0.00603206604008775,-2.16840434497101e-19,0.036973361552812,0,0,0,0,0,0,0,0.172072675249187,0.0120390619606694,0,0.0250919164866267,0,0,0,0,0,0,0.0363600249880804,0,0.170487156939446,0,0.114704168298575,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0406049394984754,0,0,0,0.0420036201566513,0,0
X601988.CH.EQUITY,0,0,0,0.0626439310755739,-0.01570108328265,0,0,0,-0.0379175194872208,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.0716068645209413,0,0,0.0439426313768718,0,0,0,0,0,0,0,-0.0217117537143087,0,0,0,0,0,0,-0.0108813627521619,0,0,0,-3.46944695195361e-18,-0.134266025524699,0,0,0.961975199904952,0
X1299.HK.EQUITY,0,0,0,0,0.120079099594604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268586951998191,0,-0.0832803105607092,0,0,0,0,0,0.0253099037579084,0,0,0.1443566748554,0.358999422803833,0,0.020671331874899,0,0,0.0566949748807234,0,0,0,0.052827957309924,0,0,0,0,0,0.00709948289264617,0,-0.098221122672982
X5.HK.EQUITY,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.176325033700473,0,0,0,0,0,0,0,0.196172432190819,0.520399844021889,0,0,0,0,0,0,0,0,0,-0.146676009981471,0.0814139050630535,0,0,0,0,0,0.124532702611263,0,0,-0.155312483674582,0.0327929442208417,0,0
X388.HK.EQUITY,0,0,0,0,0.317154368482177,0,0,0.024899722328813,0.117851835366057,0,0,0,0,0,0.0319474347975773,0.0307598583089283,0,-0.317726498983337,0,0,0,0.326424816143777,0,0,0.197960385022214,0,0,-4.33680868994202e-19,0.0393564060731848,0,0,0,0,0.101524281535463,0,0,0,0,0,0,0,0,0.136500932747079,0,0,0,0,0,-0.239379455130646,0,0
X601658.CH.Equity,0,0.15240504445381,0.0803464008412986,0.176194614652273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0617859692516415,-0.0132268846851223,0,0,0,0,0,0,0,0.160790621432364,0,0,0,0,0,0,0,0,-0.141573678705178,0,0,0,0.715972873604512,-0.0575303408533604,0,-0.226968989701365,0,0,0,0,0
