,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002142.CH.EQUITY,X17.HK.EQUITY,X000776.CH.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0.521222614740357,0,0.0754558474777653,0.0311443342679021,0.0922273452072444,0.0503543113897215,0,0,0,0,0,0,0,0.0257296636938419,0,0.0402526771333633,0,0.0628952435986459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0072642286049867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.493265902561821,0,0,0.0357384119527698,0,0,0,0,0,0.141367544678721,0,0,0,0,0,0,0,0,0,0.0131443183917215,0,0,0,0.0113399777824227,0,0,0.159079103763055,0.0505713200973147,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.0547966430475163,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.169929846656991,0,0,0,0,0,0,0.190212797074588,0,0,0,0,0,0,0,0.215911158296744,0,0,0,0,0,0,0,0,0.0942791525485079,0,0,0,0,0,0.179781236744403,0,0,0,0.000758270848836711,0.0180113152566445,0,0,0,0,0,0
X601288.CH.EQUITY,0.311517042149101,0.0906699542731338,0,0,0,0.108229969929599,0,0,0,0.0742762971620795,0,0,0,0,0,0,0.176682120255113,0,0,0,0,0,0,0,0,0,0,0,0.0911375830602876,0.00991045702756403,0.0819179555274191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0711721510824441
X5.HK.EQUITY,0,0,0,0,0,0.584226113699227,0,0,0,0,0,0,0,0,0,0,-0.134954153827665,0.521303462431375,-0.403535419056966,0,0,0,-0.150123276377545,0.19570106205994,0,0.103485976008484,0,0,0,0.240239818195729,0,0,0,0.10484382841937,0,0,-0.0414473273104174,0,0,0,0,0,0,0,0,-0.185256340861235,0,0,0,-0.130339525665349,0
X601988.CH.EQUITY,0,0,0,0.215771062497904,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0.315319015929209,0.0763830923381396,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0.0145398729834096,0,0,0,0.111550829782542,0,0.207630863996699,0,0,0,0,-8.67361737988404e-19,0,0,0,0
X600036.CH.EQUITY,0,0,0.188681434392958,0,0,0,0,0,0,0,0,0.0103083216747397,0.211508194821385,-0.0705064718244289,0,0,0,-0.0405420878573805,0.0913521015468872,0,0.0368086764522723,0,0,0,0.377808580821093,0,0.0919137972216204,0,0,0.104119250966119,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0434657434405015,0,0,0,0,-0.0428354774804012,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102579094582394,-0.0648032486812785,0,0,0,0,0.244428142021771,0,0.0843280428929186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317247287016029,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0.0814945479617243,1.38777878078145e-17,0,0,0,0,0,0.0089144258358523,0.245962153798053,0.0262564153635764,0,0,0,0,0,-0.0636227165053244,0,0,0,0,0,0,0.162876789003825,0,0,0,0,0.227575991703739,0,0,0,0,0,0,-0.0413985379713008,0,0,0.214682633190999,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0849210662969569,0,0,0,0.0365153830609229,0.0101705805245409,0,0,0,0,0.113619997701043,0,0,0,0,0,0,0.0227392963912477,0.187037706661756,0,0,0,0.0282894032128616,0,0.0620675217085788,0,0,0,0.0868538835843441,0,0,0,0,0,0,-0.00531091329502865,0,0.155180771763781,0.211332384761366,0,0,0,0,0,0,0,0,0,0
