,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X601066.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600918.CH.Equity,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0.168710530923144,0,0,0.0833940394637399,0,0,0,0,0,0,0,0,0,0,0,-0.0128595928335212,0,0,0,0,0,0,0,0,0,0.08309408893403,3.46944695195361e-18,0,0.115794636699388,0,0,0,0,0.412454012816303,0,0,0,0,0,0,0,0,0,0,0.135722301167026,-0.0885375989544838,0,0,0,-0.0863467006867498,0
X601939.CH.EQUITY,0.190785886187694,0,0,0.344749866106235,0,0,0,0,0,0,0,0.0345446760169362,0,0.213497254827524,0,0,0,-0.120213011797332,0,0,0,0.0587934239911341,0,0,0,0.222440283644645,0,0,0,0,-0.105766948652475,0,0,0,0,0,0,0,0,0,0,0,0,-0.00389044151319438,0,0,0,0,8.67361737988404e-19,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.286642364673909,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.0501755964319226,0,0.0471959156875145,0,0,0,0,0,0.107928791770413,0,0,0,0.075789047507011,0,0,0.0899353837398105,0,0,0,0,0,0,0,0,0,0,0,0.118454292448483,0,0,0,0,0.138307662593622,0,0,0,0,0
X601288.CH.EQUITY,0,0.632051181144214,0,0,0.160287015581736,0,0,0,0,0,0.0134881531055357,0,0,0.016632409209404,0,0,0,0,0,0,0,0.122972413957414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0113499029286196,0,0,0,0,0,-0.0428025808858943,0,0
X601988.CH.EQUITY,0.0191440849048424,0,0,0.329775279519477,0,0,0,0,0,0.35072349545996,0,0,0,0,0,0.0437910976800259,0,0.23212403327496,0,0,0.105806664514122,0,0,0,0,0,0,0.0752986418492848,0,0,0,0,0,0,0,0,0,0,-0.524100808195715,0,0,0,0,0.0382805453543242,0,0,0,0,0,0,0,-0.259824369284899
X600036.CH.EQUITY,0,0.205892972623689,0,0,0,0,0,0,0.154210733164682,0,0,0,0.137543342622748,0,0,0,0,0,0,0,0,0,0.0855119478595739,0,0,0,0,0,0,0,0,-0.0124572522557498,0.00383319308913834,0,0.306075350812508,0,0,0,0,0,0.0582832050691094,0,0,0,0,0,0.0189269031930258,0,0.0659087659846188,-0.0209622309688855,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.051452495322614,0,0,0,0,0,0.168917904824946,0,0.0290203606694066,0.0583424943661151,0,0.29316854585601,0,0,0,0,0,0,0,0.03362605205014,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.332588727741937,0,0,0,0,0.000416622219335538,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.131945833566393,0,-0.137287193629815,0,0,0,-0.00960429052742347,0,0,-0.39282724577844,0.794277669733181,0,0.577407973778385,0,0,0.188426911731799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110724099095874,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.114442135516474,0,0,0,0,-0.146350994371976,0,0,0,0,0,0.0541290698504089,0,0,0,0,0,0,0.363089713749533,0,0,0,0,0.106534138071254,0,0,0,0,0,0.0932866434236335,0,0,0,0,0,0,0.0517360642673657,0,0,0,0,0,0,0.191104918442886,0,-0.0317984357542512,0
X601658.CH.Equity,0,0.0718920044216065,0,0.100883304165596,0.0396010788086958,0,0,0,0,0,-0.0322242847735528,0,0,0,0,0,0,0,0,0.267331443733703,0.188585693167485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289457563871589,0,0.0959381713348549,0,-0.134110872658546,0,0,-0.0791364327892615,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0.187406962777181,0.0493788963666807,0,0,0,0,0,-0.0366843012235237,0,0,0,0,0,0,3.46944695195361e-18,0,0.478418317476431,0,3.46944695195361e-18,0,0,0.0351281506947381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00921741858845027,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.290019026215052,0,0,0.0562347913588276,0,0,0,0,0,0,0.0507349084793938,0,0,0,0,0.0153773835383525,0,0,0,0,0,0.102682882359934,-0.00804598061613894,0,0,0,0,0,0,0.283076771341135,0.129118534394641,0,0.0529425226566032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.37899047922647e-05
X601166.CH.EQUITY,0,0.0597259797341182,0,6.93889390390723e-18,0,0.167485956094336,0,0,0,0.0163578988972544,0,0,0,0.033588451799875,0,0,0,0,0,0,0.0196260840567189,0.213703539343691,0,0,0,0,0,0,0,0.312023589535215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144690290376126,0,0,0
X600000.CH.EQUITY,0,0,0.0943834643137577,0.17045374735098,0,0,0,0,0,0,8.67361737988404e-19,0,0.231056790644222,0,0,0,0,0,0,0,0.00154629134633277,0.0300252489286275,0,0,0,0.138196494104958,0,0,0.123360448546251,0,0,-0.044488035721024,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0.0677801435093836,0.021676800494183,0,0,0
X000002.CH.EQUITY,0,0,0.0918472096005713,0,0,0,0,0,0,0,0.0150168329331663,0,0,0,0,0,0,0,0,0,0.115809622146994,0,0,0,-0.0297998805262154,0,0,0,0,0,0.333482399298853,0.258177622108505,0.228084776972952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
