,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X300059.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X600918.CH.Equity,X2882.TT.EQUITY,X601229.CH.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,X2886.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0173267464680455,0,0,0,0,0,0,0,0,0,0,0,0,-0.113988497115735,0.484463544324296,0.721962617329714,0.0222634126802354,0,0,0,0,0.194887608499194,-0.218184991355952,0,0,-0.302495168470531,0,0,0,0,0,-0.0262889983506962,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.127779910225425,0,0,0,0,0,0,0,0,0.0118589703405891,0,0,0,0,0.217927131247214,0,0,0,0,0,0,0,0,0.117845302599005,0.0830559659758006,0,0,0,0,0,0,0.390112394246216,0,0,0,0,0,0,0,0,0.0554751801550531,0,0,0,0,-0.0167660150443589
X601939.CH.EQUITY,0,0,0,0.820323938086606,0,0,0.0330607735527005,0,0,0.0235554280621066,0,0,-0.0638062205056563,0,0,0.0597210013897562,0,0.0721274280814976,0,0,0,0.000865906718378304,0,0,0,0,0,0.0602929874645383,0,0,0.0216728057122667,0,0,0,0,0,0,0,0,0,0,0,0.0218363882991237,0,0,0,0,0,0,0.0305489965100292,0
X601288.CH.EQUITY,0.0068051554010157,0,0.890422797384171,0,-0.081418394562325,0,0,0,0,0,0,0,0,0,0.0175593714077982,0,0.0357116264127037,0.105144855348474,0,0,0,0,0,0,0,0,0,0.0458911549274082,0,0,0,0,0,0,0,0,0,0,0,0,-0.145906390722366,0,0,0,0,0,0,0,0,0,-0.039211536633624
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.190020202760862,0,0.484724778893356,0,0,0,0,0,0,0,0,0,0.00358994738953939,0,-0.0154460803266188,0,0,0,0,0,0,0,-0.0785067342853843,0,0,-0.0609892706082908,0,0.464253951862635,0,0,0,0,0,0.234367866232449,0,0,0,0.041735454272141,0,0,0,0.136444609863319
X600036.CH.EQUITY,0,0,0.363996064822426,0,0,0,0,0,0.0309228758875064,-0.0226022078378015,0,0,0,0,0,0.138804745532559,0,0,0,0.0183935541280702,0,0,0,0,0,0,0,0.135247979848746,0.0751424430474892,0,0.213734040410031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0711059363217559
X601988.CH.EQUITY,0,0,0,0,-0.0296161751016943,0,0,0,-0.0397500791107415,0,0,0,0,0.893559514331673,0,-0.00811463258932761,0,-0.268102245874882,0,0,0,0,0,0,0.32137667836782,0,0,0,0,0,-0.0283364580817792,0,-0.00165996750159359,0,0,0,0,0,0,0,0,0,0,0.0877750417497899,0,0,0,0,0.00982382795131784,0,0.0840209366626367
X1299.HK.EQUITY,0,0.0641786364732423,0,0,0.149662152396584,0,0,0,0,0.255781590998469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.214579061383372,0,1.73472347597681e-18,0.341351560109099,0.225320790820875,0.128503294286695,0,0.122642047356397,0,0,0,0,0.0367403947980547,0,0,0,0,0.129103801197929,0,0,-0.094781146649671,0,0,0,0,0,0.10594359052594
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13687715969941,0,-0.0345778570407375,0,0,0,0,0.127701108708275,0,0,0.517523790280918,0,0,0,0,0,0,0,0,0,0,0.215189856184288,-0.29207742086855,0,0,0,-0.0918947403367303,0.00421045622171427,0,0,0,0,0,0,0.156568913559472
X388.HK.EQUITY,0,0,0,0,0.327620461266292,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.213452120579603,0,0,0,0,0,0,0.465318685028413,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0.00447997590033705,0,-0.081857957603417,0,0,0.263612133618461,-0.114226635939265,-0.0768281979300402,0,0.0218899367765405,0,0,0,-0.141493716667347
