,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.117164605944901,0,0.0514449665635386,0,0,0,-0.116733567971555,0,0,0,0.512949749035121,0,0,0,-0.016585292637474,0,0,0,0,0,0,0,0,0,0,0,0,0.0184071671653215,0,0,0,0,0,8.67361737988404e-19,0,0.0825527396962699,0,0,0,0,0,0.225258306753447,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.00570726795282035,0,0,0.12285138351724,0,0.2609695456169,0,0,-0.0329485017171,0.240361960981785,0,0,0,0,0,0,-0.148685298577951,0,0,0,0,0,0,0,0,0,0,0,0,0.162782820952877,0,0,0,0,-0.283432868087242,0,0.319982061570659,0.267963395326702,0.263141899074853,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.328679352985247,0,0,0.330418003222948,0,0.103673762134146,0,-0.0624537424765197,0,0,0,0,0,0,0.110028724521759,0.066554228213089,0,0,0,0,0,0.00491102852414108,0,0,0,0,0,0,0,0,0,-0.0090081781126508,0,0,0,0,-0.130901230352291,0,0,0.338096894662625,0,0,0,0.0177777834934949,0,0,-0.0424974406067453,0,0,0,0
X601288.CH.EQUITY,0.368295200386065,0,0.118016048816821,0,0,0.227208779448353,0,0,0.110924373193551,0,0,0,0,0,0,0,0.0512333593707266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0864551323249456,0,0,0,0,0,0,0,0,0.173439916143963,0.0566224553557903,0
X5.HK.EQUITY,0,0,0.0550816142900247,0.230763928302661,0,0.137073065276226,0,-0.402166916234682,0,0,0,0,0.0978759912472332,0,0,0,0,0,0,0,0.415379128186099,0,0,0,0,0.488803898915789,0,0,0,0,0,0,0,0.0975696987669009,0,0,0,0,0,0,0,0,0,0,-0.179324591669771,0,0.122558561948435,0,-0.00909288946638699,0,0
X601988.CH.EQUITY,0.28151273749619,0.0693593475030256,0.318571158885079,0,0,0,0,0,0.137927093959212,0,0,0.00623756118303335,0,-0.175045157117422,0,0,1.38777878078145e-17,0,0,0,0,0,0.152572895949767,0,0,0,0,0.0238797857121762,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0801860067686672,0,0.15436550520473,0,0,0,0,-0.0183527509190529,0,0
X600036.CH.EQUITY,0,0,0,0,0.0971350711339097,0,0,0.245842668738367,-0.00772170127339567,-0.0377778089298307,0.015705714185325,0,0.280605720697632,0,0.258279138245664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0921794271855208,0,-8.67361737988404e-19,0.0897261070350682,0,0,0,0.134740849816245,0,0.010521713989446,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0368148932259393,0,0,0,0.209816338990542,0,0,0,-0.179218787368392,0,0,0,0,0.366600204713594,0.17755378539996,-0.0502100209841333,0,0,0,0.104778743073124,0,0.0721065034805949,0,0,0,0,0,0,0,0,0,0.00101078383423836,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.315957944365052,0.208680255183056,0,0,0.102961948143003,0,0,0,0,0.0313221930725421,0,0,0,0,0,0,0,0.0845339694915061,0,0,-0.081477630881426,0,0.0250640396525571,0,0,0,0,0.211808367906273,0.0755577738205271,0,-0.316462827038275,0,0,0,0,0,-0.203142518859725,0,0,0,0,0,0.0210745402330604,0,-0.0593278740173281,0,0.00398447822141186,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,-0.17876692795204,-0.0225781318511868,0.034603432123299,0,0,0,0,0,0,0.228470383196247,0,0,0,0,0,0.0581098342999619,0,0,0,0,0,0,0.242275026455982,0,0,0,-0.182044859923582,0,0,0,0.0313140053118318,0,0,0,-0.153289446610033,-0.0533138486239212
X601166.CH.EQUITY,0,0,0.103274012446238,0,0,0,0.392498421947668,0,0,0,0,0,0,0,0,0.137306597601993,0,0,0.0463886128746598,0,0,0,0,0,0,0,0,0,0.0379368285524937,0,0,0,0,0,0,0.0178594522564004,0,0,0,0,0.133452512698841,0,0,0.0584985035914112,0,0.0821774217673209,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0.0393611987471724,0,0,0,0,0,0,0.494286833970135,0,0,0,0,0,0,0,0,0.174136989534031,-0.0448397142907724,0,0,0,0,0,0.0736960104969299,0,0,0,0.0678911387894143,0,0,0,0,0,0.0229500204240637,0.0715762236482412,0,0,0,0.0688643936951639,0,0,0,0,0,0,0.0220253264954292
X600000.CH.EQUITY,0,0.00198248456944173,0,0,0,3.46944695195361e-18,0.282282824075748,-0.0328233850151838,0,0,0,0.327800159860135,0,0,0.0663236599188851,0,0,0,0,0,0,0,-0.0852173387571963,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.175141755001743,0,0.0457283530364043,0,0.0759863039104567,0,0,0
X000002.CH.EQUITY,0.0168323541905857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168457298916673,0,0,0,0,0,0,0,0,0,-0.0898381527576807,0.358038176435023,0,0,0,0,0.187624204938362,0,0,0,0,0.0997084343033754,0,0.0578091899991676,0.033889459657839,0.0382285326236857,0,0,0,0,0.0775253915751061,0
X000001.CH.EQUITY,0,0.100225688901236,0.0928473695057935,0,0,0,0.0309494656838676,-0.00500788686641552,0,0,0.213107973079837,0,0,0,0,0.00955447123676898,0,0,0,0,0.181803864144127,0,0,0,0,0,0.196427813932943,0,0,0.0963170814423791,0,0,-0.22310841831522,0,0.103884243764987,0.0340976658798346,-0.11300989969466,0,0,0,0,0,0,0,0,0,0,0.294207722863873,0,0,-0.0159759811769
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0.299670316148943,0,0.229356644687082,0,0,0,0,0,0,0.0288138277159893,0,4.33680868994202e-19,0,0,0.363077929950351,0,0,0,0,0.0355945213655463,0,0.212057562178032,0,0,0,0,0,0,0.0680219645001611,0,-0.00272471301051479,0.135791898409923,0,0,0,0,0,0,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0.235357153450414,0,0,0,0,0,-0.0938132794247282,0,0,0,0,0,0,0,0.0283535307545018,0,0,0,0,0,0,0,0.34311297925575,0.00584888223536554,0,0,0,0,0.25497906468133,0.176767703169642,0,-0.0741575459472914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X688.HK.EQUITY,0,0,0,0.234917319229647,0,-0.225405981636217,0,0,0.048753033577637,0,0,0,0,0.221259644475195,0,0,0.297664620415302,0,0,0.166193448000985,0,0,0,0,0,0,0,0,0,0.0478523627569798,0,0,0,0,0,0,-0.305025559639266,0,0,0,0.412836570674302,0,0,0,0,0,0,0,0,0,0
