,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X601211.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.098539502962673,0,0,0,0,0,0.0912477497346054,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.145870147477357,0,0,0,0,0,0,0,0,0,0,0,0,0.260660601079706,0,0,0,0,0,0,0,0,0,0,0,0.111975563898884,-0.156913270923519,0,0.153720677157812,0,0
X601939.CH.EQUITY,0.178847890558023,0,0,0.252664238412538,0,0,0,0,0,0,0,0,0,0.332935054864393,0,0,0,-0.101823914494229,0,0,0,0.0257350762488775,0,0,0,0.256407453395257,0,0,0,0,-0.101134671652257,0,0,0,0,0,0,0,-0.0301509666610499,0,0,0,0,-0.0113742617950555,0,0,0,0,0.036703688837323,0,0
X601318.CH.EQUITY,0,0,0,0,0.264564867017258,0.0109360181939691,0,0,0,0,0,0,0,0,0.021736112840099,0,0.0226216588369351,0,0,0,0,0,0.0292390329061835,0,0,0,0,0.0808577007815689,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.396997781814464,0,0,0,0.1454927490385,0,0,0,0
X601288.CH.EQUITY,0,0.573807556020517,0,0,0,0,0,0,0,0,0,0,0,0.111395811110451,0,0,0,0,0,0,0,0.170330973394744,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0.0577017700518882,0,0,0,0,0,0,0,-0.0557987762054087,0.0300387188089988,0,0,0,0,0,0
X601988.CH.EQUITY,0.137165791517325,0.177689999380372,0,0.171710213498155,0,0,0,0,0,0.298327466534088,0,0,0,0,0,0.233072108597391,0,0.121393948704177,0,0,0.0487348875103115,0,-0.0418550954425424,0,0,0,0.162040980855317,0,0,0,0,0,0,0,0,0,0,0,-0.583432686746537,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.1612301957779,0,0,0,0,0,0.145714123033899,0,0,0,0,0.229866535424681,0,0,0,0,0,0,0,0,0,0.0889168520280992,0,0,0,0,0,0,0,0,0,0.0092654204595035,0.296501080429162,0,0,0,0,0,0,0,0.0611143052960975,0,0,0,0,0,0,0.00491481399225711,0,0.0217312375171002
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.222772349512032,0,0.0438994295133621,0,0,0.187388437474725,0,0,0,0,0,0,0.103678299752664,0.0388096044378821,0,0,0,0.0476838017873042,0,0.0209375384425229,0,0,0,0,0,0,0,0,0,0,0.290795760868748,0,0,0,0.0399980171216979,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.350173324817558,0,0,0,0,-0.129365560059667,0,0,0,0,0,0,0,0,0,0,0,0.00250566394808165,0,0.101547112874439,0,0,0,0.0701362007984834,0,0,0,0,0,0,0,0,0,0,0.122902333987754,0,0.13515287759406,0.107970226266509,0,0,0,0,0,0.0162160704836039,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.062964271991091,0.125338798967885,-0.273970773740196,0,0.07861676868762,0,0,0,3.46944695195361e-18,-0.478934073900755,0.89231004020224,0.0339827859946131,0,0.577205637105592,0,0,0,0,0,0,0,0,0.0231892117135062,0,0,0,0,0,0,0,0,0,0.0975089856804464,0,0,0,0
X601658.CH.Equity,0,0.0995489387239208,0,0.128329111228581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.370758087159473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16913441705718,0.096646461013986,0,0,0,0,-0.0441767059982474,0,0,0,0,0,0,0
