,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.365259604258885,0.0945559717834234,0,0,0.294834381008674,0,0,0.0427399056099347,-0.0580163203256881,0.0660518533808247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0550375209344407,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.458710039874113,0,0,0.154831832767425,0,0,0,0,0,0,0.112544011802588,0,0,0.0419782942069861,-0.106809521745862,0,0,0,0,0,0,0,0,0,0,0.185897748261875,0,0,0,0,-0.00804229680215064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010551925850487,0.0804824729855676,0,0
X601318.CH.EQUITY,0,0,0,0,0.254234608050169,0.0232845565594682,0,0,0,0,0,0.259787052645702,0,0,0,0,0,0,0,0.204294674986892,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0343620488259646,0,0,0,0,0.0616778502678206,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.29576218414407,0.0947867553619176,0,0,0.17535044648629,0,0,0,0,0,2.16840434497101e-19,0,0,0.189283134008692,0,0,0,0,0,0,0,0.0473616030475041,0,0,0,0,0,0,0,0,0,0,0,0.12316968390463,0,0,0,0,0,0,0,0,0.00056746436931453,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.403115988641581,0,0,0,0,0,0.236500726627249,0,0,0,0,0,0.219637720959754,0,0.135311704834249,0,0,0,0,0,0,0,0,0,0.0633366024051645,0,0,0,0,0,0,0,0,-0.510296347583506,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25052096867708,-0.0771790407572288
X600036.CH.EQUITY,0,0.0582551595931929,0,0,0,0,0,0,2.11758236813575e-22,0,0,0.192236674292076,0,0,0,0,0,8.67361737988404e-19,0,0.281964227784695,0,0.00990924045957444,0,0,0,0,0,0,0,0,0,0.278369386962333,0,0,0,0,0,0,0,0,0.0691328610075466,0.0482499094297019,0,0.0176985085967094,0,0,0,0.100084191765581,0,0,0,0
X1299.HK.EQUITY,0,1.38777878078145e-17,-4.33680868994202e-19,0,0,0,0,0,0.1172069400187,0,0.0813587395303368,0,0,0.13660355556571,0,0,0.328305226121854,0,0,0,0,0,0.118031723572328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162798311926402,0,0.0561899732983275,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0918513408478372,0,0,-0.132628333503913,0,0,0,0,-0.444897986813926,0.627270802458586,0,0.0576664474916243,0.684640671444253,0,0,0.0905568770030985,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302610869222885,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.136359156000628,0,0,0,0,0,0,0.42442877253431,0,0,0,0,0,0,0,0,0,0,0,0.0332914203543113,0,0,0,0,0,0,0,0,0.172063271723469,0,0,0,0,0,0,0.170660916249337,0,1.73472347597681e-18,0,0
X601658.CH.Equity,0,0,0,-1.38777878078145e-17,0.301773942483653,0,0,0,0,0,0,0,0,0.238290060660943,0,0,0,0,0,0,0.226748156096709,0,0,0,0,0,0,0,0.0711351024724199,0,0,0,0,0,0,0,0.00587576480274936,0.112650701732721,0,0,0,0,0,0,0,0,0,0,0,0.230677803127058,0,0
X601328.CH.EQUITY,0.235841486183249,0,0,0.378676439575386,0,0,0,0,0,-0.0178046342089029,0,0,0,0,0,0.177587584927448,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137615955482401,0.020550153208124,0,0.0577179935915532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0685703876417702,0,0.0343319536004286,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.423375685188842,0,0,0,0,0.0548752925260481,0,0,0,0,0,0,0.0543820950355493,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.233853732620696,0.0051301660240576,0,0,0,0,0,0,0,0,0,0,0,0.0214030470593234,0.0333218053976348,0,0,0,0.0566109717825957,0,0.103432372838161,0,0
X388.HK.EQUITY,0,0,0.428579503966284,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0881871049848319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0455441129812289,0,-1.73472347597681e-18,0,0,0,0,0,2.16840434497101e-19,0,0,0.00596464924726688,0.00137053905476292,0,0,0,0,0,0,0
X600000.CH.EQUITY,0.143535861556926,0,0,0.122187687675211,0,0,0,0,0,0,0,0.28944807568862,0,0,0,0,0,0,0,0,0.0497767410166677,0,0,0,0,0,0,0,0.152982501100044,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0245385891089445,0.00161940320621153,0,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0232102343671474,0,0,0,0.324148884422662,0,0,0.428914281441887,0.0199414091810616,0,0.0568478288609884,0.119802204436766,0,0,0,0,0,0,0,0,0,0.0224051266698084,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0534733502922237,0,0,0,0,0,0,0,0,0,0.00437074201090626,0,0.276992028448328,0,0,0,0,0,0,0.0190854407301317,0,0.236033449283649,0,0.212288216897396,0.0427928186344067,0,0.0487877439018439,0.0914295869837305,0,0,0.0312245159328661,0,0,0,0,0,0,0,0,0.0327413731070607
X16.HK.EQUITY,0,0,0,0.00315696167068847,0,0,0.251641377473624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209342658199805,0,0,0.0690119784067884,0,0.0124803601110874,0,0.0103038223087622,0,0,0,0,0,0.401744669905862,0,0,0,0.157142073205278,0,-0.145412074409422,0,0,0,0,0,0,0,0,0,0.00762040281340513,0
