,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X1997.HK.EQUITY,X601229.CH.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0.107291756233426,0,0,0,-0.0419653569477689,0.144270735003679,0,0,0,0,0,0,0,0.275512923287482,0,-0.248853442138237,-0.00680919350990712,0,0,0,0,-0.104906690230111,0,0,0,0,-0.222108149117307,0,0,0,0,0.924695889417248,0,0,0,0,0,0,0,0,0,-0.00634300365768498,0,0.230992616492569
X601318.CH.EQUITY,0,0,0,0,0,0,0.215355446938233,0.0499353855156312,0.204373424525553,0,0,0,0,0,0,0,0.108989972183221,0,0.1414437734353,0.069743878140504,0.0413698866575221,0,0,0,0,0,0,0.0220074965127994,0,0,0,0,0,0.0726304925462569,0,0,0,0,0.0589779046537514,0,0.130421887923264,0.0307810753042814,0,0,0.0837796255039548,0,0,0,0,0,0
X601939.CH.EQUITY,0.242855443761374,0,0,0,0,0,0,0,0,0.0409946250793189,0,0,0,0,-0.0109224251749607,0,0,0,0,0,0,0,0.0577006613081335,0,0,0,-0.163608776524427,0,0,0,0,0,0,0,0,0,0,0.0491669631904668,0.0804237025915435,0,0.515969162391971,0,0,0,0,0,0,0,0,0.115987846958808,0
X601288.CH.EQUITY,0,0,0,0,-0.185295713487358,0,0,0,0.149620071793826,0.00891429067559844,0.44326451775098,0,0,0.148848474357539,-0.120210352692456,0,0,0,0,0,-0.125177286458692,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0733240481682842
X5.HK.EQUITY,0,0,0,0,0,0.146975520776932,0,0.213117715465205,0,0,0.1134266704581,0,-0.00367780903718947,0.214576732788705,0,0,0,0.0738757684797612,-8.67361737988404e-19,0,0,0,0,0,0,0,0.0216355261080037,-0.168530362836704,0,0,0,0,0,0,0,0,0,0.129650757858735,0.0971014470788844,0,0,0,0,0,0,-0.0966392629354451,0,0,0.154726740616967,0,0
X601988.CH.EQUITY,0,0,0,0,0.389988573494389,0,0,0,0,0,0,0,0,0.0587266155830707,0.00196700793723868,0,0,0.0745315342283508,0,0,-0.137357801492273,0,0,0,0.239844908141444,0,0,0,0,0,0,-0.325611565244743,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110087967608981,0,0,0,0.0394202629983234,0.0207292056425518
X600036.CH.EQUITY,0,0.124758867563996,0,0,0,0,0,0,0,0.479867747497688,0,0,0,0,0,0,0,0,0,0,0.220869763507235,0,0,0,0,0,0,0,0.120864514852061,0,0,0,0,-0.224117476003895,0,0,-0.139525153668378,0,0,0,0,0,0,0.218068692373469,0,-0.0136163118440972,0,0,0,0,-0.00566469010575358
X1299.HK.EQUITY,0,0,0,0,0.225660084770275,0,0,0,0,0,0,0,0,0,0,0,0,0.120031349426446,0,0,0,0,0,0,0,0,0.18274652630254,0.0230707138889222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.121855426135672,-0.123257124591607,0,0,0.136545775456026,0,0,0.11671518597296
X601628.CH.EQUITY,0,0.0154047656447495,0.0275832133615534,0.0593631525700103,0,0,0,0,0,0,0,0,0,0,-0.0477133656313591,0,0.31416039573895,0,0,0,0,0,0,0,0.114680525127072,0,0,0,0,0,0,0,-0.0442429964829567,0,0.139624081880532,0.0980740760375021,0.0773706421249377,0,0,0,0,0.239802765850291,0,0.071060047139747,0.0800240027127943,0,0,0,0,-0.0891708610254628,0
X601328.CH.EQUITY,0,0,0.00945258109261228,0,0,0,0.644269492131809,0,0,0,0,0,0.0221337049159463,0,0,0.0958872339775017,0,0,0,0,0.15394490848041,0,0,0,0,0,0.132989755994811,0.193594036590164,0,0,0,0,0,0,0,0,0,-0.200780468589099,0,0,0,0,0,0.0600577751783031,0,-0.324469445954628,0,0,0,-0.0593988255723844,0
