,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,-2.77555756156289e-17,0,0,0,-0.137597426705125,0,0,0,0,0,0,0,0,0,0,-0.0977127226091135,0.434733729933419,0,0.68828378502618,0,0.0393166016501915,0,-0.127707838778732,0,0,-0.0822730370192858,0,0.103751314713459,0,0,0,0,-0.135507961915052,0,-0.339562440770669,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,6.93889390390723e-18,-3.46944695195361e-18,0,0.101338963689931,0,0,0,0,0,0,0,0,0,0,0.066006132498667,0,0,0.355209183299026,0,0,0,0,0,0,0,0,0,0.102636254404428,0,0,0,0,0,0,0.198831559245865,0,0,0,0,0,0,0,0,0,0.0248086187873285,0,0,0,0.127133229364335,0
X601939.CH.EQUITY,0,0,0,0.803162542817703,0.00226946738696941,0.00150935292392071,0.0154954377569271,0,0,0,0,0,0.0107606051325167,0,0,0,0,0,0.0520801283709741,0,0,0,0,0,0,0,0,0,0,0,0,0.0897097348936991,0.0418552955041636,0,0,0,0,0,0,0,0,0,0,0,0.0320712102027759,0,0,0.0379132851616865,0,0,0.0145010273010513,0
X601288.CH.EQUITY,0,0,0.87793677578043,0,0,0,-0.0948344984852348,0,0,0,0,0,0,0.0113729934576876,0.0380277113288626,0,0,0.154833267375457,0,0,0,0,0,0,0,-0.0610921388064873,0.0154775290208275,0,0,0,0.00570772075082208,0.0106298172472195,0,0,0,0,0,-0.151909157045878,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,-0.116703898024858,0,0,0,0,0,1.1607630662084,0,0,0,0,0,0,-0.125304297393621,-0.0110608831888713,0,0,0.0821114636549179,0,0,0.0613624513096853,0,0,0,0,0,-0.218653501775806,0,0,-0.252662358935316,0,0,0,0,0,0.0416602668266064,0,0.0878674038657277,0,0,0,0,0,0,0.190017219966923,0
X600036.CH.EQUITY,0,0,0.377509200421671,0,0,0,0,0,0.00173229977386684,-4.33680868994202e-19,0,0,0,0,0,0.14145686386915,0,0,0,0.0068831873302298,0,0,0,0,0,0,0.194232819515959,0,0.0164337255948236,0,0,0,0.188126925025752,0,0,0,0,0,0,0,0,0,0,0.0311821527892882,0,0,0,0,0,0,0,0.0135567895053342
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0630191804520669,0,0,0.768062145733425,0,0,0,-0.00205670017792463,0.0768615560677804,0,0,0,0,0,0.121209347224049,0,0,0,0,0,0,0,-0.0795618245935038,0,0.0652105457950111,0,0,0,0.00224705058018818,-0.0266154407565269,0,-0.01668752340912,0,0,0,0,0.091941256145818,0.0272093526845629,0,0.0196334229895663,0,0,0.16508162936258,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,3.46944695195361e-18,0.0811085127851476,-0.0466557277009469,0.131304793210353,0,0,0,0,0,0,0,0,0.140156991730046,0,0,-0.209031796005431,0,0,0,0,0.137212742263451,0,0.336752051571847,0,0,0,0,0,0,0,0,0,0,0,0.0744588101878215,0,0,0.447397912365335,0,0,0,0.109041144501295,0.137504348177474,0
X5.HK.EQUITY,0,0,0,0,0,0,-0.219880179332236,0,0,0,0,0,0,0,0.324389442516142,0,0,0,0,0,0,0.0610585948896865,0,0,0.332226066757486,0.0523811888321208,0.159312788944287,0,0.140384298299929,0,0,0,0,0,0,0,0,0,0,0,0,0.0625324933295849,0,0,-0.0392334618590494,0,0,0,0,0,-0.182592689699238,0.0937477613239219
X388.HK.EQUITY,0,0,0,0,0,0,0.225187303212311,0,0,0,0,0,0,0,0,0,0,0,-0.216150847224005,0,0,0,0,0,0,0.339470001501459,0,0.0599031871355668,0,0.154305737545513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167798018627522,0.0304955186202213,0,0.0563162688686575,0,-0.261660945533306,0,0
