,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.117232171810273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0727819890169318,0,0.425826378738587,0.370064093223405,0.0625167435111519,-0.248583405724765,0,0,0.165465451417289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0533100085949251,0,0,-3.46944695195361e-18,0,0,0,0,-0.0207163466825088
X601318.CH.EQUITY,0,0,0,0,0,0.27001197798308,0,0,0,-0.0850793903188808,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0.191659000242713,0.0390786716724826,0.00955572302593036,0,0,0,0.227806312891966,0,0.158683298466785,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.839233498607357,0,0,0,0,0,0.0163967476420502,0,0,-0.055858096160386,0,0,0,0.0383677785903218,0.129401355301469,0,0,0,0.00265707781423665,0,0,0,0,0.0312103163283768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0716322494793287,0,0,0.00658284706482365,0,0
X601288.CH.EQUITY,0,0,0.899733627792915,0,-0.110151776777068,0,0,0,0,0,0,0,0,0,0,0.0155152470781959,0,0,0.19868030275964,0,0.0684665758059585,0,0,0,-0.0590704997099657,0,0.0159589321212852,0,0,0,0,0,0,0,0,0,0,0,0,-0.018447459960278,-0.0820112325720084,0,0,0,0,0,0,0,0,0,0,-0.0295722653600621
X601628.CH.EQUITY,0.0156140969145118,0,0,3.46944695195361e-18,0,0,0,0,0,0.2954830451019,0,0.235114835765874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00850794022712378,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.521666186437505,0,0,0,0,0,0,0,0,0.205770659364855,0,0,0,0.127177774440592,0
X600036.CH.EQUITY,0,0,0,0.329067718865375,0,0,0,0,0.0692185331420764,0,0,0,0,0,0,0,0.145464256137746,0.141519973657468,0,0,0,0,0,0,0,0,0,0,0.115834068236261,0.147581477894659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0471849115859544,0,0,0,0.00404224639970162,0,0,0.00907591050525348
X601988.CH.EQUITY,0,0,-3.46944695195361e-18,0.00284636963474414,-0.136617233952039,0.0795801136373694,0,0.050773247922747,0,0,0,-0.0218419328462922,0,0,0,-0.000939451718706188,0,0,0,0,-0.0422693869459263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108782181951379,0,0,0,0,0,0,0,0,1.05214326353082,0,0
X1299.HK.EQUITY,0,0,0,0,0.0758319177853288,0,0,0,0.106178216424837,0.007790693096873,0,0,0,0,0,0,0,0,-0.00418772460735744,0,0,0,0,0,0.108198582911826,0,0,0.00366663947273954,0,0,0.242751853928759,0.293862715456182,0,0,0,0,0,0,0,0,0,0,0,0,-0.111918548301262,0,0.192973231683641,0,0.104937423733681,0,0.137561231868316,-0.0214260336845785
X5.HK.EQUITY,0,0,0,0,-0.00867928906705314,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.311328204692127,0,0,0,0,0,0,0,0.180725847561997,0.523955415903691,0,0,0,0,0,0,0,0,0,0,0.0495036334062063,0,-0.100919496786248,0,0,0.0502232283172745,0.133736098361041,0,-0.133807416931127,0,0.0436892164043443,0,0,0
X388.HK.EQUITY,-1.73472347597681e-18,0,0,0,0.32902178408779,0,0,0,0.0871472799820915,0,0,0,0,0,0,0,0,-0.243001048635911,0,0,0,0,0,0,0.476853150339339,0.220516787005445,0,0,0,0,0.0162103900653978,0,0,0,0,0,0,0,0,0,0,-0.161003866051093,0,0,0,0.113668939403456,0,0,-0.0754320582702869,0,0.0744728557993728,0
