,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.359255725558081,0,0.308153725474041,0,0,0,0,0,0.0475305804956427,0,0,0,0,0.0512340658840611,0,0,0,0,0,-0.044473210952496,0,0,0,0,0,0,0.0432750997705466,0,0,0,0,0,0,0,0,0,0,0,0,0.0897187104388652,0,0,0,0,0,0.058506651052925,0,0,0,0,0
X601318.CH.EQUITY,0.0723367111371601,0,0,0,0,0,0,0,0.190474843654281,0,0,0,0,0,0,0,0.233486696314175,0,0,0,0,0,0,-6.93889390390723e-18,0.0451062640580856,0,0,0,0,0,-0.0890160903829122,0.101481721493112,0,0.0485068336070931,0.143629465623684,-8.67361737988404e-19,0.16470580514539,0,0,0,0.0526541469165431,0,0,0,0,0,0,0,0.096910896141109,0,0,0
X601939.CH.EQUITY,0,0,0,0.332381984802378,0,0.0707231178264996,0,0,0,0,0,0,0.438379121783286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0569211173935511,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.353919452544246,0,0.0062229896174258,0,0,0.497580589763796,0.00353040586710762,0,0,0,0,0.0105019469237287,0,0,0.0407564438132935,0,0,0,0,0,0,-0.0321768307286847,0,-5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164993057126678,0,0,0,0,0.0955032316470156,0,0,0.00716952164123569,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.0464099050804994,0,0,0,0,0,0,0,0,0,0.0778411914228222,0.0450760805146752,0,0,0.697994157494832,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.411026280820424,0,0.0593719575566805,0,0,0,0,0,0.041944166399959,0,2.77555756156289e-17,0.00822127325102998,0,0,0,0,0,0.0820374242517302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162677056017302,0,0,0,0.0267201888423583,0,0,0,0,0,0,0,0,0,0,0.207315849742506,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.154033097877097,0,0,0,0.0187161249777506,0,0,0,0,0.565103336524702,0,0,0,0,0,0,0,0,0,0,0.0675143764293399,0,0,0,0.0643278344986171,0,0,0,0,0.0609782232544144,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0480707656438813
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0707194398441071,0,0,0.407920559543734,0,0,0.150849654841201,0,0,0.0780954216645623,0,0,0,0,0,0,-0.0287513183297482,0.39983999610426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.114739837644364,0,0,0,0,0.122776544691661,0,0,0,0,0,0.148874488142254,-1.38777878078145e-17,0,0,0,0,-0.0360869839642014,0,0,0.0723479257273634,0,0,0,0,0,0,0,0.220479041039242,0,0,0,0,0,0,0,0.00717668206935358,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0.161626828302509,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0815115115095476,0,0,0,0,0,0,0,0,0,0,0,0,-0.0336315977084335,0,0,0,0.0144033995294634,0,0,0,0,0,0,0,0,0,-0.52752904901409,0.488878379126809,0,0,0.690143548651563,0.343115590603947,-0.390181185177606,0,-0.256469047270326,-0.0379128356275053,0.0584895717691325,-0.448476432444797
