,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X601066.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600918.CH.Equity,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.186788677533316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0356884798221211,0,0,0.142112002009544,0,0,0,-0.0306407979944103,0.381016700195381,0,0,0,0,0,0,0,0,0,0,0.134852735321352,-0.127545847754976,0,0.0278766381270076,0,-0.0758255566664917,-0.14117388328801,0
X601939.CH.EQUITY,0.183640197462869,0,0,0.328600970897702,0,0,0,0,0,0,0,0.0241066647783442,0,0.232100518051429,0,0,0,-0.120677689424939,0,0,0,0.0597564055363522,0,0,0,0.22918412762721,0,0,0,0,-0.0960189471212481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.00552381824684289,0
X601318.CH.EQUITY,0,0,0,0,0.286642364673909,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.0501755964319226,0,0.0471959156875145,0,0,0,0,0,0.107928791770413,0,0,0,0.075789047507011,0,0,0.0899353837398105,0,0,0,0,0,0,0,0,0,0,0,0.118454292448483,0,0,0,0,0.138307662593622,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.632080164976148,0,0,0.160284075481289,0,0,0,0,0,0.0134801368100997,0,0,0.0166160122131194,0,0,0,0,0,0,0,0.122973043153916,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,-0.0113480071642761,0,0,0,0,0,-0.0428118732211802,0,0,0
X601988.CH.EQUITY,0,0,0,0.390803884986539,0,0,0,0,0,0.248155489917989,0,0,0,0,0,0.320010284191235,0,0,0,0,0.158156307518193,0,0,0,0,0,0,0.0514522128784183,0,0,0,0,0,0,0,0,0,0,-0.486398884673041,0,0,0,0,0.173552394312035,0,0,0,0,0,0,0,0.274489202910709,0
X600036.CH.EQUITY,0,0.205889130508032,0,0,0,0,0,0,0.154226440955243,0,0,0,0.137559413020638,0,0,0,0,0,0,0,0,0,0.0855069046816648,0,0,0,0,0,0,0,0,-0.0124543568336695,0.00383365004217799,0,0.306076030197063,0,0,0,0,0,0.0582741561854553,0,0,0,0,0,0.0189298693026656,0,0.0658930614830737,-0.0209639894917965,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.051452495322614,0,0,0,0,0,0.168917904824946,0,0.0290203606694066,0.0583424943661151,0,0.29316854585601,0,0,0,0,0,0,0,0.03362605205014,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.332588727741937,0,0,0,0,0.000416622219335538,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.131945833566393,0,-0.137287193629815,0,0,0,-0.00960429052742347,0,0,-0.39282724577844,0.794277669733181,0,0.577407973778385,0,0,0.188426911731799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110724099095874,0,0,0,0,0,0
X601628.CH.EQUITY,-0.0203084160672828,0,0.0307438501207546,0,0,0.345936268969869,0,0,0,0,-0.13153782756605,0,0,0,0,0,0,0,0,0,0,0,0,0.204131824373009,0,0,0,0,0,0,0,0,0,0,0,0.0712454967465437,0,0,0,0,0,0.0297679206414304,0,0,0,0,0,0,0.0919814433017647,0,-0.204270617431938,0.132724382483149,0
X601658.CH.Equity,0,0.0718913705432462,0,0.100886379957628,0.0396018504231324,0,0,0,0,0,-0.0322213304500993,0,0,0,0,0,0,0,0,0.267332364681649,0.188583196967907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289452826349014,0,0.0959389264624587,0,-0.134110334046201,0,0,-0.0791376489811552,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0.187406962777181,0.0493788963666807,0,0,0,0,0,-0.0366843012235237,0,0,0,0,0,0,3.46944695195361e-18,0,0.478418317476431,0,3.46944695195361e-18,0,0,0.0351281506947381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00921741858845027,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.290074243893586,0,0,0.0562511807457333,0,0,0,0,0,0,0.0507289160481642,0,0,0,0,0.0153893250639098,0,0,0,0,0,0.102681810418788,-0.00807054423208878,0,0,0,0,0,0,0.283039679502364,0.129119222632712,0,0.0529387482122869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.10886434309749e-05
X601166.CH.EQUITY,0,0.0597373303766045,0,0,0,0.167458894838201,0,0,0,0.0163592415795839,0,0,0,0.0335813952505677,0,0,0,0,0,0,0.0196253398465454,0.213724353503116,0,0,0,0,0,0,0,0.312020015591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144698371584013,0,0,0,0
X600000.CH.EQUITY,0,0,0.0720182592312712,0.156992744003196,0,0,0,0,0.0164663795260319,0,0,0,0.221224959297182,0,0,0,0,0,0,0,0.0123465074336502,0.0527800348191434,0,0,0,0.193855548814275,0,0,0.0907630951930824,0,0,-0.0598001278123537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0809651899820053,0,0,0,0.0212490746646027,0
