,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.117232748506618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0727833951498979,0,0.425826792649674,0.370066843654752,0.0625191322174686,-0.248586104759646,0,0,0.165461843966149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0533107088630667,0,0,0,0,0,0,0,0,-0.0207181845135542
X601318.CH.EQUITY,0,0,0,0,0,0.27001197798308,0,0,0,-0.0850793903188808,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0.191659000242713,0.0390786716724826,0.00955572302593036,0,0,0,0.227806312891966,0,0.158683298466785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.839231811815209,0,0,0,0,0,0.0163944673863914,0,0,-0.0558557594225204,0,0,0,0.0383728576486464,0.129400144790887,-4.33680868994202e-19,0,0,0.00265713397262203,0,0,0,0,0.0312126595687076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0716270660890929,0,0,0.00658110605104795,0,0,0
X601288.CH.EQUITY,0,0,0.904724393872299,0,-0.103151519010054,0,0,0,0,0,0,0,0,0,0,0.0223240846695799,0,0,0.181859539205083,0,0.0679943247236622,0,0,0,-0.0647590166762982,0,0.0191299199572023,0,0,0,0,0,0,0,0,0,0,0,0,-0.0225047043434539,-0.0823903549804537,0,0,0,0,0,0,0,0,0,0,0,-0.0163877885042995
X601628.CH.EQUITY,0.014268956748948,0,0,3.46944695195361e-18,0,0,0,0,0,0.298150183829632,0,0.215871883624496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0283044864161732,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.542751304814425,0,0,0,0,0,0,0,0,0.216560876756743,0,0,0,0.0423580181214675,0.120278356072835,0
X600036.CH.EQUITY,0,0,0,0.329067718865375,0,0,0,0,0.0692185331420764,0,0,0,0,0,0,0,0.145464256137746,0.141519973657468,0,0,0,0,0,0,0,0,0,0,0.115834068236261,0.147581477894659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0471849115859544,0,0,0,0.00404224639970162,0,0,0,0.00907591050525348
X601988.CH.EQUITY,0,0,0,0.00455522438476377,-0.138092888490593,0.0764106572714438,0,0.0506397923098089,0,0,0,-0.0201807325486242,0,0,0,0,0,0,0,0,-0.0422897034124306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108048290299706,0,0,0,0,0,0,0,0,1.0517516405027,0.00191822794321529,0,0
X1299.HK.EQUITY,0,0,0,0,0.0725508060370996,0,0,0,0,0,0,0,0.00136995124326888,0,0,0,0,0,0,0,0,0,0,-0.0272310427575368,0.103635789790231,0,0,0.0699442483522357,0,0,0.268338609215143,0.341479872308279,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,-0.0767147730437125,0,0.118330323483379,0,0.10092729446994,0,0,0.131292529091657,-0.0369671646749994
X5.HK.EQUITY,0,0,0,0,-0.00868661759338235,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.311303615719846,0,0,0,0,0,0,-6.93889390390723e-18,0.180773008961393,0.523917451925207,0,0,0,0,0,0,0,0,0,0,0.0495109178134527,0,-0.100882855493276,0,0,0.0501873319125494,0.133719551414762,0,-0.133825151354105,0,0.0436933087379879,0,0,0,0
X388.HK.EQUITY,-1.73472347597681e-18,0,0,0,0.329019008608985,0,0,0,0.0871371445879741,0,0,0,0,0,0,0,0,-0.242982779880737,0,0,0,0,0,0,0.476861660078508,0.220531032734588,0,0,0,0,0.0162145403777489,0,0,0,0,0,0,0,0,0,0,-0.161029245472875,0,0,-6.93889390390723e-18,0.113665651654903,0,0,-0.0754312538200282,0,0,0.0744672420883635,0
