,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X601066.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.186801859632783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035702951315566,0,0,0.142114799465856,0,0,0,-0.0306439937434532,0.381016442716206,0,0,0,0,0,0,0,0,0,0,0.134862013727876,-0.127541950220835,0,0.027854943391607,0,0,-0.0758280297835544,-0.141173270992826
X601939.CH.EQUITY,0.18364179546783,0,0,0.328608532503409,0,0,0,0,0,0,0,0.0241093018050676,0,0.232092442105571,0,0,0,-0.120678317275407,0,0,0,0.0597560506309579,0,0,0,0.229180110641139,0,0,0,0,-0.0960204471710901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0.00552272538388277
X601318.CH.EQUITY,0,0,0,0,0.286642364673909,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.0501755964319226,0,0.0471959156875145,0,0,0,0,0,0.107928791770413,0,0,0,0.075789047507011,0,0,0.0899353837398105,0,0,0,0,0,0,0,0,0,0,0,0.118454292448483,0,0,0,0,0.138307662593622,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.632085924680069,0,0,0.160259395009106,0,0,0,0,0,0.0134891949164681,0,0,0.0166209169707329,0,0,0,0,0,0,0,0.122971678329943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0113482402982718,0,0,0,0,0,-0.042804628829976,0,0,0
X601988.CH.EQUITY,0,0,0,0.390793899981738,0,0,0,0,0,0.248163036462141,0,0,0,0,0,0.320002578776034,0,0,0,0,0.158154774809492,0,0,0,0,0,0,0.0514625470306799,0,0,0,0,0,0,0,0,0,0,-0.486404690480649,0,0,0,0,0.173551706205158,0,0,0,0,0,0,0,0,0.274488531042193
X600036.CH.EQUITY,0,0.205886819493936,0,0,0,0,0,0,0.154216600621015,0,0,0,0.137545554806848,0,0,0,0,0,0,0,0,0,0.0855137959795861,0,0,0,0,0,0,0,0,-0.0124480616886637,0.0038326506504809,0,0.306081805908498,0,0,0,0,0,0.0582810304196139,0,0,0,0,0,0.0189430780986271,0,0.0658940367254033,-0.0209600586849764,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.051452495322614,0,0,0,0,0,0.168917904824946,0,0.0290203606694066,0.0583424943661151,0,0.29316854585601,0,0,0,0,0,0,0,0.03362605205014,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.332588727741937,0,0,0,0,0.000416622219335538,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.131945833566393,0,-0.137287193629815,0,0,0,-0.00960429052742347,0,0,-0.39282724577844,0.794277669733181,0,0.577407973778385,0,0,0.188426911731799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110724099095874,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.382755462596577,0,0,0,0,-0.0771970076111053,0,0,0,0,0,0,0,0,0,0,0,0,0.216600948825848,0.0485656163854906,0,0,0,0,0,0,0,0.0195695978605852,0,0,0,0,0,0,0,0,0.0167846133667553,0,0,0,0,0,0,0,0,0.189971752624769,0,0.0920437282048392
X601658.CH.Equity,0,0.0718904574309843,0,0.100885046836327,0.0396016662394023,0,0,0,0,0,-0.0322193814279314,0,0,0,0,0,0,0,0,0.267326867210189,0.188592135041848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289458533080933,0,0.0959379772875995,0,-0.134115728405543,0,0,-0.0791402574975575,0,0,0,0,0,0,0,0,0
