,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.394561656894234,0.0290009007001743,0,0,0,0,0,0,0,0.226513422372511,0,0,0,0,0,0,0,0,0.108268255622982,0,0,0,0,0,0.0667107755858131,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0570969565767144,0,0,0.00124131559459897,0,0,0,-0.131388229364896,0,0
X601939.CH.EQUITY,0.45068578881034,0,0,0.146980640193566,0,0,0,0,0,0,0.14636763842085,0,0,0,-0.0772999694884535,0,0,0,0,0,0,0,0,0,0,0.187583907251187,0,0,0,0,-0.0204722181532288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0074650542942423,0.077376891413352,0.00243685476948085,0,0
X601318.CH.EQUITY,0,0,0,0,0.254234608050169,0.0232845565594682,0,0,0,0,0,0.259787052645702,0,0,0,0,0,0,0,0.204294674986892,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0343620488259646,0,0,0,0,0.0616778502678206,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.295767849928584,0.0947907599918208,0,0,0.175344465104224,0,0,0,0,0,-2.16840434497101e-19,0,0,0.189284096817218,0,0,0,0,0,0,0,0.0473530075752557,0,0,0,0,0,0,0,0,0,0,0,0.123155379763005,0,0,0,0,0,0,0,0,0.000575412171422209,0,0,0,1.38777878078145e-17,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.403121181920771,0,0,0,0,0,0.236498638491668,0,0,0,0,0,0.219660178996044,0,0.135301184814587,0,0,0,0,0,0,0,0,0,0.0633218626828786,0,0,0,0,0,0,0,0,-0.510290892736218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250506638003793,-0.0772029503875121
X600036.CH.EQUITY,0,0.058241183388441,0,0,0,0,0,0,0,0,0,0.192285604319449,0,0,0,0,0,0,0,0.281968965579615,0,0.00991606347601132,0,0,0,0,0,0,0,0,0,0.278338942712593,0,0,0,0,0,0,0,0,0.0691508128714294,0.0482377784550885,0,0.0176322933869235,0,0,0,0.100102965721356,0,0,0,0,0
X1299.HK.EQUITY,0,1.38777878078145e-17,-4.33680868994202e-19,0,0,0,0,0,0.1172069400187,0,0.0813587395303368,0,0,0.13660355556571,0,0,0.328305226121854,0,0,0,0,0,0.118031723572328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162798311926402,0,0.0561899732983275,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0918513408478372,0,0,-0.132628333503913,0,0,0,0,-0.444897986813926,0.627270802458586,0,0.0576664474916243,0.684640671444253,0,0,0.0905568770030985,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302610869222885,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.177715626751535,0,0,0,0.135920680914752,0.0267879504529496,0.0365318588197171,0.245459722081436,0.0572854204271881,0,0.0268401863155495,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228239293255847,0,0,0,0,0,0,0.076848601028782,0,1.73472347597681e-18,-0.167089627362451,0.0627443843637917,0
X601658.CH.Equity,0,0,0,0,0.301779236945383,0,0,0,0,0,0,0,0,0.238286870727812,0,0,0,0,0,0,0.226746806260667,0,0,0,0,0,0,0,0.0711423412269105,0,0,0,0,0,0,0,0.00587345039395428,0.112649439177525,0,0,0,0,0,0,0,0,0,0,0,0.230673503190846,0,0,0
X601328.CH.EQUITY,0.403420454278705,0,0,0.205326714259053,0,0,0,0,0,0,0,0,0,0,0,0.152085283508888,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.246867943515414,0,0,0.0472449122437529,0,0,0,0,0,0,0,0,0,0,0,0.0390353974525112,0,0,0.00863970449923847,0,0,0.0459085044563301,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.423377322780123,0,0,0,0,0.0548629794646407,0,0,0,0,0,0,0.0543821861002179,0,0,0,0,0,0,0,0,0,0,0,0.233861934475169,0.00512476579186657,0,0,0,0,0,0,0,0,0,0,0,0.0213999936319064,0.033329258501057,0,0,0,0.0566134654951532,0,0.103424839202034,0,0,0
X388.HK.EQUITY,0,0,0.428579503966284,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0881871049848319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0455441129812289,0,-1.73472347597681e-18,0,0,0,0,0,2.16840434497101e-19,0,0,0.00596464924726688,0.00137053905476292,0,0,0,0,0,0,0,0
