,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X300059.CH.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X002736.CH.EQUITY,X000776.CH.EQUITY,X600606.CH.EQUITY,X601169.CH.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.12597549658986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.398480854753548,0.311154691768087,0.00943174217204945,0,0,0,-0.0860063288230865,0,0,0.273939932191057,0,0,0,-0.272272172989317,0,0,0,0,0,0,0.0183073953136666,0,0,0,0,0,-0.268302890327603,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.185644009953535,0,0,0,0,0,0,0,0,0,0,0,0.0532199487152397,0.0939353621098084,0,0,0,0,0,0,0,0,0.0199549474211488,0,0.0687502677908277,0.00416758173208047,0,0,0,0,0,0,0.232605276501998,0,0,0,0,0,0,0,0,0.0759764401390574,0,0,0.217929728170683,0,0.105664709252582,0
X601939.CH.EQUITY,0,0.00324621317030488,0,0.813507349361635,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.031265068819448,0.123247552572011,0,0.0255733654654906,0,0,0,0,0,0,0,0.0262637949245462,0,0,0,0,0.0300273780271549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0143431960133394,0,0,0.0117261356154367,0
X601288.CH.EQUITY,0,0,0.883179843973873,0,-0.115940128435763,0,0,0,0,0,0,0,0,0,0,0.0459076545267663,0.0407262817267669,0,0.157916054409174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120048913627045,-0.108587003037332,0,0,0,0,0,0,0,0,-0.0355733777008814,0,0.0176399830233965,0,0
X601628.CH.EQUITY,-0.0105326111450755,0,0,0,0,0,0,0,0,0.0395579382244896,0,0.408236251690061,0,0,0,0,-0.02981543924174,0,0,0,0,0.12534768109319,0,0,0,0,0,0,0,0,0,0,0,0,0.485408713268344,-0.127015825450503,0,0,0,0,0,0,0,0,0.0103198195303384,0.087265846664604,0,0,0,0,0,0.0902286503866986,0
X600036.CH.EQUITY,0,0,0.408792768371138,0,0,0,0,0,0.0248230589317195,-0.00639779235403669,0,0,0,0,0,0,0.106788623665462,0,0,0.00488779333019886,0.012687406228952,0,0,0,0,0,0.191709763980057,0,0,0,0,0.123094184835063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,-0.0682144624117725,0.128620498001458,0,0,0,0,-0.03879978467643,-0.0669248192953403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.110259463279766,0,0,0,0,0,0,0,0,-0.0362342942486577,1.06249279158076,0.0224906369516541,0,0
X1299.HK.EQUITY,0,0,0,0,0.238577903959986,0,0,0,0,0.199873437209535,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.219006680738576,0.0574566016777916,0,0.411227113209796,0.19261858088287,0,0.11597465342544,0.167341600195909,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,-0.0941901457050903,0.078465263348579,0,0,0,0,0,-0.0377942920543422,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357237066870802,0.283447899659113,0,0,0,0,0,0,0,-0.223747834510104,0,0,0,0,0,0,0,0,0.0332347088093718,0,0,0,0,0.365882062349882,0,0,-0.032400928494069,0
X388.HK.EQUITY,0,0,0,0,0.278620602599373,0,0,0,0.0891206541383849,0,0,0,0,0,0,0.101417125218367,0,-0.389604810938058,0,0,0,0,0.271344680807042,0,0.221083367234371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.165284786287203,0,0,0.219779782633472,0,0,0,0,0,0.0668892307282841,0
