,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.183035767257703,0,0.354020520258636,0.0405314106985015,0.0914379685944071,0,0,0,0,0,0,0,0.0377275174289595,0,0,0,0.353990090912301,0,0,0,-0.0493249789562977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333020475999628,0,0.0545587226026257,0,0.0223142967717585,0.0433756877724506,0,0,2.16840434497101e-19,0,0
X601318.CH.EQUITY,0,0,0,0.0659270576960252,0,0,0,0,0.123511456592563,0,0,0.0871653709546573,0.110190167866805,0,0,0,0,0,0.11424357490486,0,0.261344645750953,0.0510447111077123,0,0,0,0,0,0,0,0.0364176246972187,0.0982012292994486,0,0,0,0,0.0193949299732896,0,0,0,0,0,0,0,0,0.069632070821545,0,0,0,0,0,0,0.101177719277728
X601939.CH.EQUITY,0.297460631408545,0,0,0,0.201651016947284,0,0,0,0,0,-0.0447008211003984,0.155077590265125,0,0.00871738000620717,0,0,0,0.0233065430484506,0,0.134162472207464,0,0,0,0,0.136848909190733,0,0.223205095400338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0397862676175947,0.0398653867653478
X600036.CH.EQUITY,0,0.127324088057807,0,0,0,0.160945388606025,0.0893582318646563,0.0951605424905735,0,0,0,0,0.215643512123599,0,0,0,0,0,0,0,0,0,0,0.0120196982904723,0,0.327071001486798,0,0,0,0.0751423168325558,0,0,0,0,0,0,0,0,0.0625974465149765,0,0.0851013977119409,0,0,0,0,0,0,0,0,0,0,0.0421885526295676
X601288.CH.EQUITY,0.193220737949031,0,0.0485254799229453,0,0,0.0437818711732759,-0.11195172015126,0.297929404506903,0.0297003921884835,0,0,0.0465084190487788,0,-0.0162540190116478,0,0.0815915946514396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167107084613442,0,0,0,0,0,-0.134176946871065,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0296122817678636,0,0,0,0,0,0.157991718114361,0,0,0,0,0.0878149247107752,0,0,0,-0.0596315382660856,0,0,0,0.0636765033538411,0,0.309913327720944,0,0,0.4863713134514,0,0,0,0,0,-0.0364857004106573,0.054170109307976,0,0,0,0,0,0,0,0,0,0.113035199678114
X1299.HK.EQUITY,0,0,-0.0315179567965319,0,0,0,0,-0.078107901297645,0,0,0.0931971426195372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246850486691667,0,0,0,0,0,0,0,0,0,0,0.0729137202575762,0,0.293147553157999,0.260276730121755,0.174349853842396,0,0,0,0,0,0,0.288193955062844,0.0873942219298158,0
X601988.CH.EQUITY,0,0.118055461816774,0.0494860790781362,0.289653531880364,0.182428880375195,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286500161372506,0,0,0,0,0,0,0,0,0.138487740678549,0,0,0.128413204595112,-0.0441977858172664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,6.7762635780344e-21,0,0,0,0.0208510089731396,0,0,0,-2.71677206908199e-05,0,0,0,0,0,0,0,0,0,0,0.0979676419877784,0.0108124304099419,0.101183056056567,0,0,0,0.0557405078700013,0.232654707663694,0,0,0,0,0,0,0,0,0,0,0.331322095884462,0,0,1.73472347597681e-18,0,0.174192033345577,0,0,0,0.00241110036707527,0,0,0,0
X601166.CH.EQUITY,0,0,0.0761377988462396,0.169972896534986,0,0,0,0,0,0,0,0.0960570104269701,0,0.00244295111239879,0,0,0.0600214698551916,0,0,0,0,0,0,0,0,0.183628288367415,0,0,0.367257082870294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0229461738328434,0,0,0,-0.0553922950493148,0,0,0,0
