,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.359258954846257,0,0.30815348296544,0,0,0,0,0,0.0475293663968084,0,0,0,0,0.0512320194222152,0,0,0,0,0,-0.0444740499342195,0,0,0,0,0,0,0.0432742448955868,0,0,0,0,0,0,0,0,0,0,0,0,0.0897167442407752,0,0,0,0,0,0.0585090427740681,0,0,0,0,0
X601318.CH.EQUITY,0.0723367111371601,0,0,0,0,0,0,0,0.190474843654281,0,0,0,0,0,0,0,0.233486696314175,0,0,0,0,0,0,-6.93889390390723e-18,0.0451062640580856,0,0,0,0,0,-0.0890160903829122,0.101481721493112,0,0.0485068336070931,0.143629465623684,-8.67361737988404e-19,0.16470580514539,0,0,0,0.0526541469165431,0,0,0,0,0,0,0,0.096910896141109,0,0,0
X601939.CH.EQUITY,0,0,0,0.332397099277095,0,0.0707228666906469,0,0,0,0,0,0,0.438371332747827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.0569149032177127,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.353920824319824,0,0.00622046288854539,0,0,0.497587856477061,0.00356127071578369,0,0,0,0,0.0104924771516649,0,0,0.0407438626310095,0,0,0,0,0,0,-0.0321821457103581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164993950182454,0,0,0,0,0.0954934719348178,0,0,0.00717174327551838,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,-6.93889390390723e-18,0,0.0464074858549616,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.0778394381751424,0.0450734560217398,0,0,0.697999203812802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.411051248848901,0,0.0593208221299731,0,0,0,0,0,0.0419065535343864,0,0,0.00823879816819284,0,0,0,0,0,0.0819975603434832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162676649612881,0,0,0,0.0267053734444082,0,0,0,0,0,0,0,0,0,0,0.207398127419968,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.335508984579164,-0.0199011755303489,0,0,0,0,3.46944695195361e-18,0,0,0.469884946178928,0,0,0,0,0,0,0,0,0,0,0.0528182395275155,0,0,0,0.0767187599824066,0,0,0,0,0,0.0186617300800965,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0707215542394834,0,0,0.407917217711732,0,0,0.150854803258258,0,0,0.0781017375067992,0,-2.77555756156289e-17,0,0,0,0,-0.0287511994886533,0.399839023641223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.114739837644364,0,0,0,0,0.122776544691661,0,0,0,0,0,0.148874488142254,-1.38777878078145e-17,0,0,0,0,-0.0360869839642014,0,0,0.0723479257273634,0,0,0,0,0,0,0,0.220479041039242,0,0,0,0,0,0,0,0.00717668206935358,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0.161626828302509,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.021658876347003,0,0,0,-0.523525558046497,0.227162398074091,0,0.185888141190148,-0.273449851289025,0,0,0,0,0,0,0,0,1.0564195325871,0,0,0,0,0,0,0.189477907845763,0,0,0,-0.118151532397155,0,0.0394565408057974,0,0,0,-1.14412077780931,0.0181305997034942,0,0,0.915501384030867,0,-0.207663312342502,0,0,-0.00300837956908028,0,0
