,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X300059.CH.EQUITY,X2886.TT.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.0193156010529183,0,0.164865181138547,0,0,0.110450387075545,0,0.246173723189912,0,0,0,0,-1.38777878078145e-17,0.189959043586442,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.0424167644441718,0,0.137894782052874,0,0,0,0,0,0,0.0288826613656287,0,0,0,0,0,0,0,0,0,0,0.0491189945081213,0,0.00615006746033816,0,0,0
X601318.CH.EQUITY,0.127350944533941,0,0,0,0,0,0,0,0.309005465599155,0,0,0,0,0,0,0,0.3080092400798,0,0.0389564668032924,0,0,0,0,0,0,0,0,0.00858772634245771,0,0.0151623298476519,-0.0962278912497448,0,0,0,0,0.0605408304828891,0,0,0,0,0.128768510454342,0,0,0.0695532935110432,0,0,0.0201956017186752,0,0,0.0411397325203518,0,0,0
X601939.CH.EQUITY,0.269217293533165,0,0,0,0,0,0,0,0,0,0,0,0,0.413713216546521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191907182165007,0,0,0.108132632053468,0,0,0.00678225134492766,0,0,0,0,0.00386108208427802,0,0,0,0,0,0
X601288.CH.EQUITY,0.352863609707447,0,0,0,0,0.499059978729145,0.00600513213961462,0,0,0,0,0.0101317401752397,0,0,0.0388302279648256,0,0,0,0,0,0,-0.0328344729817492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0195225105338377,0,0,0,0,0.0900783128576676,0,0,0.00900812085972987,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.239399488599905,0,0,0,0,0,0,0,0,0,0.548815500023134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130213427219348,0,0,0,0,0,0,0,0,0,0,0,-0.237608005854347,-0.0897784819291646,0,-0.0628254601900251
X601988.CH.EQUITY,0,0.0659365040704815,0,0,0,0,0,0,0.0804502379360227,0,0,0,0,0.0117545234039026,0,0,0,0.219518702567172,0.127633134690167,0,0,0,0,0.29849823021819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13862082727903,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.0818993285446638,0,0,0,0.282130709649048,0,0,0,0,0.190722156427792,0,0,0,0,0,0,0,0,0,0,0.0643405665048558,0,0.177037210821405,0,0.124811199945691,0,0,0,0.0061248299535297,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.0643115046550387,0,0,0.0169845352495211
X1299.HK.EQUITY,0,0,0,0,0,0,0.13819567171494,0,0,0,0,0,0,0,0.37592943924065,0,0,0,0.178681022658386,0.225343969452465,0,0,0,0,0,0.0107670860251434,0,0,0.278207392600302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0497770145362706,0,0,0,0,0,0
X601628.CH.EQUITY,0.389599500493037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.124214001961409,0.110024555218977,0,0,0,0,0,0.142415660923954,0,-0.0222459600994796,0,0,0,0,0.216679727103981,0,0,0.129658704276759,0,-0.0279303457834958,0,0,0,0,0.0495832819200952,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217463242511504,-0.181202831974902,0,0,0,0,0,0,0,0,-0.38292798830831,0.732861477016788,0,0,0,0,-0.395712918711237,0.434615593669189,0,0,0,0,-0.268325892487467
