,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.137604460727783,0,0,0,0,0,0,0,0,0,0,-0.0977140215728272,0.434729337557502,0,0.688273402826117,0,0.0393172054056693,0,-0.127708380551443,0,0,-0.0822672042524448,0,0.103755763923122,0,0,0,0,-0.135508989140895,0,-0.33956323606002,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,6.93889390390723e-18,-3.46944695195361e-18,0,0.101338963689931,0,0,0,0,0,0,0,0,0,0,0.066006132498667,0,0,0.355209183299026,0,0,0,0,0,0,0,0,0,0.102636254404428,0,0,0,0,0,0,0.198831559245865,0,0,0,0,0,0,0,0,0,0.0248086187873285,0,0,0,0,0.127133229364335,0
X601939.CH.EQUITY,0,0,0,0.803166097616407,0.00226645216399375,0.00150232882165397,0.015494929687462,0,0,0,0,0,0.0107622776717889,0,0,0,0,0,0.0520842030912809,0,0,0,0,0,0,0,0,0,0,0,0,0.0897087882938604,0.04185803130855,0,0,0,0,0,0,0,0,0,0,0,0.032069616993831,0,0,0.0379129287242936,0,0,0,0.0145045525646623,0
X601288.CH.EQUITY,0,0,0.87794040561526,0,0,0,-0.0948285242748072,0,0,0,0,0,0,0.0113832404842798,0.0380342851649755,0,0,0.154833269608734,0,0,0,0,0,0,0,-0.0610852192439873,0.0154809050639938,0,0,0,0.00569492377393392,0.0106006652056289,0,0,0,0,0,-0.151921081624825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,-0.152625390461881,0,0,0,0,0,0.966778667615939,0,0,0,0,-0.0104073162921684,0,-0.148572285783476,-0.0439755466257178,0,0,0.277261846755148,0,0,0,0,0,0,0,0,-0.162143697873498,0,0,-0.151172102100166,0,0,0,0,0,0.0576636461109622,0,0.0659094305385157,0,0,0,0,0,0,0.0302569415558976,0.223995444371082,0
X600036.CH.EQUITY,0,0,0.377509200421671,0,0,0,0,0,0.00173229977386684,-4.33680868994202e-19,0,0,0,0,0,0.14145686386915,0,0,0,0.0068831873302298,0,0,0,0,0,0,0.194232819515959,0,0.0164337255948236,0,0,0,0.188126925025752,0,0,0,0,0,0,0,0,0,0,0.0311821527892882,0,0,0,0,0,0,0,0,0.0135567895053342
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0630191804520669,0,0,0.768062145733425,0,0,0,-0.00205670017792463,0.0768615560677804,0,0,0,0,0,0.121209347224049,0,0,0,0,0,0,0,-0.0795618245935038,0,0.0652105457950111,0,0,0,0.00224705058018818,-0.0266154407565269,0,-0.01668752340912,0,0,0,0,0.091941256145818,0.0272093526845629,0,0.0196334229895663,0,0,0,0.16508162936258,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.111923520894557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.256537487654867,0,0,0.167282900780589,0,0.170987468760493,0,0.348440019026099,0,0,0.00251763357954426,0,0,0,0,0,0,0,0,0,0,0,0.410470216513358,0,0,0,0.0997236493625446,-0.0894429061534113,0.0982182530401678,0
X5.HK.EQUITY,0,0,0,0,0,0,-0.219880054869751,0,0,0,0,0,0,0,0.324393239331154,0,0,0,0,0,0,0.0610549136650004,0,0,0.332221362384718,0.0523707998101517,0.159315423424194,0,0.140391943888901,0,0,0,0,0,0,0,0,0,0,0,0,0.0625340731251785,0,0,-0.0392347249385213,0,0,0,0,0,0,-0.182590544299558,0.0937452341746564
X388.HK.EQUITY,0,0,0,0,0,0,0.225187547907201,0,0,0,0,0,0,0,0,0,0,0,-0.216147057141276,0,0,0,0,0,0,0.339463308881154,0,0.0599006211382933,0,0.15431192230471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16779837922334,0.0304969948599279,0,0.0563196149129636,0,-0.261666022149357,0,0,0
