,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0.239630912724806,0,0,0,0,0,0.287340641761985,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0.108921035171427,-0.0574105527557735,0.191007047617022,0,0,0,0,0,0.136037142732803,0,0.106629509808384,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00068831396874398,0,0,0,-0.168697905902241
X002142.CH.EQUITY,0.386338470819161,0,0,0,0,0,-0.0421271095294083,0,0.0701380146765495,0,0,0,0,0.0168335302412089,0,0.297685787269762,0,-0.0327929192433423,0,0,0,-0.0895863295315756,0,0,0,0,0,0,0,0,0,0.0445008640155532,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0.0946879273003478,0,0.125769778301814,0,-0.0680832789863612,0,0
X600000.CH.EQUITY,0,0,0,0,0.0268362268251121,0.330531187665797,0.12511919936521,0,0,0.113806376540042,0,0,0,0,0,0,0,0.135494247398549,0,0,0,0.282686826053688,0,0,0.0547573199214827,0,-0.0893087425650611,0,0,0,0,0,0,0,-0.13072908407181,0,0,-0.156594575704022,0,0,0,0,0.276821046715448,0,0,0,0,0.0566764180203535,0,0
X600015.CH.EQUITY,0.0547395137443711,0,0.093561646004686,0,0.125148092077465,0,0,0.0251486470299618,0,0.465847504265073,0,0,0,0,0.0462584255352877,0,0.0674512134108383,0.0342819853024494,0.0170606957021578,0,0,0,0,0,-0.0123540070492896,0,0,0,0,0.05549661789213,0,0,0,0,0,0,0,0,0.132937014965301,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0.1148603899841,0,0,0,0.0547223099804682,0,0,0,0,0,0,0,0,0,0.208109362657685,0.109652653527494,0,0,0,0,0,0,0,0,0,0,0.141175341700235,0,0,0,0,0,0,-0.633893838351965,0,0.0329646691701878,0,0,0,0,0,0,0,0.0331314878256779,0.0529755038489097,0,0.234329386776859,0
X600036.CH.EQUITY,0,0.053471780396735,0.343867895044108,0,0,0,0.302978613644835,0,0.0159672779217812,-0.0428900404566487,0,0,0,0,0.201235068718212,0,0,0,0,0,-0.108989312529516,0.0971530935552543,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203525600558786,0,-0.152225109779084,0.254528959309258,0.238731823160113,0,0.0772367022886438,0.0267403036685126,0,0,0,0,0,0,0
X600919.CH.EQUITY,-0.0539837114288534,-0.016197226960651,0,0,0,0.966221892096484,0,0.00275087633684777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105989848532014,0,0,0,0,-0.0935701672873021,0,0,0,0,-0.948609478456678,0,-0.0879707911391776,0.523455955481971,0,-0.0539975229011075,0.0290905063133666
X601009.CH.EQUITY,0.00586512370919264,0,0,0,0,0,0,0,0,0,0,0,0,0,0.508891316055022,0.0324379355967867,0,0,0,0,-0.0984992467481024,-0.289746728648644,0,0.16420850586187,0,0,0,0,0,0,0,-0.0226392414125648,0,0,0,0,0,0.213874574947906,0,0.460041487183604,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0.187845606527046,0,0,0,0,0,0,0,0,0,0.231048677261364,0,0,0,0,0,0,0,-0.0908691999683747,0,0,0,-0.0181614747754913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.547178147620368,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0,1.27849328295161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.235793197432344,0.299308523569534,0,0.0113820009745709,0,0,-0.0649410219696869,0,0,0,0,0,0.0278514060562428,0,0,0,0,0,0,0,0,-0.329451868655169,-0.108827715926125,0,0,0,0,0,0
