,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.140087195882979,0,0,0,0,0,0,-0.00191156753964403,0,0,0,0,0,0,0,0,0,0,-0.0198618031339593,0.0188494452073788,0,0.348016877957032,-0.180927921170256,0.425734098326048,0,0,0.248378106515076,-0.0915707467319247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71050543121376e-20,-0.0220883400064443,0
X601318.CH.EQUITY,0,0,0,0.00469831827418654,0,0.299207847404588,0,0,0,-0.0684156578472699,0,0,0,0.101919431465307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00341412959896076,0.0612501893422928,0,0,0,0,0.272711857510713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0664386448284288,0
X601939.CH.EQUITY,0,0.0477483198732236,0,0.795752787055775,0,0,0,0,0,0.0469460732299887,0.0302995431716354,0,-0.027613487521533,0.0207881886924788,0,0,0,0.0833904905688454,0,0,0,0,0.00108307463358419,0,0,0,0.0218907927021943,0,0,0,0.0221540772388845,0,0,0,0,0,0,0.0799664944634048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.974276226899374,0,-0.0182707827045437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067821272510669,0,0,0,0,0,0,0,0,0.0189120020870488,0,0,0,-0.0411111514382086,0.0122365112297189,-0.0598174195185804,0,0,0,0,0,0,0,0,-0.0964407585521312,-0.0372429313812093,0,0
X601628.CH.EQUITY,0.00494816878861805,0,0,-3.46944695195361e-18,0,0,0,0,0,0.295890969607999,0,0.127948254149438,0,0,0,0,0,0,0,0.42792526557537,0,0,0,0,-2.77555756156289e-17,0,-0.0388194852431869,0,0,0,0,0,0,0,0,0,0,0.0828154226273091,0,0,0,0,0,0,0,0.0399427548624002,0,0.244263631131434,0,0,0,0.0128576201066741,0.0224572868007828,0
X600036.CH.EQUITY,0,0,0,0.329163496492911,0,0,0.00603206604008775,-2.16840434497101e-19,0.036973361552812,0,0,0,0,0,0,0,0.172072675249187,0.0120390619606694,0,0.0250919164866267,0,0,0,0,0,0,0.0363600249880804,0,0.170487156939446,0,0.114704168298575,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0406049394984754,0,0,0,0.0420036201566513,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.0686226823979165,-0.023091429142934,0,0,0,-0.029159883729187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0547488595357781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0102277509065515,0,0,0,0.00135833818095222,-0.117029823141396,0,0,0.996639837246515,0,0,0.020939107475584,0
X1299.HK.EQUITY,0,0,0,0,0.103878221905413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297227162385335,0,0,0,0,0,0,0,0,0,0,0.128774073464201,0.306673665825325,0,0,0,0,0,0,0,0,0.0343975299220536,0.0572428487575802,0,0,0,0.0510586828672279,0,0,0,0,0.10584961307721,-0.0307610140155456
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00658812153769404,0,0,0,0,0.250051380641988,0.453895881281494,0,0,0,0,0,0,0,-0.0127962994465689,0,-0.171739451657108,0.113770445284051,0,0,0,0,0,0.0122959026944237,0,0,-0.167898759709399,0,0,0.211115817830027,0,-0.0354801409054167,0.0440386123652781
X388.HK.EQUITY,0,0,0,0,0.162772996281663,0,0,0.176491732007986,0,0,0,0,0.0724046040407379,0,0,0,0,0,0,0,0,0.285818211366098,0,0,0.111057869968405,0,0,-0.0302511194538133,0,0,0,0,0,0.0766884714515483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.221151275837788,0,-0.0229712642873904,0,0.298151033974085,0
