,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002142.CH.EQUITY,X17.HK.EQUITY,X000776.CH.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY
X601398.CH.EQUITY,0,0.521228378749995,0,0.0754564196495635,0.0311455788022768,0.0922241530798563,0.050350701457827,0,0,0,0,0,0,0,0.0257285384171914,0,0.0402543346170118,0,0.0628949378615123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00726046853945638,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.493262158469049,0,0,0.0357116095327601,0,0,0,0,0,0.141373025582592,0,0,0,0,0,0,0,0,0,0.0131449788647523,0,0,0,0.0113397824395511,0,0,0.159094788628064,0.0505827690263429,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0.0547979645865211,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.169929846656991,0,0,0,0,0,0,0.190212797074588,0,0,0,0,0,0,0,0.215911158296744,0,0,0,0,0,0,0,0,0.0942791525485079,0,0,0,0,0,0.179781236744403,0,0,0,0.000758270848836711,0.0180113152566445,0,0,0,0
X601288.CH.EQUITY,0.461839978498208,0,0.0454824796558934,0,0,0.0303928201963579,0,0,0,0.0940309253336268,0,0,0,0,0,0,0.183487395299711,0,0,0,0,0,0,0,0,0.00861388371410077,0,0,0.130978412874167,0.034948862948394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.58427971507226,0,0,0,0,0,-0.297686118249386,0,2.77555756156289e-17,0.106474773237062,0,-0.256967216959049,0.503162995080264,-0.198240189308795,0,0,0,-0.272342332339903,0.298602509112303,0,0.110903660375675,0,0,-0.199755266842264,0.265561154608621,-0.0719067543346717,0,0,0.448231223434728,0,0,0,0,0,0,0,0,0,0,0,-0.248710229877573,0,0,0
X601988.CH.EQUITY,0,0,0,0.215803106693162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315307813344722,0.0763783160516741,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.0145322763999452,0,0,0,0.111554444264627,0,0.207626211901999,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.132002031252424,0,0,0,0,0,0,0,0.0153706283726368,0,0.244327076159676,-0.0578253343117579,0,-0.0206238399823314,0,-0.0138464734656857,0.0714832879157548,0,0,0,0,0,0.381785236780806,0,0.110866609180242,0,0,0.0936587626917476,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0.0480692798217244,0,0,0,0,-0.037908967096949
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102579094582394,-0.0648032486812785,0,0,0,0,0.244428142021771,0,0.0843280428929186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317247287016029,0,0
X601628.CH.EQUITY,0,0,0,0,0.0815004216269342,0,0,0,0,0,2.77555756156289e-17,0.00891222495192632,0.245956713699372,0.0262484268352951,0,0,0,0,0,-0.0636066458742643,0,0,0,0,0,0,0.162933138435618,0,0,0,0,0.22753643142167,0,0,0,0,0,0,-0.041387304677105,0,0,0.214666117764855,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0849156648828456,0,0,0,0.036519758291275,0.0101701596442206,0,0,0,0,0.113621990159114,0,0,0,0,0,0,0.0227377275350684,0.187045586726637,-4.33680868994202e-19,0,0,0.0282875787916196,0,0.0620690650564306,0,0,0,0.0868524014178611,0,0,0,0,0,0,-0.0053082594629877,0,0.155177675274909,0.211328114194959,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0.157242948551284,0.0676336642788655,0,0,0,0.14121039985156,0.00719526505511831,0.114805772564196,0,0,0,0,0,0,0,0,0,0,0,0,0.27258043658895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0774354955934721,0.00330269221504704,0,0,-0.0135456739010495
X601319.CH.EQUITY,0,0,0,0,0,0,0,-0.313242648715064,0,0,0,0,0,0,0,0.089392320808221,0,0.00918425417374623,0,0,0,0,0.0366604502351567,0,0,0,0.0754177858726671,-0.148871908950619,0,0.0867872313519716,0,0,0.224885183535967,0,0,0.0175996023327429,0.669082901180208,0.269711388038891,0,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0.203363944969221,0.0636185878594665,0,0.160243607242982,0.0291266468383651,0,0,0,0,0,0,0,0,0,0,0.0654414168779341,0,0,0.0627664703249825,0,0,0,0,0,0,0.13126243070558,0,0,0,0,0,0,0,-5.55111512312578e-17,0,0,0,0,0,0,0.150323661623308,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0646300249948824,0,0,0.0619536182951085,0,0,0.0930787913261176,0,0.165150688568111,0,0,0,0,0,0.680570580647647,0,0.0863548939844499,0,0,0.0611606411394771,0,0,0,0,0,0,0.0241037069386161,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185614559591762,0,0,0,0,0,0,0,0,0.304982811090135,0,0,0,0,0,0,0,0.0615373606372392,0,0.22520038488693,0,0,0,0,0,0.130604091036557,-0.0346350958831047,0,0,0,0
