,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X300059.CH.EQUITY,X2886.TT.EQUITY
X601398.CH.EQUITY,0,0.0193210848368591,0,0.16486822649294,0,0,0.110452331245607,0,0.246170557160209,0,0,0,0,-1.38777878078145e-17,0.189960296037027,0,0,0,0,0,0,0,0,0,0,0,0,0.0424162876770161,0,0.137887503887715,0,0,0,0,0,0,0.0288836210659083,0,0,0,0,0,0,0,0,0,0,0.0491177709455494,0,0.00614855043454677
X601318.CH.EQUITY,0.127350944533941,0,0,0,0,0,0,0,0.309005465599155,0,0,0,0,0,0,0,0.3080092400798,0,0.0389564668032924,0,0,0,0,0,0,0,0,0.00858772634245771,0,0.0151623298476519,-0.0962278912497448,0,0,0,0,0.0605408304828891,0,0,0,0,0.128768510454342,0,0,0.0695532935110432,0,0,0.0201956017186752,0,0,0.0411397325203518
X601939.CH.EQUITY,0.269217192007128,0,0,0,0,0,0,0,0,0,0,0,0,0.413711871614296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191908326634325,0,0,0.108132026442246,0,0,0.00678257704050182,0,0,0,0,0.00386256543185421,0,0,0
X601288.CH.EQUITY,0.352846471593956,0,0,0,0,0.499088368349758,0.00601334124462831,0,0,0,0,0.0101390381816395,0,0,0.0388127022968284,0,0,0,0,0,0,-0.0328368215987185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194955786515549,0,0,0,0,0.0900986342021764,0,0,0.00900322861401272
X5.HK.EQUITY,0,0,0,0,0,0,0,0.168791518554102,0,0,0,0,0.344697979242479,0,0.00788182637030497,0,0,0,0,0,0,0,0.663883802685489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0209963693310354,0,0,0,0,0,0,0,0,0,0,0,-0.206981612524244
X601988.CH.EQUITY,0,0.0659398122849582,0,0,0,0,0,0,0.080461641010935,0,0,0,0,0.0117589376751731,0,0,0,0.219533092119347,0.127639563562329,0,0,0,0,0.29848419625542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138597328410527,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.138265334063388,0,0.0105550445473184,0,0.302254011879475,0,0,0,0,0.145948796235521,0,0,0,0,0,0,0,0,0,0,0.0740950089063743,0,0.111698637558869,0,0.120579095677514,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0658893784223391,0.0674774561971443
X1299.HK.EQUITY,0,0,0,0,0,0,0.140277563081962,0,0,0,0,0,0,0,0.370473857859507,0,0.0119184861051068,1.73472347597681e-18,0.177543372244781,0.244457701427675,0,0,0,0,0,0,0,0,0.273383957806328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0653912595267073,0,0,0
X601628.CH.EQUITY,0.389599500493037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.124214001961409,0.110024555218977,0,0,0,0,0,0.142415660923954,0,-0.0222459600994796,0,0,0,0,0.216679727103981,0,0,0.129658704276759,0,-0.0279303457834958,0,0,0,0,0.0495832819200952,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.303492609608287,0,0,0,0,0,0.205215218223678,0,0,-0.240721024245487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0600808731989719,-0.0975899827065746,0,0,0,0,0,-0.0270326302733573,0,0,0,0.749724887383146,0,0,0,0,-0.0866161098020615,0.621602249805537,0,0
