,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY
X601398.CH.EQUITY,0,0.0977420310810763,0,0.156549507218518,0,0,0,0,0,0.123544045053676,0,0.17094461555302,0,0,0,0,0,0,0,-0.0438713417839674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157100796397579,0,0,0,0.193483730520111,0,0,0,0,0,0,6.93889390390723e-18,0.0212238459742681,0.166072572455107,0,0
X601318.CH.EQUITY,0,0,-0.090922364687917,0,0,0.0582097328697633,0,0,0.184223832688924,0,0.0576089524815738,0,0.1448051639211,-0.0170664618223715,0,0.250780402912904,0,0,0,0,0,0,0,0,0,0,0,-0.0714640071124422,0,0,-0.178212776324699,0,0,0,0.274397959019226,0,0,0,0.07630367318232,0.201834810407837,-0.236846804722182,0,0.188698347353744,0.197958529686313,0,0,0,0,0,0
X601939.CH.EQUITY,0.410664925928319,0,0,0,0.0257613528788195,0,0,0,0,0,0,0.0937266910942157,0.0150211046991035,0,0.0914767673006597,-0.107583466098832,0,0,0,0,0,0,0,0.0936164567614337,0,0.0879803667518521,0,0,0,0,0,0,0,0,0,0,0,0.0881901700675067,0,0,0.428275804843579,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.17207716997026,0,0.155508808523508,0,0,0.384171523636384,0,0,0,0,0,0,0,0,0,0,0.085267267025531,0,0,0.0196265412580241,-0.0701092115616242,0.0389801568940318,0,0,0,-0.0816389142802261,0,0,0,0,0,0,0,0,-0.080636052920323,0,0,0,0,0,0.217020825449272,0,0,0,0,0,0,0.118142835270193,0,0
X5.HK.EQUITY,0,-0.125433162914553,0.0478000910447322,0.195459642725959,0,0,0,-0.0609462204443434,0,0,0,0,0.286290326608657,0,0,0,0,0,0,0,0,0.504363594110514,0,0,0,0,0,0,0,0,0.181504377865774,0,0,0,0,0,0,0,0,0,0.100253607803958,0,0,0,0,0,0,0,-0.136034308965588,0
X601988.CH.EQUITY,0.223823865283765,0.0857035269324312,0.0960792845061618,-1.73472347597681e-18,0,0,0,0,0.216725260610077,0,0,0.266319438869982,0,-0.0700285590469866,0,0,0,0,0,0,0,0.0289559379509213,0,0,0,0.0489139251508974,0,0,0,0,0,0,0,0.181403253278568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0.0458561982096397,-0.0656925549186716,0,0.225360301131341,0,-0.0657409040713357,0.02633266053882,0,0.301753043490524,0,0.230824519104574,0,0,0,0,0,0,0.0372221367852724,0,0,0,0,0,0,0,0.034634525630932,0,0.0489998365651282,0.0388659095957548,0,0.0892638881037318,0,0,0,0,0,0,0.0768498105478116,0,0,0,0,0,0,0.059235430778781,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0830018896959172,0,0,0,0.117669960003462,0,0,-0.120419048244739,0,0.032578610483099,0.238255982460358,0,0,0,0,0.0170122581056576,0,0,0.0662791251141267,0.0609117718927126,0.095113958182687,0,0,0,0,0,0.019657257840485,0.207816478024025,0,0.0283349964123215,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0743286793036969,0.306356599583059,0,0,0.0987621107298029,0,0,0,0,0.00807477682687827,0,-0.0189765709282817,0,0,0,0,0,0,0,0.0564187511498806,0,-0.155629246550089,0,0,0,0,0.219060317896935,0,0,0.0454539982284964,-0.300306955291205,0.0288204267906577,0,0,0,0,0,0,-0.0488419343804521,0,0,0,0,0,0,0,0.0622606844493347,0.118261991230646,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0.289385562515431,-0.407755815035552,0,0,0,0,-0.120530320844342,0,0,0,0.329474114458145,0,0.617874995247164,0,0,-0.0207083408722589,0,0,-0.194480731172839,0,0,0.061913722319264,0,0,0,0,0,0,0,-0.409667176150948,0,0,0,0,0,0.758875337116583,0.0642737700123519,-0.13047516977191,0,-0.449490834667157
