,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X601169.CH.EQUITY
X601398.CH.EQUITY,0,0,0.123183417777266,4.33680868994202e-19,0,0,0,0,0,-0.0967978502509973,0,0,0,0,0,0,0,0,0,0,-0.147388942925509,0.0765366669743826,0,0.549548384869112,-0.173905174536678,0.521689890936938,0,0,0,-0.0813166423182875,0,0,0,0.0105337638152352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.196784903352214,0,0,0,-0.0641896579150703,0,0,0,0.153980261578403,0,0,0,0,0,0,0.0147709959596789,0,0,0,0,0,0,0,0,0,0.150755486898618,0,0,0,0,0.240843215417196,0,0.160490071006344,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0.0477446826360449,0,0.795752135920115,0,0,0,0,0,0.046947990689667,0.0303019910329261,0,-0.027612243119465,0.0207892449543978,0,0,0,0.0833894882419778,0,0,0,0,0.00108278584455424,0,0,0,0.0218900197554683,0,0,0,0.0221537800276722,0,0,0,0,0,0,0.0799691443003472,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.887931100124298,0,-0.0875644864693615,0,0,0,0,0,0,0,0,0,0.0538859572336821,0.0115951288463805,0,0,0.134034773890967,0,0,-0.0428387765284792,0,0,0,0,0.0548724551374394,0,0,0,0,0,0,0,0,0.0232470533817191,0,0,0,-0.0562622186419149,0,-0.108719162148264,0,0,0,0,0,0.00887330765440592,0,0
X601628.CH.EQUITY,0.0108843864771722,0,0,-3.46944695195361e-18,0,0,0,0,0,0.249153421147648,0,0.180304503886248,0,0,0,0,0,0,0,0.208150055421888,0,0,0,0,-2.77555756156289e-17,0,-0.0978648107355141,0,0,0,0,0,0,0,0,0,0,0.350042190927968,0,0,0,0,0,0,0,0.0255686289107019,0,0.271437996296616,0,0
X600036.CH.EQUITY,0,0,0,0.329163496492911,0,0,0.00603206604008775,-2.16840434497101e-19,0.036973361552812,0,0,0,0,0,0,0,0.172072675249187,0.0120390619606694,0,0.0250919164866267,0,0,0,0,0,0,0.0363600249880804,0,0.170487156939446,0,0.114704168298575,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0406049394984754,0,0,0,0.0420036201566513,0
X601988.CH.EQUITY,0,0,0,0.0626376695152833,-0.0156960150270222,0,0,0,-0.0379190210926256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071618371828706,0,0,0.0439445556044156,0,0,0,0,0,0,0,-0.0217058210587501,0,0,0,0,0,0,-0.0108809467109873,0,0,0,0,-0.134265034430649,0,0,0.961964859008698
X1299.HK.EQUITY,0,0,0,0,0.0910289913578426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277571898311893,0,-0.06758042213893,0,0,0,0.0790591998041277,0,0.0534815348443654,0,0,0.0015273841823084,0.347520041625904,0,0.131188391357038,0,0,0.00611182450923917,0,0,0,0,0,0,0,0,0.0738456911454527,0.00540495486119751,0
X5.HK.EQUITY,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.00986503996162976,0,0,0,0,-0.00625015810481558,-0.177507034747906,0,0,0,0,0,0,0,0.132905962440715,0.533307121198214,0,0,0,0,0,0,0,0,0,-0.16037776716295,0.118854180421246,0,0,-0.0675165165507887,0,0.0269630888625423,0.170138797702076,0,0,-0.170085365879285,0.0374562615783887,0
X388.HK.EQUITY,0,0,0,0,0.317171442006246,0,0,0.0249097609524509,0.117848278674498,0,0,0,0,0,0.0319549910042407,0.0307530039148723,0,-0.317747758009921,0,0,0,0.326429507879508,0,0,0.197952424620441,0,0,0,0.0393573775548348,0,0,0,0,0.101502194391803,0,0,0,0,0,0,0,0,0.136505807302862,0,0,0,0,0,-0.239371088180033,0
