,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X267.HK.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY
X601398.CH.EQUITY,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0.231581735859702,0,0,0,0,0,0,0,0,0,0,-0.269703678543768,0,0,0,0,0,0,0,0,0,0,-0.318027225145461,0,0,0,0,0.760436379528131,0,-0.180521810455134,0.267042854336949,0,-0.0507405492201721,0,-0.02260487664198,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.16202178319309,0,-2.77555756156289e-17,0.0263078679426908,0,0,0,0,0.0593370390327851,0,0,0,0.124456414689487,0,0,0,0,0,0.0338911794221483,0,0,0,0,0.0582773173853229,0,0,0,0,0,0,0,0.591691226537492,0.0220408261038089,0,0.0195229972925161,-0.0774956372780442,0,0,0,0,0,-0.0398080445345783,0
X601939.CH.EQUITY,0.283716223507615,0,0,0,0,0,0,0,0.0524580423941989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0398388126501345,0,0,0,0,0.117593024226457,0,0.0209548599414708,0,0,0,-0.0838021968651095,0,0,0,0.387066504229448,0,-0.0206602014643949,0,0,0.11099369541303,0,0,0,0,0
X601288.CH.EQUITY,0,0.00502717243705168,0,0,0,0.27672375703221,0,0,0.185271394020037,0.0457688961730857,0,0,0,0,0,0,0,0.0680024533690494,0,0,0,0,0,0,-0.0542480604937865,0,0,0.0967256362082952,0,0,0,0,0,0,-0.0956961376537981,0,0,0.157630210228671,0,0,0,0,0,0.106790678102059,0.0834230451522657,0,0,0.113379543735043,0
X5.HK.EQUITY,-0.145293299544403,0,0,0.0144172014163185,0,0,0,0,0,0,0.0749099174087483,0,0,0,0.307877592798145,0,0.200205354063566,0,0,0,0,0.281693254853794,0,0.283540427601855,0,-0.00493797845610893,0,0,0,-0.269531370255173,0,0,0,0,-0.0559851484439139,0,-0.107079190091307,0,0,0,0.311211059328749,-0.108085067102743,0,0,0,0,-0.0957130934493569,-0.166328685068327,0
X601988.CH.EQUITY,0.251531109980944,0,0,0.569195087103805,0,0,0,0,0,0,0.10199361021382,0,0.0996173069777476,0,-0.0459375666831991,0,0,0,0,0,0,0,0.00620050542405287,0.0583802382031711,0,0,0.0407813671530681,0,0,0,0,0,0,0,0,0,0,0,0.0265517937765236,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.386184696939283,0,0.0746059887655644,0,0,0,0,-0.0737245668086537,0.598941428110203,0,0.0115898095550698,0,0,0,0,0,0,0,0.107382458945107,0,0,0,0,0,0.027102276656886,0,0.0755163165263062,0,0.294302440751015,0,0,0,0,-0.291891879313622,0,0,0,-0.0609041284070152,0,0.17682425793548,0,0,0,0,0,0,0,-0.148906483910844
X1299.HK.EQUITY,0,0.211745387394418,0,0,0,0,0,0,0,0,-0.110253323922586,0,0,0,0.0332884103331351,0,0.258993635437579,0.0306314121471054,-0.147926720852705,0.132149922845754,0,0,-0.0625637720293407,-0.0307053402995529,0.461247046952986,0,-0.0796963115624235,0,0,0,0,0,0,0,0,0,0,0,0.046622564948028,-0.149782754415175,0,0,0,0,0,0,0.0189950447359864,0,0
X601628.CH.EQUITY,0,0.0903265494310826,0,0,0,0,0,0,0,0,0,0,0,0.330283024224023,0,0,0,0.0342337323307416,0.0091889652316159,0,0,0,0,0,0.095984769783986,0,0,0,0,-0.0542700272385851,0,0,0,0,0,0,0.0749562044368204,0.177685257707622,0,0,0,0,0,0,0,0,0,0,0.137447551378503
X601328.CH.EQUITY,0,0.293113388055797,0.119512540614264,0.382246205033683,0.0149030108474066,0,0.190721895312888,0,0,0,0,0,0,0,0,0,0,0.0655348442831521,0,0.0302305193185119,0,0,0,0,0,0,0.261438241004836,0,0,0,0,0,-0.32164307410408,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,-0.352406119743131
