,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY
X601398.CH.EQUITY,0,0.117160065687693,0,0.0514393066892529,0,0,0,-0.116730075663109,0,0,0,0.51295372095328,0,0,0,-0.0165956969191255,0,0,0,0,0,0,0,0,0,0,0,0,0.0184102507180381,0,0,0,0,0,0,0,0.0825588202805018,0,0,0,0,0,0.225257307293739,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.00570726795282035,0,0,0.12285138351724,0,0.2609695456169,0,0,-0.0329485017171,0.240361960981785,0,0,0,0,0,0,-0.148685298577951,0,0,0,0,0,0,0,0,0,0,0,0,0.162782820952877,0,0,0,0,-0.283432868087242,0,0.319982061570659,0.267963395326702,0.263141899074853,0,0,0,0,0,0
X601939.CH.EQUITY,0.328678605680804,0,0,0.330422417009208,0,0.103670576988704,0,-0.0624543607677429,0,0,0,0,0,0,0.110026562265678,0.0665547810944912,0,0,0,0,0,0.00491130977272638,0,0,0,0,0,0,0,0,0,-0.00900842894046815,0,0,0,0,-0.130901534300184,0,0,0.338099732929267,0,0,0,0.0177752947221268,0,0,-0.042497670860919,0,0,0
X601288.CH.EQUITY,0.368297258132889,0,0.118006900289559,0,0,0.227221525312786,0,0,0.110929418680431,0,0,0,0,0,0,0,0.0512355698862653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0864538152244166,0,0,0,0,0,0,0,0,0.173462223518535,0.056596305834434
X5.HK.EQUITY,0,0,0.0550820041511143,0.230764801584614,0,0.137070053720128,0,-0.402167811234543,0,0,0,0,0.0978806384900814,0,0,0,0,0,0,0,0.415382126029221,0,0,0,0,0.488806632690685,0,0,0,0,0,0,0,0.0975704802933886,0,0,0,0,0,0,0,0,0,0,-0.179338143030467,0,0.12255509069823,0,-0.00908718266078206,0
X601988.CH.EQUITY,0.281522433236809,0.0693609497393348,0.318540756568887,0,0,0,0,0,0.137919825515058,0,0,0.00626177005161367,0,-0.175075996769233,0,0,0,0,0,0,0,0,0.152568312993781,0,0,0,0,0.0238902416338191,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0801847767069397,0,0.154350198614098,0,0,0,0,-0.0183433767894962,0
X600036.CH.EQUITY,0,0,0,0,0.0971356016216467,0,0,0.245843629266213,-0.00772155946960699,-0.0377782859995409,0.015705607233112,0,0.280608953065259,0,0.258278715528805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0921794535897049,0,0,0.0897255531669319,0,0,0,0.134741600361341,0,0.0105196413149631,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0368132902994827,0,0,0,0.209815979412779,0,0,0,-0.179221073607088,0,0,0,0,0.366605635967839,0.177573529625161,-0.0502094709458375,0,0,0,0.104758051185172,0,0.0721028540544058,0,0,0,0,0,0,0,0,0,0.00101645556516537,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.315957944365052,0.208680255183056,0,0,0.102961948143003,0,0,0,0,0.0313221930725421,0,0,0,0,0,0,0,0.0845339694915061,0,0,-0.081477630881426,0,0.0250640396525571,0,0,0,0,0.211808367906273,0.0755577738205271,0,-0.316462827038275,0,0,0,0,0,-0.203142518859725,0,0,0,0,0,0.0210745402330604,0,-0.0593278740173281,0,0.00398447822141186,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0.0425386884300226,0,0,0,0,-0.202032184943561,-0.0215044571643137,0.0298063345367167,0,0,0,0,0,0,0.239801927283506,0,0,0,0,0,0.0556659812177883,0,0,0,0,0,0,0.297679239253613,0,0,0,-0.182338978652225,0,0,0,0,0,0,0,-0.179198331599426
