,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X300059.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X688.HK.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY
X601398.CH.EQUITY,0,0,0.278803732794358,0.02480405170377,0.0472219802225737,0,-0.0190418677176131,0.263505939599336,0,0,0.00226844761115445,0.0807720007129883,0,0,0,0,0,0,0,0,0,0,0,-0.0427272202198557,0.183773718374988,0,0,0,0.0536848780662583,0,0,0.0273977233453759,0,0,0,0.0297060679086782,0,0.113594285561944,0,0,0,0,0,0,0,0,0,0,-0.0239050578485816,0
X601318.CH.EQUITY,0,0,0.252570301636165,0,0,0,0,0,0.067581846872812,0,0.0648881309525167,0,0.00852057219545905,0,0.209605758192133,0,0,0,0,0,0,0.0826015607047172,0,0,0,0,0,0.129974221208628,0,0,0,0,0,0,0.00914719984437672,0,0,0,0,0,0,0,0,0,0.106143198146517,0,0,0.0356202516177673,0,0
X601939.CH.EQUITY,0.475638548227929,0.0481533060712229,0,0,0,0,0,0.251337741260455,0.224357495625776,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,-0.043777805197843,0,0,0,0,0,0.0667947510190526,0,0.263560010108835,0,-0.0611261791163295,0,0,0,0,0,0.0397561377016557,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.135893495504519,0,0,0,0,0.513017269119286,0,-0.0524320884882014,0,0.0142013426706438,0,0,0,0,0,0,0,0,0,0,0.142451628970792,0,0.00878966350169164,0,0,0.145430831372297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176220860744634
X600036.CH.EQUITY,0,0.00129762378615371,0,0,0,0.185728382905009,0,0,0.0643826005965722,-0.114936483948918,0,-0.0876774550452604,0.13595760156115,0,0,0.129298015446561,0,0.188394909143235,0,0,0,0,0,0,0,0.434365663968368,0,0.0464816112497468,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,-0.0701357814320313,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,-0.0863294698610296,0,0,0,0,0,0.185258842350663,0,-0.0530103444980075,0,0,0,0,0,0,0,0,0.0597815455525393,0,0.147894376405238,0,0,0,0,0,0,0,0,0,0,0,0,0.0995425552618233,0,0.147510350621704,0,0,0.134810245898463,0.108967486356843,0.0520672085422552,0,0,0,0,0,0.20937706451235,0
X601628.CH.EQUITY,0.0716355420956605,0,0,0,-0.0345544524052116,0,0,0,0,0,0,0,-0.00324253423533686,0,0,-0.172444544763465,0,0,0,0.314322671247245,0,0,0,0,0,0,-0.0807425145187488,0,-2.16840434497101e-19,0,0,0,0,-0.0951187319377533,0,0,0.622808006684399,0.0658817065780241,0,0,0,0,0,0,0,0,0,0,0,0.0291370391642941
X601988.CH.EQUITY,0,0,0.07486282922659,0.441767785166432,0,0,0,0,-0.0916641569224082,0,0,0,0,0,0,0,0.280063131979754,0,0,0,0,0,0,0,0.0835188155548609,0,0.0452652691550786,0,0,0,0,0,0,0,0,0,0,0.00190926476747777,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.221007460860326,0.134201495473077,0,0,0,0,0,0,-0.063604343841034,0,0,0,0,0,0,0,0,0,-0.0594892634540815,0,0,0.430079797437122,0.159489926297694,0,-0.0396860504477756,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000283280414639188,0,0,0.113699489487996,0,0,0,0,0.208212937935507,0,0
X388.HK.EQUITY,0,0,0,0,-0.290032997592611,0.262591532602485,-0.0306688282947709,0,0,0,0,0,0,0,0,0,0,0,0.272552058032727,0.314794591171471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0841096700248522,0,0,0.114044011479233,0,0,0,0,0,0,0.0428315046204016,0,0,0,0
