,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY
X601398.CH.EQUITY,0,0.221981441207849,0,0.226828946058978,0,0,0,0,0.0442881095408399,0.0756185123020375,0,0,0,0,0.0587134824820605,0,0,0,0,0,-0.0235357552101581,0,0,0,0,0,0,0,0,0,0.0881611129602931,0,0,0.0963370287127898,0,0,0,0,0,0,0.139905122947929,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.22683938373264,0,0,0.114209196856651,0.0163120324470633,0,0,0.109234030762046,0,0,0,0,0.0992006877624906,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,-0.105672456577103,0,0,0.121516350668979,0,0,0,0,0,-0.0559750176527189,0.18669218461011,-0.224797630056258,0.216524749229912,0.166462758511756,0,0,0,0,0.0914304274491703,0.0435888103112503
X601939.CH.EQUITY,0.223659417248807,0,0,0,0,0,0,0,0,0,0,0.0188936655406142,0.265845664649846,0,0,0,0,0,0,0,0,0,0,0,0,0.000951201380841678,0,0,0,0,0.0419063089299809,0,0.199352032833089,0,0,0,0,0,0,0,0,0.181283034361867,0,0,0,0.0410627818848129,0,0,0,0
X601288.CH.EQUITY,0.340134981623645,0,0.0932501480148086,0,0,0.229786395949549,0,0,0,0,0,0,0,0,0.0392517373200467,0,0,-3.46944695195361e-18,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193108202142425,0,0,0,0,0,0,0.104153747396109,0
X5.HK.EQUITY,0.157036118141119,0,0,0,0,0,0,-0.129855354131005,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0.421507226763758,0,0.172913511832436,0,0,0,0,-0.0220827091779425,0,0,0,0,0.458929095322871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.145956294031773,0,0
X601988.CH.EQUITY,0.104856879047682,0.181400379901957,0.234425148240995,0,0,0,0,0,0.0281539992964085,0,0,0,0,0,0,0,0,0,0.101757254777412,0,0,0,0.0687088812033723,0,0,0,0,0,0,0,0,0,0.198492107262962,0,0,0.0442991974398877,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.256353711719006,-0.0353979725703545,0.0105213222513083,0.0272691781827418,0,0.0802240137623148,0,0,0,0.505620177769077,0,0,0,0,0,0,0,0,0,0,0.0709026684218346,0,0,0.0633509873859349,0,0,0,0,0,0,0.00591888122022823,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,-0.0887758526867374,0.0293754382902091
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0735885245858011,0,0,0,0.412133319095164,0,0,0,0.115340932992212,0,0.0511019956474589,0,0,0,0,0,0,-0.033663355752941,0.397342634491001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.318925846257216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.125381389799145,0,0.0760140046819192,0,0.106755922953932,0,0,0,0,0,0.149865014048861,0.00366063887807583,0,0,0,0.066904034257751,0.141162684498906,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0390064108491775,0.0285359698671139
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0.235475574386446,-0.843676713752048,0,0.188479116170764,-0.320823864986257,0,0,0,0,0,0,0,1.21408150386939,0,0,0,0,0,0,0,0,0,0,0.0940915341803534,0,-0.060081546197345,0,0,0,0,-0.938339047727211,0,0,0,1.08919901329254,-0.185674816389939,0,0,0,0
X601166.CH.EQUITY,0,0,0,0.0001666037920501,0,0,0.289913961497882,0,0,0,0,0,0,0,0,0,0.173575541670773,0,0,0,0,0,0.0890537711855945,0,0.0354603575461207,0.122043563071362,0,0,0,0.271301389921656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.509820551476085,0,0,0,0,0,0,0,0,0,0.174780332736585,0,0.0978172041051905,0,0,0,0,0,0,0,0,0,0.0845689787929495,0,0,0,0,0,0,0.0160113340413389,0.0957287799181835,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0.0327818740623292,0,0,0,0,0,0,0.204651279577795,0,0,0,0,0.173611125355408,0,0,0,0,0,0,0,0.195516352910915,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0.27353153681307,0,0,0.125605641081137,0,0.0276107169329175,0
