,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X17.HK.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0.148906126146825,0,0,0,0,0,0,0.261686849746756,0.161504634946619,0,0,-0.217000882777173,0,0,0,0,0,0.274711255790495,0,0,0,0,0,0,0.247512423283122,0,0,0,0.109692143001344,0,0,0,0,0,0,0,0,0,0,0.134049597816244,0,0,-0.0592441043164034,0,-0.0795947482863827,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.144901093516497,0,0,0,0.25067819190726,0,-0.0636090587628164,0.146697311941652,0,0,0,0,0,0.0821286165720663,0,0,0,0,0,0,0,0,0,0,0.122326027796636,0,0,0,0,0,0,-0.251936074242494,0.307788628871449,0,0.121745366526107,0.0377072504066566,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.49924135300033,0,0,0,0,0.168660155638629,0,0,0,0,0,0,0.0338087965083157,0,0.0125942853482507,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367558770564743,0,-0.155848186454561,0.0833496926326119,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.448722081840575,0,0.16587633796292,0,0.158416315432744,0.058758308216564,0,0.0457540027385221,0,0,0,0,0,0.0191007026101647,0,0,0,0,0,0,0,0,0,0,0,0,0.0642950850348346,0,0,0,0,0,0,0.0382135168044038,0,0,0,0.108229301044202,0.160441512181865,0,0,0.0190664422115547,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.184582286927064,0,0.00792187135762512,0,0,0,0,-0.184329326722384,0,0.338852593831727,0,0,0.222486694961485,0,0,0,0.46964521566002,0,0,0,0,0,0,0,0,-0.16526511260521,0,0,0,0,0,0,0,-0.0878936836877769,0.0103794303265258,0.0215210431903322,0,0,0,0.276177537959486,0,0,0,0,0.0194496006653426,0,0,0,0
X601988.CH.EQUITY,0.0525992217166523,0,0.178580310533148,0.176357352567817,0.0188033877703264,0,0,0.0758924440015102,0,0.145221802952445,0.26898397106332,0,-0.044607732880983,-0.310771339371833,0,0,0,0,0,0,0.0390031801913221,0,0,0.00711709311820711,0,0,0.0386984677531567,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0511003549748578,0,0,0,0.152950563802212,0,0,0,0,0.0742991548482155
X600036.CH.EQUITY,0,0.328484719904142,0,0,0,0,0,0,0.0115205469785867,0,0,0.0924728141345663,0.301526053131193,0,0.0104754501512731,0,0,0,0,0,0,0,0,0.232610958614395,0,0,0,0,0,0,0,0.0646822125495466,0,0,0,0,0,0,0,0,0.0413147080477742,0,0,0,0,0,0.000750594830723317,0,0,0
X601628.CH.EQUITY,0,0.287233991119834,0,0.111742241574616,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12264247704478,0,0,0,0.0318220461209983,0,0,0,0,0.0689051377592913,0,0,0,0,0,0,0.203297852977777,0,0,0,0,0,0,0,0,0,0,0,0.245287808366039,0,-0.170066014929785,0.0775960342556438,0.20494544320701
X1299.HK.EQUITY,0,0,0,0,0,-0.0318255971829958,0.212596605850893,0,0,0.0608061344441033,0,-0.0380963797044638,-0.0856739264124289,0,0,0,0.349575686628956,0.23156678996811,0,0,0.108370875914091,0,0,0.058072107464736,0,0,0.144254045839462,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0545048634590005,0,0,-0.100935738273288,0,0,0,0,0,0
X601166.CH.EQUITY,0.227253618364411,0,0,0,0,0.156512494730738,0.159926687463068,0.0376614693559988,0,0,0,0,0.0186966095438566,0,0.3833300369879,0,0,0,0,0,0,0,0,0,0,-0.142417080128658,0,0,0,0,0,0.356920544299637,0,0.212444523690494,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0
