,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X600015.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.492802911021627,0.10264105224798,-6.93889390390723e-18,0,0.0416269176584166,0,0,0.0759128286668478,-0.112180133465229,0.0587598859182052,0,0,-0.0557377029544219,0,0,0,0,0,0.0634402944461058,0,0,-0.0114656414166728,0,0,0,0,0,0,0,0.0122760668687111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0766265656938484,0.0518794293672754,0
X601939.CH.EQUITY,0.417326682895333,0,0,0.207144052491267,0,0,0,0,0,0,0,0,0,0.176932598770134,-0.229989297651455,0,0,0,0,0,0,0,0,0,0,0.237583160457979,0,0,0,0,-0.00797006748284965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107089487928783,0,0.0219402344105688,0
X601318.CH.EQUITY,0,0,0,0,0.191122578211471,0.0799715478417202,0,0,0,0,0,0,0,0,0.108566044709252,0,0,0,0,0.230598606115513,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140337245677807,0,0,0,0,0.0977328949589409,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.297092957185322,0.0953311832069575,0,0,0.174371927602287,0,0,0,0,0,0,0,0,0.189415330162863,0,0,0,0,0,0,0.0452974763182386,0,0,0,0,0,0,0,0,0,0,0,0,0.121979923230013,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.379245670423571,0,0,0,0,0,0.333079404543468,0,0,0,0,0,0.211810410968309,0,0.137123198409909,0,0,0,0,0,0,0,0,0.0686304090778777,0,0,0,0,0,0,0,0,0,0,-0.505493946152624,0,0,0,0,0,0,0,0.011532733585653,0,0,0,0,0.310937424446256
X600036.CH.EQUITY,0,0.0319418151325974,0,0,0,0,0,0,0.0103270499797218,0,0,-0.0293245259936136,0.20386577165593,0,-0.00932205038956541,0,0,0.102370765171058,0,0.212058475016242,0,0,0,0.0744693627936892,0,0,0,0,0,0,0,0.335230510666116,0,0,0,0,0,0,0,0,0,0.0267304249348226,0,0.147311365855219,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20636369334395,0,0,0.386924802907594,0,0,0,0,0,0.0576601591135893,0,0,0,0,0,0.0496582911569139,0,0,0,0,0,0,0,0,0,0.140857736840867,0,0.0830757048356789,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0152455984733368,0,3.46944695195361e-18,-0.153515563774166,0,0,0,0,-0.450415386694195,0.636241903150197,0,0.0992009877085105,0,0.698759058369242,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,-0.106246863459029,0,0,0.327923740684949,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,-0.156803205115886,0,0,0,0,0,0,0,0.359352891584599,0,0,0,-1.73472347597681e-18,0,0.0557597486500876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289536296671969,0,0,0,0,0,0,0.184371570358555,0,0,0
X601658.CH.Equity,0,0,0,0,0.136053504181579,0,0,0,0,0,0,0,0,0,0,0,0,0.268258867933434,0,0,0,0.0280048695615253,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323453148493098,0,0.164186841098398,0,0,0,0,0,0,0,0,0,0,0,0,0
