,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X300059.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X601916.CH.Equity,X601881.CH.EQUITY,X600919.CH.EQUITY,X2884.TT.EQUITY,X601009.CH.EQUITY,X601901.CH.EQUITY,X2892.TT.EQUITY,X600958.CH.EQUITY
X601398.CH.EQUITY,0,0.138988673668159,0,0.0766341325824726,0,0,0,0,0,0,-0.0313024862716229,0.048661086903066,0.414337797780827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.0703032856690572,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0.140981178378814,0
X601318.CH.EQUITY,0,0,0,0,0,0.104486611999459,0,0,0.110528517209017,0,0,0,0,0,0,0,0,0,0,0,-0.0727751227976248,0,0,0,0,0,0.227503050220814,0,0,0.574153029300973,-0.257418780938039,0,0,0,0,0,0,-0.0628314401098373,0,0,0.240565728592116,0,-0.0409099293249941,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.723096609337471,0,0,0.135852852465302,0,0.0413362969002068,0,0,0,0,0,0,0.0638773229357995,0,0,0,0,0,0,0,0,0,0.0418148511257067,0,0,0,0,0,0.126237036737716,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.117431590707889,0,0,0,0,0,0.14485138568797,0
X601288.CH.EQUITY,0.307406243978555,0,0.203283908110305,0,0.00416158397088299,0.246517637188568,0,0,0,0,0.0115464396075811,0,0,0,0,0.044932470776284,0,0,0.0270713571625781,0,0,0,-0.0503676269906103,0,0.0929000110373243,0,-0.132227944317437,0,0,0,0.179529478041642,0,0,0,0,0,0.102103696584135,0,0,0,0,0,0,0,0,0,0,-0.105433467880521,0.0243475100509381,0
X5.HK.EQUITY,0,-0.00895011900060189,0.1149031242351,0.0717185406945394,0,0.224853361862404,0,-0.351704180295571,0,0,0,0,0.176315050481147,0,0,0,0,0,0.633200992630034,0,0,0.0796830492645827,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108645313530165,0,0,0,0,0,0,0,0,0,0.123908498922978,0.0729639740928576,0,0,0
X601988.CH.EQUITY,0.0703544715565558,0.0526533827962631,0.122033574585385,0.151239197335505,0,0,0,0,0.161264192205884,0,0,0.310602768327836,0,0,0,0,0,0,0.147424981108704,0,0,0,0,0,0,0,0,0,0.0524688732323834,0.0450004092281563,0,0,0,0.0873695687335516,0,0,0,0,0,0,0,0.0750104244390003,0,0,0,0.117044905637172,0,0,-0.181075297030995,0
X600036.CH.EQUITY,0,0,0,0,0,-0.0578817570958239,0,0.260694260526996,0,0,0,0.0274254027335671,0.306549320191402,0.196057788296792,0,0,0,0,0,0,0,0,0,0,0.0576428001811695,0,0.0989168169421009,0,3.46944695195361e-18,0,0,0.127503127265256,0,0,0,0,0,0,0,0,0,0,-0.0335220384676981,0.0316193138825666,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.105612569355607,0,0,0,0,0,0,0,0.0721009900632727,0.352446249963613,0,0,0.318525693505852,0,-8.67361737988404e-19,0,0.0058709003512606,0,-0.055447374499911,0.109353294778809,0,0,0,0,0,0,0,0,0,0,0.0498160641030182,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.296320281148323,0,0,0,-0.0283153531873122,0,0.0714901172519198,0,0,0,0,0,0,0,0.0494907756165704,0,0,-0.116344955929516,0,0,0,0,0,0,0,0,0,0,0,0,0.0698078521341855,0,0,0,0,0.0823702714097603,0,0,0,-0.0426545347459144,0,0,0,0,0.116789620354908,0,0.022827061967992,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,-0.261708464097823,0,0,0,-0.13666700729118,0,0,0,0.176088650387982,0,0,0,0,0,0,0,0,0,-0.248297893511809,0.0919555264135266,0,0,0,0.529954414357776,0,0,-0.263774242315965,-0.0148304485073202,0,0,-0.0113311759738338,0.495492973062407,0,0.0878239415726942,0,0.155296085302193,0.174554624710533,-0.0890711854267603,0
X601166.CH.EQUITY,0,0,0.00743587655655313,0,0,0,0.461717436320826,0,0,0,0,0,0,0,0,0,0,-0.0106764894062653,0,0,0,0,0.0783078249515426,0.102061225842858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105564052803808,0,0,0
X601328.CH.EQUITY,0,0,0.0671778749513501,0,0,3.46944695195361e-18,0.160547256034904,0,0,0,0,0,0.417550964814368,0,0,0,0,0,0,0,0.0679209055659949,0,0,0,0,0,0,0,0.0334227065110292,0,0,0,0,0,0.209711284340325,0,-0.0326071346316501,0,0,0,-0.118583005407592,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0.15241790213216,-1.73472347597681e-18,0,0,0,0.589156866203405,0,0.169685668976318,0,-0.0583472713101982,0,0,0,0,0,0,0,0.011060010231546,0.0539280207742036,0,0,0,0,0,0,0,0,0,0,0.0540249936625045,0,0,0,0,0.188291162495953,0,0,0,0,0.0535364893801007,0,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0.29324164819324,0,0,0,0,0,0,0,0,0.0551016226290754,0.0788526817762645,0,-0.026680198443678,0,0,0,0,0.0992446941190108,0,-0.16249508255234,0.275930606326432,0,0,0,0,-0.0244857723388549,0,0,0,0.285144566910028,0,0,0,0,0,0,0,0,0,-0.176795512769448,0.258975235244333,0,0,0
X601601.CH.EQUITY,0,0,0,0.0651984201488851,0,0,0,0.194613682711091,0.101667432119506,-0.104095231878601,0.129103259933277,0,0,0,0,0,0,0,0,0,0,0,0.315589740412258,0,0,0,0,0,0,0,0.0905058484175253,0,0.134111474129329,0,0,0,0,0.187427219480717,0,0,0,0.0462302821137202,0,0,0,0,0,0,0.00189662121041333,0
X388.HK.EQUITY,0,0,0,0.0573898838540774,0,0,0,0.118227298104214,0.0263518750972676,0,0,0,0,0.0735079189663759,0,0,-0.00405947434547914,0,0,-0.103537773934408,0,0.566337969126632,0,0,0,0,0,0,0,0,0,0.00194556711840021,0,0,0,0,0,0,0,0.0148462207672169,0.0162586093736,0,0,0,0,0,0,0.0756997792234563,0,0
X601319.CH.EQUITY,0,0,0.0740957181420923,0,0,0,0,0,0,0,0,0,0,0.293252127670168,0,-0.00965781584491711,0,0,0,0,0,0,0,-0.088625748217382,0,0,-0.224419979002063,0,0,0.403415900702594,0,0,0,-6.93889390390723e-18,0,0,0,0.117478162425097,0,0,-8.67361737988404e-19,-0.0790398382917426,0,0,0.135073033181671,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0.00845455779736019,0,0,0,0.010131982749149,0,0,0,0.0200640988846261,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0379510980559876,0,0,0,0,0,0,0.0946368164487845,0,0,0.291583924194091,0.0775804628915068,0,0,0,0,0,0,0,0,0.0130143751613688,0
