,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X2882.TT.EQUITY,X601229.CH.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X601881.CH.EQUITY,X601169.CH.EQUITY,X601788.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,X601696.CH.Equity,X601916.CH.Equity,X2884.TT.EQUITY,X601236.CH.EQUITY,X601009.CH.EQUITY
X601398.CH.EQUITY,0,0,0.0885301937338569,0.0462944376313726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149606931054499,0.498804485354134,0,0,0,0,0,0.186659060968823,-0.288122764078727,0,0,0,0,0,0,0,0,0,0,0,0,-0.174221816576922,0.0781199071269273,0,0,0,0,0.0713953951260493,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.217052377827851,0,0,0,0,0,0,0.0238566536934814,0,0,0,0,0.253494040245064,0,0,0,0,0,0.0938871818708394,0,0,0,0,0,0,0.323202456719515,0,0,0,0,0,0,0,0,0.160326725672831,0,0,0,0,0.0144124979716404,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.697667128273278,0,0.00338380075888647,0.0677182192508791,0,0,0,0,0,0,0,0,0.0176237668867929,0,0,0,0,0,0,0,0,0,0,0,0.0371545998819471,0,0,0,0.0276250651576079,0,0,0,0.0364924392448597,0,0,0.0293489660798274,0,0,0,0,0,0,0,0.139328059242884,0,0,0
X601288.CH.EQUITY,0.0634824554620397,0,0.743423211730738,0,-0.0280110675823874,0.159656782550631,0,0,0,0,0,0,0,0.0375604706236791,0,0,0,0,0,0,0,0,0,0,0,0.0430369171896273,0,0,0,0,0,0,0,0,0,0,0,0,-0.0339521946031656,0,0,-0.0514125309772896,0,0,0,-0.119853067123051,0.140876396915834,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0.00533560859858666,0,0,0,0.74214346994096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01735062503503,-0.165389037794774,0,0,0.30970084791499,0,0.0655000248411216,0,0,0,0,0.0740103499828498,0,0,0,-0.0325489469626787,0,0.0758574535586114,0.0808858638398667,0,-0.0442627840446053,0,-0.0961947599154787
X601988.CH.EQUITY,0,0,0,0.0789773274400699,-0.0284247042711153,0,0.0796536265940149,0,0,0,0,-0.162605429636991,0.0528898758240743,0,0,0,0,0,0,0,0,0,0,0,-0.0305117222640835,0,0,0,0,0,0,0,0,0,0.0510659591303167,0,0,-0.106255818262649,0,0.145381178284499,0.886777995114214,0,0,-0.0520308467245205,0,0,0,-0.0503701563556136,0.102824204956876,0
X600036.CH.EQUITY,0,0,0.404623878201427,0,0.0055145165746028,0,0,0,0.00630959513643408,0,0,0,0,0,2.16840434497101e-19,0.151197305593506,0,0,0,0,0,0,0,0.180768874928256,0,0,0,0.214631790246275,0,0,0,0.0711408223262943,0,-0.0213826832913047,0,0.0441349857253096,0,0,0,0,0,0,0,0,0,0,-0.0454179432765408,0,0,0
X1299.HK.EQUITY,0,0.283902575424192,0,0,0,0,0,0,0.175745697539717,0.248510084433988,0,0,0,0,0,0,0,0,0,0,0,-0.0732232223005782,0.072503880193509,0.326586835032459,0,0,0,0,0,0,0,0,-0.16833212600231,0,0,-0.0160000013825491,0,0,0.0595443840290575,0,-0.0567912007440779,0.0399149177488432,0.276642648559386,0,-0.107225077481646,0.34537623467334,0,0,-0.0889636788388369,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.106062237123283,0,0,0,0,0.597855891046921,0.117497641571552,0.109017942929183,0,0,0,0,0,-0.00171706128120623,0,0,-0.229894321628926,0,0.161223401397623,0,0,0,0,0,0,0,0,0.117992365139906,0,-0.0142074777254613,0,0,-0.208042343957428
X388.HK.EQUITY,0,0,0,0,0.271409428308614,0,0,0,0.357718154325272,0,0,0,0,0,0,0,0,-0.11301172212398,0.0353612853668009,0,0.0299970315087645,0,0,0,0.172344465751414,-0.0810669430974881,0,0,-1.73472347597681e-18,0,0,0.130612215064165,0,0.166892384881201,0,0,0,0,0,0,0,0,-0.299520222480248,0,0,0,0,0,0,-0.115204931159026
