,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,X601916.CH.Equity,X2891.TT.EQUITY,X601881.CH.EQUITY,X601236.CH.EQUITY,X2884.TT.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601696.CH.Equity,X600958.CH.EQUITY
X601398.CH.EQUITY,0,0.146463703016396,0,0.0494675803233736,0,0,0,0,0.31488182917877,0.0399391783217376,6.93889390390723e-18,0,0,0,0,0,0.192369207448379,0,-0.00908519586602289,0,0,0,0,0,0.200077439400811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.387080080948315,0,0,-3.46944695195361e-18,0.0534629787574815,0,-0.100602507939247,0,0,0.0291987110262752,0,0,0.473093172730909,0,0,0,0,0,0,0,0,0,-0.0253730421455574,-0.0278867302638769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0838449078282346,0,0,0.0151210967797659,0,0,0,0,0.0327450282692285,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.0274849068220407,0,0,0,0,0,0,0,0,0,0,0,0,0.142952324161493,0,0,0,0,0,0.185521039257514,0.146517745601892,0,0,0.0809315770507097,0,0,0,0,0,0,0,0.231233254043549,0,0
X601288.CH.EQUITY,0.381091816725378,0,0,0,0.347265184345032,0,0,0,0,0,0.0747624181854734,0,0,0.0500823753468001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.087906852174693,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.31917312953347,0,0,0,0,0,0,0.323470057797295,0,0,0,0,0,0.104642636056468,0,0,0,0,0,0,0.0122475014044775,0,0,0,0.0882186011149863,0,0,0.0743651493649639,0,0,0,0,0,0,0,0,0,0,0,0,0.0282642884560661,0,0,0,0.0942658699863746,0,0
X600036.CH.EQUITY,0,0,0.0584401378334012,0,0,0,0.0632127651726689,0,0,0.0289565903313754,0,0.383902124056371,0,0,0,0,0,0,0,0,0,0,0,0.177014534660434,0,0.0198396585606913,0,0,0,0,0.00195369551866571,0,0,0,0,0,0,0,0,0,0.164087135318794,0,0,0.0436072172060271,0,0.107384204866554,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.370045167424989,0,0,0,0,0,0,0,0,0.325256775808611,0,0,0,0,0.28827445422144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0703155231659994,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.338976244140172,0,0.867828268120143,0,-0.667282682217091,0,0.71618143255906,0,0,0,0,0,0,0,0,0.175287452604005,0,0,0,0,0,0,0,0,0.0140699521712866,0,0,0,0.331294901464289,0,0,0,-0.283124070527304,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0647044686386424,0.263995105933254,0,0.0778444532276238,0,0.222913157875994,0,0,0,0,0,0,0,0.137153223423609,0,0,0,0,0,0,0,0,0,0,0,0,0.0764189173996612,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167161766060042,0,0,0,0,0.46101307674872,0,0,0,0,0,0.217141688035558,0,0,0,0,0,0,0,0,0,0,0,0,0.230971681859324,0.402688914877574,-0.578678188700676,0,0,0,0.0192743371664036,0
