,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.144706412303085,0,0.214429274266988,0,0,0,0,0,0,0.23040331017188,-0.138704736297462,0,0,0,0,0,0,0,-0.049398579052981,0,0,0,0.228075886161792,0,0,0,0,0,0,0,0,0.0908479718172734,0,0,-0.197509477568298,0.108641114310543,0,0.0178822859768149,0.290029652254821,0,0,0,-0.113948966576669,-0.136557255480364,0,0,-0.179054476792607
X002142.CH.EQUITY,0.226912078616995,0,0,0,0,0,0,0.0351677556461324,0.122879102052636,0,0.0181594903607163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0301398440320236,0,0,0,0,0,0,0,0,-0.00874716260623412,0,0.270656151053042,0,0,0.011787495527416,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0.281963559818936,0.139436702427928,0.113446687708879,0,0.0484881571005592,0,0,0,0.191771489614309,0,0,0.00324133553393581,0.0215965799941453,0.0301214063338783,0,0,0.0147404441056586,0,0,0,0,0,0,0,-0.180771679116215,0,0,0,0,0,0,0,0,0,0.197767396890255,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0.0752609399013896,0,0,0,0,0.401740221670988,0.118475538284341,0,0.0193080996600285,0,0,0,0,0,0.121970149240785,0.025534119152747,0,0,0,0,0,0,0,0,0,0.0346931343278965,0,0,4.33680868994202e-19,0,0,0,0,0,0.0195920871871033,0,0,0,0,0.0154888652618638,0,0,0,0
X600016.CH.EQUITY,0,0.0456108424699863,0.0584827618011576,0.366244224495078,0,0,0,0,0,0,0.0982503210558478,0,0,0,0,0,0.22017855335369,0,0,0,0,0,0,0,0,0.0872379663734324,0,0,0,0,0,0.0497360477970222,0,0,0,0,0,0,0,0.0820983000133172,0.0941271837696811,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.132777505575821,0.0478893034753742,0,0,0,0.0404821692344498,0,0,0,0,0,0,0,0,0,0,0,0,0.0604022898814413,0.036685134683065,0,0.0170243280335427,0,0,0,0,0,0,0,0,0,0,-0.146329552491855,0,0.0344649775877933,0,0.0700284913689265,0.495351547368923,0,0.15272944287974,0,0,0,0,0.0593880089716898,0,0.118301572538026
X600919.CH.EQUITY,0,0,0,0,0.068867725660905,0,0,0,0,0.287722191999138,0,0,0,0.126120966933994,0,0,0.383109741775001,0,-0.0737304191364647,0,0,0.0386946554596928,0,0,0,0,0,0.110520336050784,0,0,0,0,0,0,0,0,0,-0.0153213570820452,0,0,-0.166651015356167,0,0,0,0,0,0,0
X601009.CH.EQUITY,0.602930907468692,0,0,0,0,0,0,0,0.0452327845300362,0,0,-3.46944695195361e-18,0,0.118680440723566,0.154101812965335,-1.73472347597681e-18,0,0,0,0,0,-0.201195029236764,0.105647010101376,0.0594612453160105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0520737044473721,0,0,0,0.138121752739814,0,0,0
X601166.CH.EQUITY,0,0.442795184813762,0,0,0,0,0,0,0,-0.0537404676325003,0,0,0,0,0,0,0.261848041860636,0,0,0,0,0,0,0,0.0506432294363193,0,-0.166916099594966,0,0,0,0,0,0,0.378841666828343,0,0,0,0,0,0,0,0.320682415399227,0.0216754840212579,0,-0.0428992247609839,-0.113760231960132,0,0
X601169.CH.EQUITY,0,0,0.169173083135305,0.565972634821385,0,0,0,0,0,0,0,0,0.213785611133183,-0.0285949167862948,0,0,0.20128308041534,0.0329372551129066,0,0,0.037838175497187,0,0.140665670307803,0,0,0,0,0,0,0,0,0,0,-0.0376747209022072,0,0,0,0,0,0.0274983873009229,0,0,-0.157532871279342,0,0,0,0.0901057824432899,0
