,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X601066.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.168726121239614,0,0,0.0834152581880354,0,0,0,0,0,0,0,0,0,0,0,-0.0128624581674074,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.0830890328965353,-3.46944695195361e-18,0,0.115783537835883,0,0,0,0,0.412435622368605,0,0,0,0,0,0,0,0,0,0,0.135714135604529,-0.0885343706192111,0,0,0,0,-0.0863635350195676
X601939.CH.EQUITY,0.199890779163128,0,0,0.356620219764085,0,0,0,0,0,0,0,0.0640591994213087,0,0.183755515868431,0,0,0,-0.11758487804029,0,0,0,0.0562424416254203,0,0,0,0.207471641898516,0,0,0,0,-0.113438119446369,0,0,0,0,0,0,0,0,0,0,0,0,-0.0152149958105211,0,0,0,3.46944695195361e-18,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.286642364673909,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.0501755964319226,0,0.0471959156875145,0,0,0,0,0,0.107928791770413,0,0,0,0.075789047507011,0,0,0.0899353837398105,0,0,0,0,0,0,0,0,0,0,0,0.118454292448483,0,0,0,0,0.138307662593622,0,0,0,0,0
X601288.CH.EQUITY,0,0.632057990968986,0,0,0.160276792948935,0,0,0,0,0,0.0134900601381689,0,0,0.016626032161166,0,0,0,0,0,0,0,0.122982786093806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0113471025032119,0,0,0,0,0,-0.0428093266953406,0,0
X601988.CH.EQUITY,0.135839404899842,0.11600533086535,0,0.211658011126469,0,0,0,0,0,0.311253690343313,0,0,0,0,0,0.220590579133543,0,0.129297006991799,0,0,0.0570658334168749,0,0,0,0,0,0,0.138009186857869,0,0,0,0,0,0,0,0,0,0,-0.58441507858116,0,0,0,0,0,0,0,0,0,0,0.0553022016188039,0,0
X600036.CH.EQUITY,0,0.205892664023851,0,0,0,0,3.46944695195361e-18,0,0.154242617632564,0,0,0,0.137552087591977,0,0,0,0,0,0,0,0,0,0.0854998469272316,0,0,0,0,0,0,0,0,-0.012451820213269,0.0038240899677343,0,0.30607842746272,0,0,0,0,0,0.0582564661438398,0,0,0,0,0,0.0189574639616928,0,0.0658906398701783,-0.0209654521572431,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.051452495322614,0,0,0,0,0,0.168917904824946,0,0.0290203606694066,0.0583424943661151,0,0.29316854585601,0,0,0,0,0,0,0,0.03362605205014,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.332588727741937,0,0,0,0,0.000416622219335538,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.131945833566393,0,-0.137287193629815,0,0,0,-0.00960429052742347,0,0,-0.39282724577844,0.794277669733181,0,0.577407973778385,0,0,0.188426911731799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110724099095874,0,0,0,0,0
X601628.CH.EQUITY,0,0,0.0625176089407197,0,0,0.227949771560352,0,0,0,0,-0.189824848400165,0,0,0,0,0,0,0,0,0,0,0,0.0750211031730728,0.170282920837682,-6.93889390390723e-18,0,0,0,0.211082262379048,0,0,0,0,0,0,0.0866535074220056,0,0,0,0,0,0.159251667219294,0,0,0,-0.0295974607120209,0,0,0,0,0.108744296775343,0
X601658.CH.Equity,0,0.0718942141835647,0,0.100884728705061,0.0396000813031444,0,0,0,0,0,-0.0322247996355748,0,0,0,0,0,0,0,0,0.267333257794253,0.1885842533717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289451614168977,0,0.0959398949740852,0,-0.134107604855698,0,0,-0.079134818131077,0,0,0,0,0,0,0,0
