,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.123485073317026,4.33680868994202e-19,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,-0.158731190137905,0.0326955431163181,0,0.629638239279377,-0.268752985820998,0.515142657557096,0,0,0.0352722507805631,-0.136862486456184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0620645562837476
X601318.CH.EQUITY,0,0,0,0,0,0.208955511038676,0,0,0,-0.0759038539239465,0,0,-4.33680868994202e-19,0.126902575572566,0,0,0,0.0385357920122168,0,0,0.0176959669682996,0,0,0,0,0,0,0,0,0,0.155551750953782,0,0,0,0,0.253735912050704,0,0.104257615341329,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0207295619180678
X601939.CH.EQUITY,0,0.0477500441045809,0,0.795751693836979,0,0,0,0,0,0.046945938503873,0.0303002070611321,0,-0.0276101142725464,0.0207886164657709,0,0,0,0.0833890736112689,0,0,0,0,0.00108239303047914,0,0,0,0.0218913940972488,0,0,0,0.0221543097450942,0,0,0,0,0,0,0.0799636720411241,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.974274370830765,0,-0.0182734417031179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0678210936731118,0,0,0,0,0,0,0,0,0.0189167911021807,0,0,0,-0.0411045936488786,0.0122301893476306,-0.0598183227407547,0,0,0,0,0,0,0,0,-0.0964389968040433,-0.0372410326328492
X601628.CH.EQUITY,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.274797441037134,0,0.0854603644757801,0,0,0,0,0,0,0,0.429758695655708,0,0,0,0,-2.77555756156289e-17,0,-0.0557780891152337,0,0,0,0,0,0,0,0,0.101626462823559,0,0.00944261817303204,0,0,0,0,0,0,0,0.113064427808562,0,0.205634165498448,0,0,0,0.0376908713083765
X600036.CH.EQUITY,0,0,0,0.329163496492911,0,0,0.00603206604008775,-2.16840434497101e-19,0.036973361552812,0,0,0,0,0,0,0,0.172072675249187,0.0120390619606694,0,0.0250919164866267,0,0,0,0,0,0,0.0363600249880804,0,0.170487156939446,0,0.114704168298575,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0406049394984754,0,0,0,0.0420036201566513,0,0,0
X601988.CH.EQUITY,0,0,0,0.06264478006096,-0.0157040600364262,0,0,0,-0.0379150830386456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0716073514882239,0,0,0.0439413115267922,0,0,0,0,0,0,0,-0.0217132612688841,0,0,0,0,0,0,-0.0108806532174211,0,0,0,0,-0.134264758016296,0,0,0.961974555966062,0,0
X1299.HK.EQUITY,0,0,0,0,0.0876010692089285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277787402305929,0,-0.0648816208841411,0,0,0,0.0823351701131374,0,0.0481384739773866,0,0,0.00787057306681686,0.351480523951592,0,0.130946993332562,0,0,0,0,0,0,0,0,0,0,0,0.069742913051487,0.00317623778195866,0,0,-0.00398891714437028
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.200891845527059,0,0,0,0,0,-0.0570732694519396,0,0.215998215244268,0.486262868528444,0,0,0,0,0,0,0,0,0,-0.0470525320845378,0.0475113163816357,0,0,0,0,0.0344743599108589,0.0592349930574674,0,0,-0.0938320767673175,0.0490617536337189,0,0.104228432991764,0
X388.HK.EQUITY,0,0,0,0,0.253814097476641,0,0,0.062836654494247,0.113946870072689,0,0,0,0,0,0,0.0364537020434667,0,-0.215413860546305,0,0,0,0.328536542818635,0,0,0.199895681437782,0,0,0,0.0291318570288172,0,0.043902339587577,0,0,0.034643870361546,0,0,0,0,0,0,0,0,0.10668966679532,0,0,0,0,0,-0.267538177299751,0,0,0.136096488689076
