,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X300059.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X688.HK.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.278808356583422,0.0248010022941128,0.0472264658361791,0,-0.0190405259102731,0.263499619990486,0,0,0.0022635692267364,0.0807773192887104,0,0,0,0,0,0,0,0,0,0,0,-0.0427288898285234,0.183777342738143,0,0,0,0.0536830420296826,-3.46944695195361e-18,0,0.0273964138778231,0,0,0,0.0297053998860576,0,0.113597864598514,0,0,0,0,0,0,0,0,0,0,-0.0239067718473156,0,0,0
X601318.CH.EQUITY,0,0,0.252570301636165,0,0,0,0,0,0.067581846872812,0,0.0648881309525167,0,0.00852057219545905,0,0.209605758192133,0,0,0,0,0,0,0.0826015607047172,0,0,0,0,0,0.129974221208628,0,0,0,0,0,0,0.00914719984437672,0,0,0,0,0,0,0,0,0,0.106143198146517,0,0,0.0356202516177673,0,0,0,0
X601939.CH.EQUITY,0.362946494028497,0.271705878040054,0,0,0,0,0,0.409529497832053,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,-0.0558017481959072,0,0,0,0,0,0.0311228562703894,0,0.0289626503304054,0,-0.0228438352553898,0,0,0,0,0,0.061260045832617,0,0,0,0,0,0.08398985520588,0,0,0,0,0,0,0,0,0.16743479194628,0
X601288.CH.EQUITY,0,0,0.128159673829285,0,0,0,0,0.464130520365406,0,-0.0484470249591351,0,0.0416220357811005,0,0,0,0,0,0,0,0,0,0,0.143050800461601,0,0.0442162578921267,0,0,0.145620353483775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136232893159895,0.0219069836054285,0
X600036.CH.EQUITY,0,0,0,0,0,0.156644840872931,0,0,0,-0.109979733642151,0,0,0.0780369789344197,0,0,0.0253986998348751,0,0.136837002437372,0,0,0,0,0,0,0,0.464882941743951,0,0.13713007306614,0,0,0,0,0,0,0,0,0,0,0,-0.0580775663888971,0,0,0,0,0,0,0,0,0,0,-0.0907045049169159,0
X1299.HK.EQUITY,0,0,0,-0.0863295806708915,0,0,0,0,0,0.18526654783234,0,-0.0530068530031758,0,0,0,0,0,0,0,0,0.0597905439323123,0,0.147892542309708,0,0,0,0,0,0,0,0,0,0,0,0,0.0995445287743658,0,0.147515911988556,0,0,0.134810338336892,0.108962721005649,0.0520596733538167,0,0,0,0,0,0.209367321730525,0,0,0
X601628.CH.EQUITY,0.081123885369647,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,-0.00515689252767759,0,0,-0.18147666912294,0,0,0,0.258296627214705,0,0,0,0,0,0,-0.113202545903533,0,0,0,0,0,0,0,0,0,0.610400510232702,0.044557575330839,0,0,0,0,0,0,0,0,0,0,0,0,0.00471508321599605,-0.0507491414181953
X601988.CH.EQUITY,0,0,0.0748753016438883,0.441752894617481,0,0,0,0,-0.0916626250921715,0,0,-1.73472347597681e-18,0,0,0,0,0.280044754501132,0,0,0,0,0,0,0,0.0835266176845293,0,0.0452653328359525,0,0,0,0,0,0,0,0,0,0,0.00191358551084631,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.221010003005603,0.13420164936246,0,0,0,0,0,0,-0.063615982056589,0,0,0,0,0,0,0,0,0,-0.05948728813706,0,0,0.430079285658088,0.159486290009466,0,-0.0396833415435027,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00029058406660915,0,0,0.113687227982681,0,0,0,0,0.208199828007127,0,0,0,0
X388.HK.EQUITY,0,0,0,0,-0.188114398979532,0.403034191131709,0,0,-0.143848537028717,0,0,-0.00454377867781139,0,0,-0.0490279086452948,0,0,0,0,0.391152838472443,-0.165435568430713,0,0,0,0,0,0,0,0,0,0,0.181380501939366,0,0,0,-0.0677288108472008,0,0,0.0620478721406681,0,0,0,0,0,0,0,0,0.0183111858276864,0,0,0.179745203426778,0
