,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X17.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0,0,0.0856651512948391,0.0288216881233957,0.341660742560841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0772310517815497,0.0323311982815546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109984075995873,0,0.0493811716424091,0,0,0,0,0,0,0.0283861902342837,0.0106094089001308,0,0,0,0
X002142.CH.EQUITY,0.48289269158254,0,0,2.77555756156289e-17,0,0,0,0,0.0829848321264152,0,0,0,0,0,1.73472347597681e-18,0,-0.0794000785666975,0,0,0,0,0,0,0.146027711527912,0,0,0,0.124113909461539,0,0,0.104841200485213,0.00943861028611427,0,0,0,0,0,0,0,0,0,0,0.12816447459839,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0.109021737233974,0.227299857071426,0,0.0709841812141933,0.0696531630789909,0,0.00522644930225431,0,0,0,0.0443378463271891,0,0,0,0.0220517627813915,0,0.138697799267391,0,0,0,0,0,0,0,0,0.0273158831600301,0,0.102900191025174,0,0,0.0616576384495384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0.449138199124449,0,0,0,0.224982837541102,0,0,0,0,0.0343058496162595,0,0.176041637836551,0,0,0,0,0,0,0.0384246597430352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0295847118684173,0,0,0,0,0,0,0,0.0798069086395768,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0.390512144236372,0,0,0.244851212437561,0,0.0708281569778116,0,0.114550380169802,0,0.00924589141521038,0,0.0390621010517984,0,0,0,0,0,0,0,0,-0.0535009802380802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04652752686809,0,0,0,0
X600036.CH.EQUITY,0.413845560618608,0.0460826064792712,0.235357116389514,0,0,0,0.0671835429207528,0,0,0,0,0,0.073478984916649,0,0,0,0,0,0,0,0,-0.0439426800805504,0,-0.00293961406548782,0,0,0,0,0.023493809731066,0,0,0,0,0,0.0364927997917307,0.047581389913478,0,0,0,0,0,0.138442929277713,-0.056878123414259,0,0,0,0,0,-0.00291893275846478,0,0
X601166.CH.EQUITY,0.160322449739093,0.135242987658323,0,0,0.0516991943040153,0.11431976738966,0,0,0,0,0,0.0254404766665356,0,0.0690417667336776,0.176744670583234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108621107838981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0573045505214885,0
X601169.CH.EQUITY,0,0,0,0.0355254785770073,0,0.114531275188835,0,0,0,0,0.00298917803845372,0,0,0,0.233249330211291,0.0282648106616786,0,0,0,0,0.241385225930426,0,0.0945842279215256,0,0,0,0,0,0.0719837134648938,0,0,0.0348091581468941,0,0,0.0304417847257174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0,0.34153462528182,0,0,0,0,0,0,0.0407367604953165,0,0.163082760660667,0,0,0,0,0.103053635911244,0,0.20460129162449,0,0,0,0,0,-0.0804457230084373,0.0573870755395348,0,0,0,0,0,0.0293055392423939,0,0,0,0,0.0921349307417587,0,0,0.00152595045101916,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.0561344895577361,0,0,0,0,0,0,0,0,0,0.228756859320328,0.392173834038092,0,0,0,0,0,0,0,0,0,0,0,-0.0269114995496763,0,0,0,0,0,0,0,0,0.114902589266295,0,0,0,0,0,0,0.052851899559769,0,0.0935152703509473,0,0,0,0.0443425677346765,0,0,0,0,-0.0193060876203498
X601328.CH.EQUITY,0,0,0.0342158923481397,0,0,0,0,0.351966463644251,0.0962940589570721,0.0542209134004185,0,0,0.0175687266159102,0,0,0.123281428932961,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.176956976884075,0,0,0,0,0,0,0,0.113806207757523,0.00108580417297153,0,0,0,0,0,-0.00979716750895535,0,0.0484003635574031,0,0,0,-0.0238396338730334
X601398.CH.EQUITY,0.114215957283737,0,0,0,0,0.0344231897660372,0,0,0,0.0440845071534189,0,0,0,0.53538068354236,0.000355993275403476,0,0.037015054475808,0,0.0310861439374993,0,0,0,0,0,0,0,0,0,0.0740099212231491,0,0,0,0.02487245641336,0,0,0,0,0.0143258278665383,0,0,0,0,0,0,0,0,0,0,0,0,0
X601818.CH.EQUITY,0,0,0,0,0.225380039030971,0.160716271740623,0,1.73472347597681e-18,0.125411001184073,0,-1.38777878078145e-17,0,0,0.127610776710625,0,0,0,0,-0.0667338248680453,0,0,0,0,-0.0100638587462,0,0,0,0,-0.00684784206374123,0,0,0.00409641483356741,0,0,0,0,0.0563078413046709,0.13675279364646,0,0.104746679039202,0,0,0,0,0,0.137922429294231,0,0,-0.0223567440257106,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0.135748010426135,0.00467482118149207,0,0.182502709116038,0.0170177437664912,0.465000086235594,0,0,0.113882409364454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.00180518789983223,0,0,0,0,0,0,0
