,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.222004637108073,0,0.226833867854128,0,0,0,0,0.0442852761637164,0.0756141334782819,0,0,6.93889390390723e-18,0,0.0587106618289571,0,0,0,0,0,-0.0235363028699488,0,0,0,0,0,0,0,0,0,0.0881635503752851,0,0,0.0963193775343674,0,0,0,0,0,0,0.139895749445884,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.22683938373264,0,0,0.114209196856651,0.0163120324470633,0,0,0.109234030762046,0,0,0,0,0.0992006877624906,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,-0.105672456577103,0,0,0.121516350668979,0,0,0,0,0,-0.0559750176527189,0.18669218461011,-0.224797630056258,0.216524749229912,0.166462758511756,0,0,0,0,0.0914304274491703,0.0435888103112503,0
X601939.CH.EQUITY,0.223662479325287,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0.0188936862425244,0.265842764303506,0,0,0,0,0,0,0,0,0,0,0,0,0.000953595559949165,0,0,0,0,0.0419056608947071,0,0.199352221175911,0,0,0,0,0,0,0,0,0.181280759180954,0,0,0,0.0410637917504803,0,0,0,0,0
X601288.CH.EQUITY,0.340145881842744,0,0.0932179143496452,0,0,0.229799915376727,0,0,0,0,0,3.46944695195361e-18,0,0,0.0392576234468584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193109711194178,0,0,-6.93889390390723e-18,0,0,0,0.104156650143481,0,0
X5.HK.EQUITY,0.0261706791310573,0,0,0,0,0,0,-0.0464856585181074,0,0,0,0,1.38777878078145e-17,0,0,6.93889390390723e-18,0,0,0.387013257935001,0,0.130471370382759,0,0,0,0,-0.087885636206795,0,0,0,0,0.581029102440558,0,0,0,0,0,0,0,0,0.0582493239493606,0,0,0,0,0,0,0,-0.172478946712688,0,0,-0.0306463293142181
X601988.CH.EQUITY,0.104870980323486,0.18140652767272,0.234461899211001,0,0,0,0,0,0.0281721173319451,0,0,0,0,0,0,0,0,0,0.101741227584921,0,0,0,0.0686410069734236,0,0,0,0,0,0,0,0,0,0.198488623612626,0,0,0.0443215271356591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.256353711719006,-0.0353979725703545,0.0105213222513083,0.0272691781827418,0,0.0802240137623148,0,0,0,0.505620177769077,0,0,0,0,0,0,0,0,0,0,0.0709026684218346,0,0,0.0633509873859349,0,0,0,0,0,0,0.00591888122022823,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,-0.0887758526867374,0.0293754382902091,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0735825530696448,0,0,0,0.412132146484113,0,0,0,0.115341927942537,0,0.0510958110892884,0,0,0,0,0,0,-0.0336628629796627,0.397352336326528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.318925846257216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.125381389799145,0,0.0760140046819192,0,0.106755922953932,0,0,0,0,0,0.149865014048861,0.00366063887807583,0,0,0,0.066904034257751,0.141162684498906,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0390064108491775,0.0285359698671139,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0.235479658687049,-0.843651408660946,0,0.188475564780585,-0.320828379701778,0,0,0,0,0,0,0,1.21404345019208,0,0,0,0,0,0,0,0,0,0,0.0940800396588576,0,-0.0600661139984706,0,0,0,0,-0.938339514855937,0,0,0,1.08922301052962,-0.185682079374555,0,0,0,0,0
