,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X2007.HK.EQUITY,X002142.CH.EQUITY,X688.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0.402306085977248,0,0,0,0.0514359339054393,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0246845721441923,0,0,0,0,0,0,0,0.186405359781384,0,0,0,0.0375437695238645,0,0.010833595449372,0,0,0,0.0571986983082455,0.0441988584712846,0.263520595316581,-0.035989018425735,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.12416902124546,0,0,0,0,0.0126773036583273,0,0,0,0,0.313917799842603,0,0.255863533547885,0.0349425830075302,0,0,0,0,0.0391387795604419,0.201427201882094,0,0,0,0,0,0,0,0.0217219256677944,0,0,0,0,0,0,0,0,0,0.0214163363416939,0,0.0430806908158473,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.287203002883021,-0.0385735402718801,0,0,0,0,-0.0108423530312419,0.0395854616594724,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,-0.269737405926149,0,0.712178913280567,0,0.0528220555122314,-0.141267056802451,0.0668665717442213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.139177633053132,0,0,0,-0.0360867271947507,0,0,0,0,-0.0893656072275262
X601288.CH.EQUITY,0.218461237510288,0,0.0200367659081632,0,0,0.0380682343916946,-0.0579178849139692,0.288960113835244,0,0,0,0,0,0,0,0.115798692613737,0,0.00614541551632109,0,0,0,0,0,0.0346455142535594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170146742342743,0,0,0.110475783794998,0,0,-0.0919255672503203
X600036.CH.EQUITY,0,0.194775124800608,0,0,0,0.0391112659296089,0.118825660931984,0.0840669962380442,0,0,0,0,0,0.199180904969729,0.0508294210774067,0,0,0,0,0,0,0,0.0696681702192899,0,0,0,0,0,0.322844385787616,0.0447794626283787,0,0.0110412887079775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0764296717323956,0,0,-6.93889390390723e-18,0.00887819341821245,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0.147728536213387,0,0,0,0.126205127729725,0,0,0,0,-0.0395626609127072,0,-0.117102508750237,0,0,0,0.165026878628587,0,0.0752716892780524,0,0,0.568568822057092,0,0,-0.0475135120514358,0,0.0835602180324444,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.255397543269393,0,0,0,-0.0361122396255687,0,0,0,0,0,0,0,0,0,0,0.087303388311578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086818217824602,0.183648481225914,0.100983932830207,0,0,0,0,0,0.070409125262409,0.119150716608237,0,0.0583810078826762,0
X601988.CH.EQUITY,0.0309371422263947,0.0192990058455194,0.0459444734641193,0.17186737828668,0.356591163944011,0,0,0,0,0,0,0,0,0,0,0.188671260286921,0,0,0,0,0,0,-0.00809661140773483,0,0,0,0,0.075781610524787,0,0.0160639999051766,0,0,-0.12140075791646,0,0,0.270370671041253,0,0,0,-0.0836083728464751,0,0,0,0,0,0,0,0,0,0,0,0.0452817126251287
X5.HK.EQUITY,0,0,0,0,0,0,0,0.0283557671718093,0,0,0,0,0,0.0437155497742799,0,0,0,0,0,0,0,0,0,0,0.141887839249804,0,0.0124433011071086,0,0,0,0,0,0,0,0,0,0,0,-0.000398677508262235,0.474200261130543,0,0,0.260803605640885,0,0.194206200783659,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,-0.0261048978750294,0,0.0760414546127873,0,0,0,-0.0106202872246187,-0.0703958563227,0,0,0,0,0,0,0,0,0,0.431976440901427,0,0,0,0,0.277373812104567,0,-0.0313373793907297,0,0,0,0,0,0,0,0,0,0.323426359665932,0,0,0,0.0216617328681362,0.0925264919447125,0,0,0,-6.93889390390723e-18,0,0,0,0
