,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.0178506528667504,0,0.00611760157438796,0,-8.67361737988404e-19,0,0,0,0,0,0.46647742124974,0,0,0,-0.0967681808660464,0,0,0,0,0,0,0,0,0,0,0,0,0.0504109389726799,0,0,0,0,0,0.062170009128251,0,0,0.0893651313422517,0,0,0,0,0.20951464689977,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,-0.0154066784694318,0,0.0165324002688345,0,0,0.112997958422847,0,0.180503872801376,0,-3.46944695195361e-18,-0.0572881061591087,0.203688050468571,0.0568250764623422,0,0,0,0,0,0,-0.139267944387926,0,0,0,0,0,0,0,0,0,0,0,0.186175930710714,0,0,0,0,-0.287137338248238,0.384384184014439,0,0.259640251131047,0,0.238252381603818,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.11200214676562,0,0,0.290636025031112,0,0.225600750304955,0,-0.0426556503445688,0,0,0.0460805115514591,0,0,0,0.113571495479826,0,0,0,0,0,0,0,0.0803519666617133,0,0,-0.00606884317335372,0,0,0,0,0,0,0,0,0,0,0,-0.116477309650609,0,0.384079571847437,0,-0.0510817961067503,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.21876692369463,0,0.30156992969385,0,0.144061129958093,0.312263424441314,0,0,0,-0.0874432961143785,0,0,0,0,0,0,0,0,0,0.123455064152729,0,0,0,-0.187760964454979,0,0,-0.0390382309327577,0,0,0,0,0,0,0,-0.0363052920495264,0,0,-0.0267981901200548,0,0.129297548243524,-0.0518666125099352,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0.037973509716198,0.207096472070209,0,0.145184404737094,0,-0.359512708352212,0,0,0,0,0.0653262227415386,0,0,0,0,0,0,0,0,0.388110233518635,0,0,0,0.453102461376235,0,0,0,0,0,0,0.0710301042641469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186293973560493,-0.0894907052603954,0,0,0
X601988.CH.EQUITY,0.223600863976903,0.0849533417100853,0.327270193926759,0,0,0,0,0,0.116265867055719,0,0,0.145486805417048,0,-0.225191544117934,0,0,0,-0.110862894666888,0,0,0,0,0,0.143273609733235,0.0805799936722712,0,0,0.133230502899593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323502086974075,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0.0794334240207827,-0.0311389784532444,0,0.0682746934149697,0,-0.0370763881505053,0.0313957979334056,0,0.339350294238305,0,0.251238614644725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0441683072330123,0.0109826114467423,0,0.0634115729699969,0,0,0,0.0843157406245337,0,0,0.156721782297428,0,0,0,0,0,0,0.0674908487766579,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0718757735959483,0,0,-0.0225461555459793,0,0.0286314813920779,0,0,0,0.312754450356195,0,0.126975852976742,0,0,0,0,0,0.151994461351152,0,0,0,0,0,0,0,0,0,0.0419363397575911,0,0,0,0,0.101675692094689,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.186829152590094,0.242636608963859,0,0,0.0332534656529878,0,0,0,0,0.0621526714520057,0,0,0,0,0,0,0,0.0919883043862296,0,0,0,-0.0979176391176929,0,0,0,0,0,0.15244454940857,0.0747418044745208,0.0372027449042855,-0.33016123089817,0,0,0,0,0,0,-0.18207537599723,0,0,0,0,0.147353255347107,0,0,0,0,0.0569000691955618,0,0,0,0.0479379262813506
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.154067489026214,0,0,0,0,0,0,0,0,0.216759370884523,0,0,0,0,0,0.107513296134486,0,0,0,0,-0.0259429893273972,0.295094135071805,0,0,0,-0.162024603023289,0,0,0,0,0.054203925323104,0,-0.0406899937281358,0,-0.169777233170294,0,0
