,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.40114707015018,0.0140566202044304,0.0204949151340741,0,0,0,0,0,0,0.218937100247792,0,0,0,0,0,0,0,0,0.132780114089106,0,0,0,0,0,0.0415318754704447,0,0,0,0.00446934179436068,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0468082905967169,0,0,0,0,0,-1.73472347597681e-18,0,-0.129756054499716
X601939.CH.EQUITY,0.458110149097259,0,0,0.15143985018043,0,0,0,0,0,0,0.112365066245092,0,0,0.0297341385797494,-0.110090195660526,0,0,0,0,0,0,0,0,0,0,0.189835167345424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00768301024792103,0.0897103498029434,-0.00582835359850791,0
X601318.CH.EQUITY,0,0,0,0,0.254234608050169,0.0232845565594682,0,0,0,0,0,0.259787052645702,0,0,0,0,0,0,0,0.204294674986892,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0343620488259646,0,0,0,0,0.0616778502678206,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.295755314775359,0.0948030806729228,0,0,0.175339795432498,0,0,0,0,0,0,0,0,0.189282102797032,0,0,0,0,0,0,0,0.0473440330498089,0,0,0,0,0,0,0,0,0,0,0,0.123180761498664,0,0,0,0,0,0,0,0,0.000574275195536377,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.494035030242908,0,0,0,0,0,0.241818489925447,0,0,0,0,0,0.241791034111825,0,0.0661608866025093,0,0,0,0,0,0,0,0,0,0.0590714281793937,0,0,0,0,0,0,0,0,-0.574368366181676,0,0,0,0,0,0,0,0.0850584969202483,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.0582734389732075,0,0,0,0,0,0,0,0,0,0.192307029247442,0,0,0,0,0,0,0,0.281974078633376,0,0.00988542995667445,0,0,0,0,0,0,0,0,0,0.278329637640733,0,0,0,0,0,0,0,0,0.0691698868706232,0.0482177546279576,0,0.0175910338312808,0,0,0,0.100105815667903,0,0,0,0
X1299.HK.EQUITY,0,1.38777878078145e-17,-4.33680868994202e-19,0,0,0,0,0,0.1172069400187,0,0.0813587395303368,0,0,0.13660355556571,0,0,0.328305226121854,0,0,0,0,0,0.118031723572328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162798311926402,0,0.0561899732983275,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0918513408478372,0,0,-0.132628333503913,0,0,0,0,-0.444897986813926,0.627270802458586,0,0.0576664474916243,0.684640671444253,0,0,0.0905568770030985,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302610869222885,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0860423195318542,0,0,-0.171366276438901,0,0,0,0.14715274546069,0,0,0.336164104053779,0.0364535230621378,0,0,0,0,0,0,0,0.0368646223083079,0,0,0,0,0,0,0,0.0847802302430186,0,0.0604368851744858,0,0.25067050647748,0,0,-0.041179750431562,0,0,0,0,0,1.73472347597681e-18,0.127444570570526,0
X601658.CH.Equity,0,0,0,0,0.301771120401383,0,0,0,0,0,0,0,0,0.238298642878263,0,0,0,0,0,0,0.226758087022997,0,0,0,0,0,0,0,0.0711315815547396,0,0,0,0,0,0,0,0.00587819883143657,0.112646606388109,0,0,0,0,0,0,0,0,0,0,0,0.230667271777641,0,0
X601328.CH.EQUITY,0.403417316111734,0,0,0.205329063264643,0,0,0,0,0,0,0,0,0,0,0,0.152081676786222,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246864558456445,0,0,0.0472334377397205,0,0,0,0,0,0,0,0,0,0,0,0.0390469321958276,0,0,0.00864921107369184,0,0,0,0.0459047853029393
X601166.CH.EQUITY,0,0,0,0,0,0.423364500834021,0,0,0,0,0.054871858498754,0,0,0,0,0,0,0.0543577931860155,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.23385160231199,0.00514521011795395,0,0,0,0,0,0,0,0,0,0,0,0.0214270193295676,0.0333055268033337,0,0,0,0.0566316841460764,0,0.103445619923443,0,0
X388.HK.EQUITY,0,0,0.428579503966284,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0881871049848319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0455441129812289,0,-1.73472347597681e-18,0,0,0,0,0,2.16840434497101e-19,0,0,0.00596464924726688,0.00137053905476292,0,0,0,0,0,0,0
X600000.CH.EQUITY,0.143544181105781,0,0,0.122190086337536,0,0,0,0,0,0,0,0.289439974925752,0,0,0,0,0,0,0,0,0.0497746983332146,0,0,0,0,0,0,0,0.15298082717575,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0245401053719629,0.00161626971944295,0,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,-0.0232074255917152,0,0,0,0.324138793697071,0,0,0.428953409903608,0.0199093456274152,0,0.0567830814512632,0.119850500104498,0,0,0,0,0,0,0,0,0,0.022442154509575,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0331922606409793,0,0,0,0,0.00218247019458884,0,0,0,0,0,-0.0144821253842005,0.277299799648971,0,0,0,0,0,0,0.0160955135351761,0,0.28744956720155,0,0.207660501010455,0.0584343335793353,0,0.0610091868639529,0.0793815147879251,0,0,0.000642195244300876,0,0,0,0,0,0,0,0.0192029702843606,0
X16.HK.EQUITY,0,0,0,0,0.00812248702894875,0,0.2643494486263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197469278359189,0,0,0.0495279233638658,0,0,0,0.0212237907579975,0,0,0,0,0,0.39500663986047,0,0,0,0.156793887712442,0,-0.135621912384094,0,0,0,0,0,0,0,0,0,0,0.00832396513501568
