,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002142.CH.EQUITY,X17.HK.EQUITY,X000776.CH.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.521229148239215,0,0.0754561679737958,0.0311433277427384,0.0922318554499935,0.0503538324330372,0,0,0,0,0,0,0,0.0257286193025422,0,0.0402473593041372,0,0.0628972677889639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00725767482882837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.493263484604508,0,0,0.0357400694257565,0,0,0,0,0,0.141362386446872,0,0,0,0,0,0,0,0,0,0.0131399826372923,0,0,0,0.0113416337557048,0,0,0.159089927509617,0.0505761811569419,0,0,0,0,0,0,0,0,0,0,0,0,0.0547901504042508,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.169929846656991,0,0,0,0,0,0,0.190212797074588,0,0,0,0,0,0,0,0.215911158296744,0,0,0,0,0,0,0,0,0.0942791525485079,0,0,0,0,0,0.179781236744403,0,0,0,0.000758270848836711,0.0180113152566445,0,0,0,0,0
X601288.CH.EQUITY,0.46183100523341,0,0.0454842372638246,0,0,0.0303933233464262,0,0,0,0.0940298459423996,0,0,0,0,0,0,0.183487156316431,0,0,0,0,0,0,0,0,0.0086213612940996,0,0,0.130997504403213,0.0349455118885438,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.5842308904329,0,0,0,0,0,0,0,0,0,0,-0.134951269070713,0.521307029587506,-0.403553222128464,0,0,0,-0.150119718100004,0.195700124218771,0,0.103470433762499,0,0,0,0.24024768669621,0,0,0,0.104858282079977,0,0,-0.0414492906101911,0,0,0,0,0,0,0,0,-0.185240137565599,0,0,0,-0.13033462538529
X601988.CH.EQUITY,0,0,0,0.215800534975907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315303807586465,0.0763763202022214,0,0,0,0,0,0,0,0,0,0,0,0,0.0145290115918569,0,0,0,0.111555913249304,0,0.207632914366968,0,0,0,0,-8.67361737988404e-19,0,0,0
X600036.CH.EQUITY,0,0,0.132002031252424,0,0,0,0,0,0,0,0.0153706283726368,0,0.244327076159676,-0.0578253343117579,0,-0.0206238399823314,0,-0.0138464734656857,0.0714832879157548,0,0,0,0,0,0.381785236780806,0,0.110866609180242,0,0,0.0936587626917476,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0.0480692798217244,0,0,0,0,-0.037908967096949,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102579094582394,-0.0648032486812785,0,0,0,0,0.244428142021771,0,0.0843280428929186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317247287016029,0,0,0
X601628.CH.EQUITY,0,0,0,0,0.081491723080807,0,0,0,0,0,0,0.00889659224969937,0.245970961950666,0.0262511961392219,0,0,0,0,0,-0.063630140189923,0,0,0,0,0,0,0.162826627861061,0,0,0,0,0.227579946443067,0,0,0,0,0,0,-0.041401546952868,0,0,0.214735373427802,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,-6.93889390390723e-18,0.0849175100498746,0,0,0,0.0365192455727503,0.0101698756627122,0,0,0,0,0.113620405935492,0,0,0,0,0,0,0.0227388894457063,0.187047850260831,4.33680868994202e-19,0,0,0.0282884481635803,0,0.0620653863663323,0,0,0,0.0868526811254039,0,0,0,0,0,0,-0.00530805108734888,0,0.155179139269551,0.211327465346236,0,0,0,0,0,0,0,0,0
