,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X601066.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X300059.CH.EQUITY,X601211.CH.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X600999.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.169811132615878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144786648101855,0,0,0,0,0,0,0,0.0557291472337574,0,0,0,0,0.221593930770963,0,0,-0.0367300508723553,0,0,0,0,0,0,0,0,0,0,0.130433574988128,0,-0.200549993117567,0.132146811898223,0,0.00289471077067653,-0.143957643558674,0
X601939.CH.EQUITY,0.131639738514455,0,0,0.207062671480648,0,0,0,0,0,0,0,0.0222176692639749,0,0.326914160234689,-0.0194027801347149,0,0,-0.0594423162801201,0,0,0,0,-0.069513228345955,0,0,0.0712097458813772,0,0,-0.0858206062495557,0,0,0,0,0,0,0,0,0,0,0,0,0.0786124503719893,0,0,0,0,0.154033801194102,0,0.151513366581858,0,-0.0318170330998464,0.152565888374232,0
X601318.CH.EQUITY,0,0,0,0,0.123418334080734,0.255997665079321,0,0,0,0,0,0,0,0,0,0,0.114293722288578,0,0,0,0,0,0.131233690414377,0,0,0,0,0.0109660719567594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267366523136172,0,0,0,0.122223807606793,0,0,0,0,0
X601288.CH.EQUITY,0,0.453629461054935,0,0,0.0332107064101043,0,0,0,0,0,0,0,0.0144823948987304,0.152119237798322,0,0,0,0,0,0,0,0.229216638084488,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0.147447113399556,0,0,0,0,0,0,-0.0847653791210481,0,0,0,0,-0.0987588932441456,0,0,-0.00549516739698025,0,0
X601988.CH.EQUITY,0,0,0,0.432232892187269,0,0,0,0,0,0.211508526573215,0,0,0,0,0.0511228981466077,0.294424456572207,0,0,0.164711551717737,0,0,0,0,0,-0.022716293661799,0,0,0,0,0,0,0,0,0,0,0,0,-0.472641625066114,0,0,0,0,0.201581091603647,0,0,0,0,0,0,0,0,0.391135493960312,0
X600036.CH.EQUITY,0,0.161346882406864,0,0,0,0,0,0.122185635506715,0,0,0,0,0.210907318547408,0,0,0,0,0,0,0,0,0,0.106429542144083,0,0,0,0,0,0,0,0,0.308833389452658,0.047715219619257,-0.0369618026435571,0,0,0,0,0,0,0.0592933039192189,0,0,0,0,0,0,0,0,0,0.0205457494502312,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0.176816739994215,0,0,0,0.0507472906355893,0,-8.67361737988404e-19,0,0,0.117589072740113,0,0.031849379097066,0,0,0,0,0,0.0868931618898164,0,0,0,0.144373857806219,0,0.0438499778827323,0,0,0,0,0,0,0,0,0,0.313534066211072,0.07105533917536,0,0,0,0,0,0,-2.71050543121376e-20,0,0.0121046269045441,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.370531793044763,0.0579493684749668,0,0,0,-0.115905071209984,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0787504055591586,-0.0233275134939955,0,0,0,0,0,0,0.0827027518295591,0,0,0,0,0,0,0,0.0672877449819033,0.142771643125601,-0.0040649339016537,0.0603037379002268,0,0,0,0,1.73472347597681e-18,0,0,0.0192434510431593,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0600937964524509,0,-0.148037541423547,0.0317915620517836,0,0,0,0,0,-0.40688646047777,0.777670184788915,0.149323313511483,0,0.619339609393723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088944887438209,0,0,0,0,0
X601658.CH.Equity,0,0.0984839129645257,0,0.165589219710711,0,0,0,0,0,0,-0.0535651291570298,0,0,0,0,0,0,0,0.0216177010583702,0.32601685530176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0958086408792062,0.193500771035999,0,0,0,-0.0324978296487709,0,0,0,0,0.028183322026186,0,0,0,0,0
