,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X2007.HK.EQUITY,X002142.CH.EQUITY,X688.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0.402321754539315,0,0,0,0.0514636718816274,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0246649554627291,0,0,0,0,0,0,0,0.186500800401478,0,0,0,0.0374509088626223,0,0.0108171714875303,0,0,0,0.0571050074058996,0.0441695222881556,0.26349398030307,-0.0359543289570439,0
X601318.CH.EQUITY,0,0,0,0,0.046683266175412,0,0,0.0485945410256512,0.0893018536660815,0,0,0,0,0.0493277239968618,0,0,0,0,0.251095401829078,0,0.254830593528467,0.136500213050715,0,0,0,0,0.0579519835375753,0.0842658928761546,0,0,0,0,0,0,0,0.00548395409703358,0,0,0,0,0,0,0,0,0,0.0196794960441091,0,0,0,0,0,0.112475491199609
X601939.CH.EQUITY,0,0,0,0.279704722395979,0,0,0,0,0,-0.013582704391667,0.0840899213457143,0,6.93889390390723e-18,0,0,0,0,0,0,0.0400881960157288,0,-0.253752544584745,0.0280361483456663,0.574322476112255,0,0.122822490921337,-0.158234006342323,0.103677341592333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0837508199867761,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.236715584482758,0,0.0606617795231093,0,0,0,-0.0377094736482458,0.226131307976044,0,0,0,-0.0633032892632345,0,0,0,0.168662482514126,0,0.0827047269883078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194771975263651,0,0,0.0850900597649354,0,0.0582197347693027,0
X600036.CH.EQUITY,0,0.201232047077334,0,0,0,0.0187577091615317,0.113530998826178,0.0971159118312336,0,0,0,0,0,0.181697805020043,0,0,0,0,0,0,0,0,0.0882657755544144,0,0,0,0,0,0.338692640450765,0.0058393473383927,0,0.0591156919652376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0293287038359829
X601628.CH.EQUITY,0.0860302946626888,0,0,0,0,0,0,0,0,0.00230980242827727,0,0,0,0,0,-0.0427397835321623,0,0.185384252049361,0,0,0,0.0531287611682541,0,0,0,0,-0.0418548867532657,0,-0.104833445545292,0,0,0.0376887947693453,0.21722099847039,0,0.0856763872318327,0,0,0.54594698736864,0,0,-0.0354067534950944,0,0.0703083343411715,0,0,0,0,0,0,0,0,0.0263345131397434
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.238909376661887,0,0,0,-0.0475034865368319,0,0,0,0,0,0,0,0,0,0,0.0762398043434656,0,1.27523291377777e-05,0,0,0,0,0,0,0,0.0166258401403592,0,0,0,0,0.115008993065057,0.193858990681097,0.107888969118531,0,0,0,0,0,0.0709653371771739,0.121618033509809,0,0.0571310576138855,0
X601988.CH.EQUITY,0.0628879069980004,0,0.0237070810247836,0.1369689763161,0.267074705545145,0,0,0,0,0,0,0,0,0.109456078046142,0,0.245408201456965,0,0,0,0,0,0,-0.0399702817095137,0,0,0,0,0.14525901926902,0,0.062032242961619,0,0,-0.123444773774394,0,0,0.154285032913344,0,0,0,-0.0912445060453962,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.0283526971439238,0,0,0,0,0,0.0437189617567043,0,0,0,0,0,0,0,0,0,0,0.141883474710217,0,0.0124469363511267,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,-0.000397860607539643,0.474203837689713,0,0,0.26080201385741,0,0.194203204985416,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,-0.0260111070923917,0,0.076042038891999,0,0,0,-0.0106432384946276,-0.0704256157418953,0,0,0,0,0,0,0,0,0,0.431977102795065,0,0,0,0,0.277370495674162,0,-0.0313609751540997,0,0,0,0,0,0,0,0,0,0.323413405297618,0,0,0,0.021673806014554,0.0924888543386804,0,0,0,6.93889390390723e-18,0,0,0,0
