,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X300059.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X1113.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.253192051576574,0.0647603664285021,2.16840434497101e-19,0,0,0.342243748566171,0,0,0,0.130560600911638,0,0,0,0.0262824348489867,0,0,0,0,0,0,0,0.119835075717009,0,0.00358391041052867,-0.011889011995384,0,0,0,0.0349481774287987,0,0,0,0,0,0,0.118737474111034,0,0,0,0,0,0,0,0,0,0,0,-0.00945870796309256,0,0
X601318.CH.EQUITY,0,0,0.298159287410563,0,0,0,0,0,0.0783613450704255,0,-6.93889390390723e-18,0,0.00308036825966794,0,0.21489903703964,0,0,0,0,0,0.0214546332178883,0,0,0,0,0,0,0,0.0817314261869888,0,0,0,0,0,0,0.0706508832673959,0,0,0,0,0.0875597643061354,0,0,0,0.0405047203974261,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.410029366966072,0.271114955530338,0,0,0,0,0,0.396737155942035,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,-0.0979522139697147,0,0,0.0249853350130472,0,0,0,0,0,0.0907272410393379,-0.0130114450748743,0,0,0.0160819899646662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157055151364696,0
X600036.CH.EQUITY,0,0.077174562090229,0,0,0,0.114929259895143,0,0,0,0,0,-0.0442455043840265,0.0655569862393837,0,0,0.104453800027823,0,0.114612341120497,0,0,0,0,0.436836554828143,0,0.0724690107296149,0,0,0,0.0581450585630901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0971942255421621,0.0237376249579804
X601288.CH.EQUITY,0,0,0,0,0,0,0.0165116074604666,0.495194509589676,0,-0.0831821789777125,0,0.0934814555103771,0,0,0,0,0,0.0216715713186857,0,0,0,0,0,0.122887167256768,0.0638158939087468,0,0,0,0.0881581444571887,0,0,0,0.0407137834921866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0481534651928326,0,0.0117366878524786,0,0
X1299.HK.EQUITY,0,0,-0.0476100444615763,0,0,0,0,0,0,0.110370062284609,0,0,0,0,0,0,0,0,0,0,0,0.0369003403696452,0,0,0.133126177668141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13648822884912,0,0.0792015427334604,0.232291328059661,0,0.155191130890947,0,0,0,0,0.238594126390529,0,0
X601628.CH.EQUITY,0.14360039277774,0,0,-0.00680175288318497,0,0,0,0,0,0,0,0,-0.0268371316535748,0,1.73472347597681e-18,-0.190420871807408,0,0,0,0.147123965426747,0,0,0,0,0,-0.108633669914224,0,0,0,0,0,0,0,0,0.585024631893816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0765596486785159
X601988.CH.EQUITY,0,0,0.0527320520181095,0,0.522258388224683,0,0,0,0,0.0529875252540245,0,0,0.167693381985916,0,0,0,0.0581470278569196,0,0.0728351344889888,0,0,0,0,0,0.107215926795636,0,0,0.0305079791547925,0,0.0473529265160498,0,0,0,0,0,0,0.0599847267917085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.222931675818647,0.113752016673149,0,0,0,0,0,0,-0.0742009499579449,0,0,0,-0.214615866985914,0,0,0,0,0,0,0,0,0,0,0.171206553805077,0.0289360402059613,0.185463377087218,0,0,0,0,0,0,0,-0.0318641094981423,0,0,0,0,0,0,0.142412783447765,0,0,0.106999457947287,0,0,0.0262254398434611,0,0,0.102634425450685,-0.177325839818993
X388.HK.EQUITY,0,0,6.93889390390723e-18,-0.148516086815454,0,0.340497690793085,0,0,0,0,0,0,0,0,-0.0485373767676914,0,0,0,0,0.289291454230127,0,-0.200594148018873,0,0,0,0,0,0,0,0,0.0360741350981418,0,-0.0934430443268275,0,0,0,0,0,0.0637864572306596,0,0,0,0,0.18900910104826,0,0,-0.0283378310592691,0.0396743084721801,0,0,0.196940504746853,-0.090074347736153
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0470289591599865,0.173954157162048,0,0,0.135252248193195,0,0,0,0,0,0,0,0,0,0.202258130092902,0.0273595140812954,0,0.375421070573857,0,0,-0.0295225523296517,0,0,0.0101245904802606,0,0,0,0,0.00916636471442485,0,0,0,0,0,0,0,0,0,0,0,-0.0119809314327728
