,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.318928281995962,0.0687132358581136,0.083162706123885,0,0,0,0,0,0,0.185574545007176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106057945647001,0.016790533147687,0,0,0,0,0,0,0,0,0,0,0,0,0.0322605560739927,0,0,0,0,0,3.46944695195361e-18,0.139790818700682,0
X601939.CH.EQUITY,0.458106826869527,0,0,0.15144252207263,0,0,0,0,0,0,0.112371014013723,0,0,0.0297232411289486,-0.110087162277753,0,0,0,0,0,0,0,0,0,0,0.189836204101203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00768331096064826,0.0897090548846081,-0.00582670654589262,0
X601318.CH.EQUITY,0,0,0,0,0.254234608050169,0.0232845565594682,0,0,0,0,0,0.259787052645702,0,0,0,0,0,0,0,0.204294674986892,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0343620488259646,0,0,0,0,0.0616778502678206,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.295762105760294,0.0947766946587764,0,0,0.175346484485953,0,0,0,0,0,0,0,0,0.189298282228604,0,0,0,0,0,0,0,0.0473443863310698,0,0,0,0,0,0,0,0,0,0,0,0.123178960687565,0,0,0,0,0,0,0,0,0.000564070239064937,0,0,0,-1.38777878078145e-17,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.379623005779643,0,0,0,0,0,0.243833442835997,0,0,0,0,0,0.227698187099744,0,0.128954746672538,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.0630624593675935,0,0,0,0,0,0,0,0,-0.490025912194427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315615699351391
X600036.CH.EQUITY,0,0.0656643720124413,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.165112413664716,0,0,0,-3.46944695195361e-18,0,0,0,0.245426745158103,0,0.0119761554886068,0,0,0,0,0,0,0,0,0,0.322917827067237,0,0,0,0,0,0,0,0,0.0833189611490661,0.0375662587744542,0,0.0963454901572684,0,0,0,0.0470488234171156,0,0,0,0
X1299.HK.EQUITY,0,1.38777878078145e-17,-4.33680868994202e-19,0,0,0,0,0,0.1172069400187,0,0.0813587395303368,0,0,0.13660355556571,0,0,0.328305226121854,0,0,0,0,0,0.118031723572328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162798311926402,0,0.0561899732983275,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0918513408478372,0,0,-0.132628333503913,0,0,0,0,-0.444897986813926,0.627270802458586,0,0.0576664474916243,0.684640671444253,0,0,0.0905568770030985,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302610869222885,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0992408539340571,0,0,0,0,-8.67361737988404e-19,0,0.370084008950845,0.0329624556441103,0,0.104336235887795,0.0077378722967037,0,0,0,0,0,0,0,0,0,0,0.150815695789754,0,0,0,0,0,0.100393829512521,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.174461306568692,0.0644226757315271
X601658.CH.Equity,0,0,0,-1.38777878078145e-17,0.301775194077907,0,0,0,0,0,0,0,0,0.238282336941817,0,0,0,0,0,0,0.226750054964667,0,0,0,0,0,0,0,0.0711405278816527,0,0,0,0,0,0,0,0.00586960468689345,0.112653643949817,0,0,0,0,0,0,0,0,0,0,0,0.230679769579774,0,0
